sample	number	mean_CD	mean_GQ	mean_MRR
S0156	291	81.74	86.66	0.32
S0160	305	79.39	87.74	0.36
S0170	356	74.63	86.03	0.33
S0172	433	74.3	90.86	0.36
S0225	331	72.59	86.27	0.34
S0229	337	70.51	88.42	0.36
S0237	324	68.64	87	0.36
S0243	284	74.63	89.01	0.36
S0258	333	59.59	85.62	0.35
S0267	308	75.94	89.09	0.36
S0269	422	65.56	87.71	0.36
S0280	299	54.13	90.84	0.37
S0287	292	50.72	88.75	0.37
S0290	273	60.59	88.42	0.36
S0306	308	57.04	86.03	0.35
S0307	302	53.36	88.32	0.36
S0322	212	19.62	82.29	0.34
S0325	296	36.93	87.88	0.36
S0330	267	53.02	90.42	0.37
S0347	298	58.11	85.91	0.36
S0349	296	65.27	87.54	0.36
S0376	314	72.88	90.08	0.35
S0400	311	77.04	90.03	0.36
S0404	289	79.82	89.79	0.38
S0406	320	75.91	88.26	0.36
S0416	338	57.07	89.24	0.36
S0428	305	51.4	87.32	0.35
S0437	310	54.57	87.16	0.35
S0439	330	47.95	89.43	0.36
S0445	281	45.9	86.86	0.36
S0466	276	50.37	89.93	0.37
S0469	283	52.29	88.95	0.36
S0490	271	55.29	86.53	0.34
S0492	265	54.88	83.65	0.35
S0494	282	66.33	88.62	0.35
S0497	294	57.62	89.02	0.36
S0552	235	40.62	82.91	0.35
S0620	212	23.01	78.39	0.36
S0631	184	25.55	82.43	0.36
S0650	251	29.67	83.71	0.37
S0653	274	50.89	86.28	0.35
S0659	236	42.57	87.17	0.36
S0671	215	32	80.09	0.35
S0682	251	38.37	86.98	0.35
S0693	205	29.46	80.75	0.34
S0732	217	29.69	82.75	0.36
S0761	252	38.88	85.4	0.36
S0791	206	30.97	83.72	0.38
S0812	244	55.28	88.74	0.38
S0837	256	34.5	80.77	0.35
S0867	201	39.66	82.98	0.34
S0935	396	64.88	86.58	0.35
S0940	232	30.3	84.52	0.38
S0944	358	68.95	86.62	0.36
S0947	220	25.77	78.83	0.35
S0956	213	34.85	79.81	0.35
S0958	263	41.99	83.29	0.34
S1003	387	75.41	89.98	0.36
S1041	328	74.3	87.66	0.35
S1054	365	63.87	87.72	0.36
S1071	184	33.32	80.84	0.35
S1109	182	25.5	77.97	0.35
S1123	254	37.93	87.65	0.37
S1132	317	54.51	88.91	0.36
S1156	363	68.5	85.38	0.36
S1168	395	82.33	89.15	0.35
S1169	267	39.35	84.69	0.36
S1193	372	79.63	88.49	0.36
S1205	377	70.38	87.82	0.35
S1208	362	60.06	87.88	0.35
S1211	340	78.05	87.45	0.36
S1214	353	69.84	88.77	0.36
S1217	356	81.52	85.6	0.34
S1218	257	30.23	80.23	0.35
S1219	279	53.96	87.56	0.37
S1220	312	46.02	88.56	0.37
S1228	257	35.2	85.26	0.36
S1231	180	29.55	82.02	0.35
S1232	252	27.66	75.77	0.32
S1240	318	34.77	84.56	0.36
S1254	302	35.69	84.23	0.36
S1259	319	29.39	84.76	0.36
S1273	307	32.25	88.85	0.36
S1292	193	33	83.39	0.36
S1319	289	27.53	82.81	0.35
S1327	230	32.54	84.5	0.36
S1361	196	36.2	85.65	0.35
S1364	207	25.89	82.09	0.36
S1366	296	25.14	86.55	0.36
S1368	172	16.83	71.54	0.34
S1374	91	12.7	73.35	0.38
S1424	368	69.07	87.57	0.35
S1448	265	44.88	85.9	0.36
S1494	192	29.96	79.33	0.35
S1503	227	37.19	84.79	0.34
S1536	249	43.2	83.66	0.34
