sample	number	mean_CD	mean_GQ	mean_MRR
S0156	1198	71.53:73.8	86.21:85.96	0.36:0.36
S0160	1181	68.68:70.62	87.17:86.83	0.37:0.38
S0170	1275	75.8:78.54	85.01:84.73	0.34:0.34
S0172	1200	65.25:67.36	86.05:85.69	0.36:0.37
S0225	1170	67.18:68.92	85.56:85.78	0.36:0.37
S0229	1205	61.89:64.13	86.87:86.39	0.37:0.37
S0237	1152	55.34:56.99	86.47:86.21	0.36:0.37
S0243	1160	61.75:64.1	85.09:85.84	0.36:0.37
S0258	1151	52.2:53.69	84.6:85.36	0.36:0.37
S0267	1123	54.38:56.62	85.18:85	0.36:0.37
S0269	1120	56.27:60.17	86.81:87.89	0.37:0.37
S0280	964	43.67:53.23	87.22:88.8	0.36:0.37
S0287	1002	42.57:50.71	86.17:86.52	0.36:0.37
S0290	976	51.86:64.44	88.2:90.12	0.36:0.37
S0306	1019	55.74:68.17	87.25:88.97	0.37:0.37
S0307	994	56.66:71.31	88.5:90.06	0.37:0.37
S0322	828	19.52:26.51	81.42:84.82	0.36:0.36
S0325	983	31.15:40.51	85.35:87.22	0.36:0.37
S0330	988	35.92:43.96	85.93:87.34	0.36:0.37
S0347	1010	50.09:62.84	87.74:88.81	0.37:0.37
S0349	1066	53.8:64.82	87.74:88.87	0.37:0.37
S0376	1090	61.83:73.84	90.09:90.1	0.37:0.38
S0400	1025	62.7:74.15	88.63:89.82	0.37:0.37
S0404	1016	60.82:73.8	88.52:90.21	0.37:0.37
S0406	1058	68.7:81.64	89.03:89.96	0.37:0.38
S0416	979	47.68:58.85	86.6:88.52	0.36:0.37
S0428	1017	45.64:54.88	88.02:89.79	0.37:0.38
S0437	1033	49.22:60.6	87.86:88.85	0.37:0.37
S0439	1044	42.89:53.05	87.27:89.24	0.37:0.37
S0445	1008	45.43:59.81	87.3:89.55	0.36:0.37
S0466	966	42.22:51.35	85.5:87.03	0.36:0.37
S0469	999	50.5:63.14	88.37:88.79	0.37:0.37
S0490	1044	54.41:72.17	87.9:89.89	0.37:0.37
S0492	1057	57.83:77.78	88.66:89.65	0.37:0.37
S0494	1002	58.04:71.69	88.65:90.03	0.37:0.37
S0497	1038	55.6:74.51	89.24:90.6	0.37:0.37
S0552	978	36.85:44.92	83.82:85.84	0.35:0.35
S0620	874	23.23:52.89	81.89:89.74	0.35:0.36
S0631	758	24.65:41.55	80.87:87.07	0.35:0.36
S0650	950	30.27:46.83	82.48:86.3	0.35:0.36
S0653	1056	48.9:71.78	87.95:89.83	0.37:0.37
S0659	952	42.56:67.82	86.75:88.72	0.36:0.36
S0671	853	36.16:55	83.46:88.72	0.35:0.36
S0682	998	41.02:63.16	85.98:87.87	0.36:0.36
S0693	856	34.31:49.74	84.5:87.98	0.36:0.36
S0732	886	28.72:48.46	83.53:88.31	0.36:0.36
S0761	1024	41.4:65.63	86.22:89.86	0.36:0.36
S0791	813	30.52:47.96	82.08:87.27	0.35:0.35
S0812	954	52.32:68.59	87.17:89.57	0.36:0.37
S0837	1009	40.68:54.81	84.86:87.7	0.36:0.36
S0867	946	40.94:62.48	86.27:88.62	0.36:0.36
S0935	1144	54.51:65.86	88.14:89.01	0.37:0.38
S0940	843	28.28:45.98	82.58:87.99	0.35:0.36
S0944	1117	59.27:73.07	89.1:90.11	0.37:0.38
S0947	858	25.12:52.95	82.78:88.76	0.35:0.36
S0956	912	36:62.63	85.46:89.93	0.36:0.37
S0958	998	42.75:72.25	86.64:90.82	0.36:0.37
S1003	1151	58.59:72.5	87.17:88.02	0.37:0.37
S1041	1152	68.49:84.63	88.82:90.15	0.37:0.37
S1054	1127	52.93:63.68	86.32:87.73	0.36:0.36
S1071	894	37.24:56.36	84.44:88.07	0.35:0.36
S1109	743	24.82:45.5	80.15:87.12	0.35:0.35
S1123	888	37.91:59.52	83.48:88.85	0.36:0.36
S1132	1107	54.12:67.98	87.77:89.43	0.36:0.37
S1156	1118	55.75:65.65	87.22:88.26	0.37:0.37
S1168	1139	71.13:86.73	88.63:89.68	0.38:0.38
S1169	992	39.15:66.64	86.49:90.19	0.36:0.37
S1193	1173	66.76:79.54	88.52:88.93	0.37:0.37
S1205	1173	61.51:73.02	87.49:89.11	0.37:0.37
S1208	1096	53.08:64.39	87.9:89.26	0.37:0.38
S1211	1012	66.23:79.01	88.34:89.2	0.36:0.37
S1214	1129	56.41:67.51	84.91:87.05	0.36:0.36
S1217	1198	69.38:83.54	88.34:89.28	0.37:0.38
S1218	1009	31.91:55.95	82.3:87.23	0.34:0.35
S1219	1081	42.16:104.78	88.82:93.63	0.38:0.39
S1220	907	32.2:71.65	85.68:90.82	0.36:0.38
S1228	923	35.9:74.46	85.97:90.46	0.36:0.37
S1231	838	33.46:48.29	81.98:87.07	0.35:0.36
S1232	1020	31.73:61.27	83.4:89.92	0.35:0.36
S1240	928	28.09:77.61	86:91.67	0.37:0.39
S1254	964	31.05:91.7	87.66:94.72	0.38:0.4
S1259	981	25.74:105.83	86.24:94.02	0.37:0.4
S1273	946	25.03:101.19	84.88:94.1	0.37:0.4
S1292	786	31.16:52.21	82.37:88.62	0.35:0.37
S1319	817	21.28:77.22	84.84:94.53	0.37:0.4
S1327	872	29.93:54.67	82.36:88.93	0.36:0.37
S1361	856	32.85:78.41	84.19:91.43	0.37:0.37
S1364	807	23.08:71.04	82.32:91.87	0.36:0.38
S1366	840	18.6:84.92	83.4:94.72	0.36:0.4
S1368	630	16.04:80.26	79.03:92.88	0.35:0.38
S1374	510	12.36:68.94	73.15:93.14	0.36:0.39
S1424	1117	58.33:69.76	88.43:89.44	0.37:0.37
S1448	985	44.21:69.19	85.84:90.04	0.35:0.37
S1494	798	30.48:49.59	83.16:87.6	0.36:0.35
S1503	921	40.97:61.68	85.52:89.51	0.35:0.36
S1536	1037	47.72:70.29	86:89.15	0.36:0.36
