sample	number	mean_CD	mean_GQ	mean_MRR
S0156	467	57.38	72.76	0.29
S0160	417	55.79	74.56	0.29
S0170	478	61.83	74.79	0.28
S0172	426	50.55	72.62	0.3
S0225	433	56.61	73.65	0.29
S0229	376	48.88	71.67	0.29
S0237	373	44.18	68.32	0.29
S0243	413	48.77	70.38	0.29
S0258	399	44.05	70.38	0.3
S0267	400	44.74	67.78	0.28
S0269	406	44.61	70.43	0.3
S0280	303	45.01	69.84	0.27
S0287	301	42	70.77	0.29
S0290	299	47.87	74.45	0.28
S0306	338	53.41	73.31	0.27
S0307	349	50.93	69.4	0.27
S0322	268	20.93	63.48	0.3
S0325	310	30.55	66.84	0.3
S0330	274	35.22	71.12	0.29
S0347	337	45.7	71.48	0.27
S0349	322	53.39	74.5	0.28
S0376	287	62.31	75.49	0.28
S0400	323	57.17	71.82	0.27
S0404	355	55.95	73.32	0.27
S0406	341	60.71	71.71	0.28
S0416	331	43.92	70.79	0.3
S0428	346	43.47	74.01	0.3
S0437	361	44.53	74.2	0.29
S0439	313	39.73	69.3	0.28
S0445	331	44.02	69.2	0.28
S0466	314	41.57	68.27	0.29
S0469	318	51.59	73.12	0.28
S0490	346	49.23	72.13	0.28
S0492	375	54.61	72	0.28
S0494	328	53.64	72.72	0.28
S0497	306	55.24	75.05	0.28
S0552	307	33.51	69.31	0.27
S0620	372	33.06	71.24	0.28
S0631	292	26.02	67.87	0.3
S0650	303	30.85	66.29	0.28
S0653	310	52.1	74.02	0.28
S0659	340	48.77	70.93	0.28
S0671	347	34.25	66.66	0.28
S0682	360	44.33	71.56	0.28
S0693	312	32.18	70.67	0.29
S0732	328	29.84	67.73	0.29
S0761	370	43.19	69.66	0.28
S0791	298	29.47	69.3	0.29
S0812	362	47.85	71.12	0.28
S0837	346	37.28	69.25	0.28
S0867	362	42.52	70.04	0.26
S0935	383	53.29	74.83	0.28
S0940	309	30.94	67.32	0.28
S0944	367	56.61	70.16	0.27
S0947	394	34.12	69.38	0.28
S0956	354	40.4	70.56	0.28
S0958	345	47.95	72.95	0.28
S1003	353	55.18	71.26	0.27
S1041	407	58.34	76.11	0.29
S1054	353	48.31	69.17	0.27
S1071	322	35.96	67.83	0.27
S1109	301	27.62	67.68	0.29
S1123	337	38.9	68.13	0.29
S1132	373	49.42	71.74	0.28
S1156	359	48.97	73.98	0.28
S1168	390	61.67	70.75	0.27
S1169	344	47.86	70.76	0.29
S1193	382	61.09	70.93	0.28
S1205	389	57.31	74.01	0.28
S1208	353	51.18	70.73	0.27
S1211	369	55.95	71.62	0.27
S1214	366	54.31	73.8	0.29
S1217	391	66.36	73.44	0.27
S1218	361	38.06	70.74	0.28
S1219	422	68.55	77.42	0.28
S1220	400	48.19	69.05	0.28
S1228	378	49.37	72.94	0.28
S1231	285	34.76	69.69	0.29
S1232	441	42.68	70.83	0.27
S1240	408	54.36	75.5	0.3
S1254	448	60.44	72.43	0.28
S1259	468	63.58	73.15	0.28
S1273	459	65.95	74.87	0.28
S1292	284	28.9	69.65	0.3
S1319	372	47.28	71.23	0.28
S1327	357	34.51	67.59	0.29
S1361	414	42.5	71.22	0.29
S1364	367	43.37	69.58	0.29
S1366	455	49.65	73.04	0.29
S1368	458	39.91	70.95	0.29
S1374	484	29.25	68.89	0.3
S1424	353	54.72	72.95	0.27
S1448	367	50.58	74.62	0.28
S1494	298	28.99	70.38	0.3
S1503	328	41.07	68.75	0.28
S1536	382	49.6	70.95	0.27
