sample	number	mean_CD	mean_GQ	mean_MRR
S0156	329	50.2	67.22	0.28
S0160	302	43.25	64.93	0.28
S0170	323	53.78	65.59	0.27
S0172	304	41.33	67.14	0.3
S0225	301	50.92	67.34	0.28
S0229	264	42.56	62.81	0.28
S0237	286	38.47	60.84	0.28
S0243	290	40.84	61.28	0.28
S0258	278	39.75	63.08	0.29
S0267	265	34.17	55.78	0.27
S0269	282	36.41	56.9	0.29
S0280	179	28.15	58.37	0.27
S0287	194	22.6	51.68	0.27
S0290	183	32.28	61.26	0.27
S0306	201	34.7	56.29	0.26
S0307	218	33.42	56.26	0.26
S0322	158	15.79	52.16	0.28
S0325	189	21.12	53.71	0.27
S0330	144	22.29	58.34	0.29
S0347	198	31.38	58.55	0.27
S0349	193	31.32	58.79	0.26
S0376	228	38.51	60.71	0.26
S0400	232	32.74	55	0.25
S0404	233	37.22	61.51	0.27
S0406	229	40.61	61.23	0.26
S0416	232	29.41	57.67	0.27
S0428	211	28.87	60.46	0.27
S0437	231	30.5	58.86	0.28
S0439	185	29.04	54.91	0.26
S0445	219	30	58.03	0.27
S0466	193	29.74	51.82	0.28
S0469	191	31.74	60.75	0.28
S0490	227	37.38	59.48	0.27
S0492	225	41.79	64.09	0.27
S0494	223	38.35	61.65	0.27
S0497	225	39.61	59.62	0.26
S0552	209	23.72	53.85	0.27
S0620	196	16.96	51.21	0.29
S0631	165	17.96	52.61	0.27
S0650	194	21.26	55.77	0.27
S0653	226	33.23	58.89	0.27
S0659	214	30.7	59.26	0.27
S0671	211	24.88	57.83	0.28
S0682	234	28.68	58.88	0.28
S0693	187	25.44	54.95	0.26
S0732	181	20.18	55.03	0.29
S0761	243	29.98	58.56	0.26
S0791	182	21.01	55.84	0.27
S0812	224	35.42	60.77	0.28
S0837	219	24.56	53.37	0.27
S0867	232	27.77	61.08	0.27
S0935	231	35.24	61.81	0.27
S0940	195	19.45	53.08	0.26
S0944	225	36.65	61.16	0.27
S0947	217	18.82	54.58	0.28
S0956	208	27.37	53.68	0.25
S0958	251	32.3	54.67	0.27
S1003	238	35.73	58.18	0.27
S1041	248	42.5	63.88	0.27
S1054	232	28.45	57.66	0.28
S1071	205	26.61	53.63	0.27
S1109	165	16.96	55.59	0.29
S1123	210	27.62	54.41	0.27
S1132	254	35.6	60.54	0.27
S1156	222	29.04	55.48	0.27
S1168	242	36.97	56.96	0.26
S1169	205	30.07	59.88	0.27
S1193	246	37	62.65	0.27
S1205	252	37.18	59.74	0.27
S1208	219	31.58	63.54	0.26
S1211	245	37.18	60.01	0.27
S1214	210	34.64	62.63	0.28
S1217	245	39.36	60.29	0.27
S1218	250	22.22	54.48	0.29
S1219	250	24.52	54.24	0.25
S1220	177	23.42	56.17	0.28
S1228	202	25.07	53.61	0.27
S1231	190	23.48	52.13	0.27
S1232	254	24.5	59.52	0.28
S1240	181	17.92	52.57	0.28
S1254	214	19.29	53.6	0.28
S1259	201	18.48	53.5	0.27
S1273	191	17.5	50.76	0.26
S1292	179	20.23	56.97	0.29
S1319	149	16.18	49.61	0.27
S1327	188	20.05	53.04	0.28
S1361	209	22.79	55.61	0.27
S1364	185	18.39	54.68	0.28
S1366	130	13.77	51.51	0.3
S1368	137	12.59	54.4	0.29
S1374	82	11.56	48.24	0.3
S1424	221	34.21	57.13	0.26
S1448	227	30.39	60.35	0.28
S1494	167	21.25	54	0.27
S1503	216	28.69	56.36	0.27
S1536	253	32.39	61.62	0.29
