sample	number	mean_CD	mean_GQ	mean_MRR
S0156	723	71.9:75.21	80.51:82.88	0.01:0.01
S0160	711	67.1:70.52	81.27:83.37	0.01:0.01
S0170	641	76.95:79.82	79.68:81.86	0.01:0.01
S0172	667	60.74:63.71	81.33:83.73	0.01:0.01
S0225	699	67.56:70.96	81.27:83.45	0.01:0.01
S0229	690	64.22:67.27	82.04:84.11	0.01:0.01
S0237	694	54.87:58.43	77.74:80.5	0.01:0.01
S0243	728	62.85:65.88	80:82.69	0.01:0.01
S0258	677	51.86:54.63	78.48:81.17	0.01:0.01
S0267	701	56.77:59.68	76.7:78.49	0.01:0.01
S0269	671	53.4:59.71	78.86:82.29	0.01:0.01
S0280	653	43.25:53.68	74.38:79.75	0.01:0.01
S0287	627	40.3:49.15	71.99:78.99	0.01:0.01
S0290	680	49.11:63.97	76.98:84.67	0.01:0.01
S0306	640	52.04:67.62	77.75:84.9	0:0.01
S0307	677	50.5:66.04	76.09:83.7	0.01:0.01
S0322	595	16.48:22.83	44.54:58.18	0:0
S0325	598	29.05:38.23	64.14:74.33	0:0
S0330	642	37.88:47.41	69.91:77.17	0.01:0.01
S0347	668	48.73:62.4	75.62:82.13	0.01:0.01
S0349	664	54.45:67.18	78.28:83.38	0.01:0.01
S0376	653	62.6:77.42	81.2:86.38	0.01:0.01
S0400	664	62.78:75.92	81.43:86.09	0.01:0.01
S0404	676	64.81:80.89	82.29:87.39	0.01:0.01
S0406	618	70.72:87.52	83.36:88.45	0.01:0.01
S0416	656	48.23:61.84	77.54:84.37	0.01:0.01
S0428	668	44.52:55.49	75.88:81.59	0.01:0.01
S0437	668	49.66:62.94	78.28:84.39	0.01:0.01
S0439	678	40.57:51.38	73.58:80.05	0.01:0.01
S0445	651	42.08:57.34	72.3:82.13	0.01:0.01
S0466	691	41.38:52.16	73.93:81.31	0:0.01
S0469	633	48.75:63.31	75.98:82.87	0.01:0.01
S0490	650	51.12:70.06	75.86:84.6	0.01:0.01
S0492	604	53.34:76.5	76.96:86.22	0.01:0.01
S0494	631	58.49:75.45	79.76:85.24	0.01:0.01
S0497	638	50.7:73.09	76.51:85.6	0.01:0.01
S0552	612	34.23:43.37	65.41:72.53	0:0
S0620	576	19.33:46.44	50.52:79.16	0:0.01
S0631	529	20.35:37.23	49.31:69.19	0:0
S0650	624	24.84:41.08	56.28:71.41	0:0.01
S0653	620	42.99:66.12	71.92:83.15	0.01:0.01
S0659	674	36.44:62.14	67.8:82.44	0:0.01
S0671	565	28.24:47.58	57.06:76.15	0:0.01
S0682	636	34.23:57.54	64.91:78.6	0:0
S0693	563	26.85:41.91	55.09:71.45	0:0
S0732	618	23.43:41.88	54.17:72.68	0:0
S0761	646	35.97:60.63	66.41:81.37	0:0
S0791	593	25.41:41.97	53.62:70.29	0:0
S0812	651	45.58:64.11	69.39:80.15	0:0.01
S0837	615	34.76:49.13	64.16:74.91	0:0
S0867	653	36.15:57.84	66.11:79.64	0.01:0.01
S0935	695	58.15:71.57	79.41:84.1	0.01:0.01
S0940	636	24.26:42.29	55.09:73.87	0:0.01
S0944	707	63.06:78.48	81.12:86.17	0.01:0.01
S0947	590	20.67:46.03	51.87:76.39	0:0
S0956	633	30.48:56.42	63.15:81.2	0:0
S0958	640	36.85:64.83	67.34:81.34	0.01:0.01
S1003	683	62.89:79.45	81.45:86.14	0.01:0.01
S1041	694	70.8:89.88	83.21:88.7	0.01:0.01
S1054	697	55.04:67.57	77.31:83.17	0.01:0.01
S1071	604	31.08:50.9	58.83:76.84	0:0
S1109	528	20.22:39.27	48.82:69.59	0:0
S1123	595	32.39:55.75	60.55:76.78	0:0
S1132	675	56.01:72.92	78.44:85.22	0.01:0.01
S1156	716	57.87:70.32	76.33:81.66	0.01:0.01
S1168	709	74.71:91.37	85.38:88.86	0.01:0.01
S1169	633	36.03:64.25	67.99:82.04	0:0
S1193	699	73.93:90.49	84.37:88.24	0.01:0.01
S1205	709	67.91:82.51	80.81:84.76	0.01:0.01
S1208	697	57.34:69.89	79.72:85	0.01:0.01
S1211	725	73.69:90.3	84.85:89.41	0.01:0.01
S1214	716	60.83:73.85	81.23:85.76	0.01:0.01
S1217	746	78.21:96.45	85.19:88.82	0.01:0.01
S1218	610	27.07:51.16	57.04:80.31	0.01:0.01
S1219	686	42.6:108.37	75.85:92.17	0.01:0.01
S1220	718	33.7:76.69	68.41:88.54	0.01:0.01
S1228	621	31.56:69.41	65.6:85.49	0:0.01
S1231	550	26.73:42.85	54.46:73.79	0:0
S1232	572	27.15:57.69	57.79:84.53	0.01:0.01
S1240	660	29.61:84.08	64.47:90.58	0.01:0.01
S1254	645	30.37:94.81	65.56:92.31	0:0.01
S1259	630	23.97:102.94	59.28:93.97	0.01:0.01
S1273	683	24.85:105.05	59.32:92.15	0:0.01
S1292	575	24.78:44.74	54.93:73.91	0:0
S1319	603	19.67:74.61	50.4:86.96	0:0.01
S1327	611	24.61:47.53	54.84:77.23	0:0
S1361	565	28.25:70.53	59.12:87.3	0:0
S1364	566	20.2:66.19	51.17:85.19	0:0
S1366	594	17.17:81.26	46.33:91.15	0:0.01
S1368	551	12.98:66.65	37.11:87.72	0:0.01
S1374	401	9.46:59.29	27.91:84.69	0:0
S1424	696	59.14:73.57	80.66:85.45	0.01:0.01
S1448	619	42.81:69.21	73.54:85.6	0.01:0.01
S1494	564	25.25:43.83	54.16:70.87	0:0
S1503	598	35.76:57.72	63.65:77.86	0:0
S1536	638	40.27:62.76	67.49:79.68	0:0
