sample	number	mean_CD	mean_GQ	mean_MRR
S0156	73	37.25	49.45	0.03
S0160	53	47.28	40.3	0.05
S0170	39	40.21	39.72	0.04
S0172	40	35.92	48.38	0.04
S0225	28	32.46	45.21	0.02
S0229	39	28.15	44.13	0.04
S0237	41	25.8	40.63	0.02
S0243	54	38.07	46.85	0.04
S0258	45	20.87	34.04	0.03
S0267	46	29.24	39.76	0.04
S0269	59	25.83	39.39	0.02
S0280	42	25.02	42.64	0.02
S0287	41	22.24	34.24	0.02
S0290	42	28.83	46.98	0.01
S0306	32	27.47	45.31	0.02
S0307	42	24.67	37.86	0.02
S0322	25	9.2	23.08	0.02
S0325	33	18	31.64	0.04
S0330	43	19.21	27.42	0.01
S0347	36	28.39	35.97	0.02
S0349	44	25.23	35.23	0.03
S0376	35	28.74	38.66	0.02
S0400	33	27.27	30.18	0.04
S0404	45	25.02	31.13	0.04
S0406	42	34.74	44.88	0.02
S0416	41	25.8	40.37	0.02
S0428	39	18.64	31.67	0.02
S0437	32	25.94	31.09	0.02
S0439	46	21.3	32.33	0.03
S0445	50	23.92	38.24	0.03
S0466	43	22.95	38.28	0.02
S0469	51	30.33	44.71	0.02
S0490	45	20.11	33.49	0.02
S0492	33	26.24	35.42	0.02
S0494	43	32.14	38.51	0.01
S0497	41	27.83	41.51	0.02
S0552	35	14.03	26.77	0.02
S0620	45	7.98	19.27	0.02
S0631	20	9.3	17.9	0.03
S0650	43	11.3	21.79	0.02
S0653	37	21.19	34.41	0.02
S0659	41	12.83	24.32	0.02
S0671	35	14.34	23.29	0.03
S0682	44	16.36	24.27	0.03
S0693	34	16.5	25.38	0.02
S0732	45	13.13	23.82	0.02
S0761	37	17	27.92	0.05
S0791	37	11.24	25.43	0.01
S0812	35	26.31	25.94	0.04
S0837	40	22.88	20.98	0.02
S0867	36	23.53	33.56	0.04
S0935	38	23.71	40.95	0.02
S0940	38	8.05	15.5	0.01
S0944	44	21.95	32.68	0.02
S0947	32	11.5	22.88	0.02
S0956	46	15.33	27.78	0.02
S0958	29	12.14	23.28	0.01
S1003	37	25.97	33.38	0.02
S1041	42	37	46.14	0.03
S1054	39	36.72	47.87	0.02
S1071	36	19.39	29.97	0.03
S1109	39	9.58	19.15	0.01
S1123	34	14.38	26.26	0.02
S1132	40	28.12	36.27	0.02
S1156	36	40.83	37.86	0.01
S1168	48	40.69	55.65	0.02
S1169	43	15.6	20.51	0.04
S1193	43	34.02	51.37	0.02
S1205	42	38.6	44.86	0.03
S1208	37	29.19	47.32	0.02
S1211	42	32.43	46.38	0.02
S1214	36	29.97	40.5	0.02
S1217	42	33.55	49.93	0.03
S1218	37	14.3	26.59	0.02
S1219	43	26.12	32.23	0.02
S1220	41	18.39	35	0.02
S1228	34	15.79	26.53	0.03
S1231	22	14.91	33.5	0.01
S1232	32	19.19	34.66	0.03
S1240	35	11.14	21.11	0
S1254	45	12.96	26.24	0.01
S1259	41	7.73	20.39	0.02
S1273	36	13.86	27.44	0.01
S1292	44	12.77	27.3	0.01
S1319	39	11.69	22.69	0.01
S1327	27	10	24.26	0.01
S1361	33	12.97	28.42	0.01
S1364	37	8.84	17.3	0.02
S1366	41	6.88	17.24	0.01
S1368	33	5.97	14.76	0.02
S1374	18	3.94	10.61	0.01
S1424	51	29.78	45.1	0.02
S1448	36	13.75	26.72	0.02
S1494	43	9.51	17.84	0.01
S1503	32	13.03	22.72	0.01
S1536	33	14.45	27.61	0.03
