sample	number	mean_CD	mean_GQ	mean_MRR
S0156	111	44.76	56.8	0.02
S0160	86	49.72	57.48	0.02
S0170	61	37.33	51.8	0.03
S0172	94	40.34	47.29	0.02
S0225	91	42.47	56.43	0.01
S0229	89	42.38	57.25	0.02
S0237	90	35.97	48.98	0.01
S0243	83	42.88	55.25	0.03
S0258	79	36.13	55.73	0.01
S0267	88	44.07	55.92	0.02
S0269	116	36.17	46.25	0.01
S0280	116	25.87	43.83	0.01
S0287	81	35.69	47.91	0.01
S0290	116	35.09	49.48	0.01
S0306	96	24.97	43.1	0.01
S0307	124	24.94	39.74	0.01
S0322	132	10.26	25.26	0.01
S0325	106	19.24	37.81	0.01
S0330	105	26.59	42.51	0.01
S0347	115	28.75	40.2	0.01
S0349	103	32.25	41	0.01
S0376	109	34.58	45.79	0.01
S0400	96	37.71	51.24	0.01
S0404	123	40.97	46.16	0.02
S0406	125	47.88	50.81	0.01
S0416	111	34.53	47.42	0.01
S0428	83	24.34	34.1	0.01
S0437	109	35.1	48.98	0.01
S0439	111	31.63	44.91	0.01
S0445	112	29.74	46.4	0.01
S0466	130	26.33	39.01	0.02
S0469	110	34.13	48.39	0.01
S0490	129	31.26	43.89	0.01
S0492	118	29.56	44.5	0.01
S0494	109	35.4	43.32	0.01
S0497	100	36.34	47.97	0.01
S0552	112	22.68	35.97	0.01
S0620	153	16.07	34.64	0
S0631	132	10.36	24.27	0.01
S0650	134	18.28	31.94	0.01
S0653	134	21.47	35.72	0.01
S0659	110	22.65	38.15	0.01
S0671	179	16.17	34.26	0.01
S0682	116	19.35	34.02	0.01
S0693	157	17.08	33.11	0
S0732	155	16.97	31.2	0.01
S0761	120	23.39	39.38	0
S0791	129	16.3	31.84	0
S0812	108	31.66	37.91	0.01
S0837	105	21.97	39.49	0.01
S0867	115	24.57	37.38	0.01
S0935	99	42.44	52.8	0.01
S0940	110	16.11	28.05	0.01
S0944	101	49.13	48.77	0.02
S0947	161	15.46	31.39	0
S0956	115	27.71	41.23	0.01
S0958	119	28.64	43.66	0.01
S1003	108	43.84	54.02	0.02
S1041	113	44.75	50.46	0.02
S1054	111	42.04	50.77	0.01
S1071	137	17.61	32.99	0.01
S1109	155	12.38	28.08	0.01
S1123	148	17.07	33.25	0.01
S1132	89	39.65	50.22	0.02
S1156	106	46.52	47.03	0.01
S1168	139	61.15	62.12	0.02
S1169	125	25.42	42.64	0.01
S1193	98	43.71	52.26	0.02
S1205	109	58.76	52.75	0.01
S1208	95	47.05	50.02	0.02
S1211	118	48.58	50.8	0.01
S1214	102	42.73	43.19	0.01
S1217	107	57.11	54.09	0.02
S1218	114	25.19	42.14	0.01
S1219	122	41.58	45.03	0.01
S1220	121	35.9	43.05	0.01
S1228	136	24.41	41.09	0.01
S1231	161	11.97	25.16	0
S1232	139	22.77	37.84	0.01
S1240	142	34.96	46.78	0.01
S1254	107	50.47	51.93	0.02
S1259	136	42.07	45.33	0.02
S1273	135	52.89	58.32	0.02
S1292	145	15.26	27.68	0
S1319	165	33.96	44.98	0.01
S1327	158	14.77	29.02	0.01
S1361	206	20.93	34.31	0.01
S1364	184	19.9	39.5	0.01
S1366	160	36.76	46.52	0.01
S1368	214	21.32	42.51	0.01
S1374	260	16.21	35.84	0.01
S1424	127	48.57	57.86	0.02
S1448	111	23.33	37.63	0.01
S1494	147	13.95	29	0.01
S1503	137	19.55	35.85	0
S1536	115	25.1	36.73	0.01
