sample	number	mean_CD	mean_GQ	mean_MRR
S0156	5384	50.89:51.74	82.37:82.67	0.01:0.01
S0160	5362	47.87:48.78	81.12:81.35	0:0
S0170	5326	51.64:52.53	81.21:81.63	0.01:0.01
S0172	5357	44.55:45.36	79.21:79.54	0:0
S0225	5414	47.36:48.28	80.52:80.82	0.01:0.01
S0229	5367	43.82:44.59	79.89:80.06	0:0
S0237	5416	40.71:41.48	77.72:78.07	0:0
S0243	5391	44.12:45.04	79.43:79.82	0:0
S0258	5417	38.27:38.9	75.95:76.29	0:0
S0267	5449	39.78:40.55	74.78:75.02	0:0
S0269	5277	40.41:41.88	77.05:78.9	0:0
S0280	5356	33.71:37.79	69.46:74.47	0:0
S0287	5399	31.91:35.11	66.55:71.2	0:0
S0290	5373	37.13:42.43	72.23:77.45	0:0
S0306	5347	38.99:44.59	73.04:78.62	0:0
S0307	5307	38.23:44.47	71.74:77.78	0:0
S0322	5129	16.13:21	39.39:51.3	0:0
S0325	5221	25.31:29.63	57.7:65.9	0:0
S0330	5287	28.46:32.14	62.96:68.83	0:0
S0347	5261	36.9:41.55	71.54:76.43	0:0
S0349	5279	39:43.78	72.3:76.92	0:0
S0376	5291	42.95:48.09	76.06:80.2	0:0
S0400	5291	43.13:48.01	76.35:80.25	0:0
S0404	5298	43.28:49.18	75.91:80.21	0:0
S0406	5357	47.14:52.55	77.05:80.61	0:0
S0416	5403	36.22:41.28	72.08:77.32	0:0
S0428	5310	33.33:37.46	69.9:75.02	0:0
S0437	5257	36.25:41.02	72.08:77.3	0:0
S0439	5249	32.12:36.6	68.24:73.6	0:0
S0445	5248	32.57:39.17	67.3:76.08	0:0
S0466	5305	33.16:37.47	69.84:75.2	0:0
S0469	5330	36.67:42.6	71.69:77.96	0:0
S0490	5116	37.52:45.69	72.02:79.97	0:0
S0492	5172	38.23:47.63	71.77:80.45	0:0
S0494	5250	42.36:48.87	76.06:80.85	0:0
S0497	5174	37.62:46.65	72.17:79.96	0:0
S0552	5115	26.44:30.55	57.57:63.86	0:0
S0620	4986	17.84:31.86	44.04:70.59	0:0
S0631	4631	16.84:25.71	41.58:58.96	0:0
S0650	5099	21.86:30.13	50.95:64.79	0:0
S0653	5089	33.53:43.29	66.28:76.51	0:0
S0659	5157	29.33:40.1	62.31:75.41	0:0
S0671	4880	22.88:32.45	51.21:66.88	0:0
S0682	5127	27.58:38.03	59.95:72.15	0:0
S0693	4730	21.05:29.14	47.58:62.66	0:0
S0732	5096	20.74:30.13	49.42:65.51	0:0
S0761	5085	28.54:39.56	61.47:73.97	0:0
S0791	4834	20.77:29.22	48.21:62.1	0:0
S0812	5151	33.05:41.18	63.41:72.38	0:0
S0837	5161	27.95:34.73	58.77:68.17	0:0
S0867	5100	28.84:38.77	61.55:73.5	0:0
S0935	5264	42.31:47.86	78.23:82.14	0:0
S0940	5117	20.89:29.77	49.75:64.93	0:0
S0944	5317	44.63:50.7	79.27:82.63	0:0
S0947	4997	18.94:31.93	46.68:69.7	0:0
S0956	5148	25.16:36.74	57.12:72.33	0:0
S0958	5121	29.5:41.87	63.06:76.63	0:0
S1003	5279	44.63:51.37	78.4:82.38	0:0
S1041	5253	49.39:56.72	82.09:85.6	0:0
S1054	5314	38.4:42.89	72.44:76.37	0:0
S1071	4940	23.88:33.47	52.61:67.58	0:0
S1109	4741	17.32:27.13	42.61:60.9	0:0
S1123	4989	24.62:34.73	53.91:67.74	0:0
S1132	5272	40.39:47.25	76.45:81.94	0:0
S1156	5320	41.41:45.6	74.41:77.91	0:0
S1168	5337	50.9:57.81	81.59:84.62	0:0
S1169	5047	29.19:41.35	63.07:76.54	0:0
S1193	5316	51.35:57.7	82.61:85.34	0:0
S1205	5293	46.31:51.29	78.49:81.38	0:0
S1208	5364	41.07:46.05	76.84:80.35	0:0
S1211	5393	49.14:55.6	80.66:83.71	0:0
S1214	5337	42.69:47.75	77.52:81.43	0:0
S1217	5231	51.85:58.27	81.81:84.46	0:0
S1218	5199	23.82:35.59	54.98:74.25	0:0
S1219	5213	33.7:67.12	72.19:87.81	0:0
S1220	5274	26.79:47.7	61.72:81.04	0:0
S1228	5111	25.91:42.77	58.65:77.49	0:0
S1231	4831	21.3:29.72	48.78:63.89	0:0
S1232	5001	23.35:38.3	54.33:77.27	0:0
S1240	5192	24.75:50.9	59.03:83.24	0:0
S1254	5250	25.61:57.34	60.27:84.99	0:0
S1259	5207	22.09:63.05	53.96:87.56	0:0
S1273	5181	22.78:64.16	55.67:87.92	0:0
S1292	4811	19.81:29.72	46.8:62.5	0:0
S1319	5151	18.08:46.88	45.35:81.35	0:0
S1327	4973	20.58:33.15	48.3:68.04	0:0
S1361	4859	21.81:43.09	50.84:77.62	0:0
S1364	4981	18.29:41.39	44.37:77.27	0:0
S1366	5043	16.14:51.44	40.55:84.24	0:0
S1368	4789	11.82:40.68	30.39:78.44	0:0
S1374	4072	8.33:35.57	21.78:71.84	0:0
S1424	5316	43.07:48.22	77.7:81.04	0:0
S1448	5155	31.07:41.67	64.1:75.6	0:0
S1494	4798	20.19:29.12	47.37:62	0:0
S1503	4996	26.82:36.36	56.19:68.26	0:0
S1536	5115	32.17:41.96	64.73:74.78	0:0
