sample	number	mean_CD	mean_GQ	mean_MRR
S0156	1244	47.22	64.11	0.01
S0160	1246	42.88	61.36	0.01
S0170	1250	47.82	62.72	0.01
S0172	1242	40.38	58.72	0.01
S0225	1265	42.7	60.93	0.01
S0229	1282	40.29	58.43	0.01
S0237	1274	35.51	55.18	0.01
S0243	1259	39.47	57.32	0.01
S0258	1272	34.01	54.35	0.01
S0267	1295	33.91	50.61	0.01
S0269	1226	35.44	53.57	0.01
S0280	1387	24.93	38.16	0.01
S0287	1376	23.46	38.35	0
S0290	1370	28.25	42.32	0.01
S0306	1351	30.67	44.63	0.01
S0307	1319	28.96	43.73	0.01
S0322	1286	10.58	18.51	0
S0325	1318	17.57	27.95	0
S0330	1397	19.72	32.6	0
S0347	1333	26.59	40.86	0.01
S0349	1363	28.92	42.86	0.01
S0376	1312	32.73	47.3	0.01
S0400	1332	32.81	46.68	0.01
S0404	1325	33.86	46.99	0.01
S0406	1339	35.91	48.63	0.01
S0416	1310	27.58	43.49	0.01
S0428	1344	24.76	38.89	0.01
S0437	1325	27.78	43.12	0.01
S0439	1364	23.56	37.43	0.01
S0445	1292	24.81	39.46	0.01
S0466	1344	24.34	39.41	0.01
S0469	1333	29.05	44.3	0.01
S0490	1285	29.7	43.59	0.01
S0492	1267	31.18	44.22	0.01
S0494	1308	32.83	47.44	0.01
S0497	1291	30.22	45.02	0.01
S0552	1292	17.64	27.84	0
S0620	1257	12.54	20.72	0
S0631	1187	10.37	17.18	0
S0650	1268	15.16	25.05	0
S0653	1297	24.95	38.04	0.01
S0659	1267	22.45	34.78	0.01
S0671	1240	15.64	24.96	0.01
S0682	1277	20.31	32.31	0.01
S0693	1176	14.26	23.09	0
S0732	1298	14.48	24.8	0
S0761	1277	20.77	32.57	0.01
S0791	1162	13.43	22.3	0
S0812	1259	24.22	35.98	0.01
S0837	1286	19.6	31.14	0.01
S0867	1285	20.85	32.83	0.01
S0935	1324	32.55	46.96	0.01
S0940	1306	14.28	23.53	0
S0944	1317	35.39	51	0.01
S0947	1230	13.28	22.89	0
S0956	1287	18.4	29.94	0.01
S0958	1289	21.98	34.75	0.01
S1003	1291	34.33	49.97	0.01
S1041	1274	40.65	55.12	0.01
S1054	1312	29.54	43.17	0.01
S1071	1235	16.92	26.2	0.01
S1109	1158	11.07	18.9	0
S1123	1201	17.45	26.93	0.01
S1132	1289	31.74	49.15	0.01
S1156	1341	31.08	44.97	0
S1168	1299	41.26	53.49	0.01
S1169	1279	21.62	34.29	0.01
S1193	1279	42.09	54.88	0.01
S1205	1272	36.82	50.65	0.01
S1208	1364	30.95	45.92	0.01
S1211	1316	39.67	52.5	0.01
S1214	1335	32.48	47.72	0.01
S1217	1302	41.82	53	0.01
S1218	1317	17.16	29.62	0.01
S1219	1316	26.52	43.6	0.01
S1220	1330	19.61	34.03	0
S1228	1322	19.19	30.83	0.01
S1231	1190	14.55	23.51	0.01
S1232	1228	18.22	30.53	0.01
S1240	1376	17.76	32.29	0
S1254	1322	18.6	32.09	0
S1259	1318	15.91	28.18	0
S1273	1313	16.61	29.29	0
S1292	1178	12.64	20.59	0
S1319	1311	12.66	24.49	0
S1327	1240	13.75	22.8	0
S1361	1170	15.41	23.87	0
S1364	1263	12.49	20.77	0
S1366	1319	11.31	21.32	0
S1368	1202	8.28	14.84	0
S1374	1003	5.62	10.64	0
S1424	1332	32.97	48.58	0.01
S1448	1256	23.43	35.54	0.01
S1494	1157	13.13	21.36	0
S1503	1204	19.05	28.37	0.01
S1536	1257	23.79	35.43	0.01
