sample	number	mean_CD	mean_GQ	mean_MRR
S0156	2090	44.3	61.37	0.01
S0160	2079	42.73	60.04	0.01
S0170	2035	44.85	60.8	0.01
S0172	2051	38.24	57.89	0.01
S0225	2043	40.92	59.96	0.01
S0229	2119	38.76	58.38	0.01
S0237	2108	35.98	56.63	0.01
S0243	2096	37.28	57.02	0.01
S0258	2102	33.81	54.42	0
S0267	2106	37.23	54.15	0
S0269	2100	35.76	55.93	0.01
S0280	2360	28.07	45.74	0
S0287	2376	28.25	45.51	0
S0290	2388	32.17	49.91	0
S0306	2351	32.85	50.24	0
S0307	2299	32.37	49.09	0.01
S0322	2329	13.93	27.78	0
S0325	2357	21.18	38.73	0
S0330	2379	23.41	40.51	0
S0347	2336	30.81	46.72	0
S0349	2340	32.13	48.43	0
S0376	2364	38.93	52.11	0
S0400	2356	37.47	51.77	0
S0404	2299	38.75	51.99	0.01
S0406	2274	40.91	53.13	0.01
S0416	2326	32.32	50	0
S0428	2316	27.88	46.2	0
S0437	2341	30.9	48.41	0
S0439	2332	27.71	45.26	0
S0445	2362	28.7	47.13	0
S0466	2309	28.33	45.98	0
S0469	2348	32.6	49.82	0
S0490	2301	33.77	50.83	0.01
S0492	2349	34.55	51.65	0.01
S0494	2333	37.92	52.41	0.01
S0497	2381	34.9	52.05	0.01
S0552	2207	20.79	36.27	0
S0620	2444	21.28	39.44	0
S0631	2456	13.94	27.48	0
S0650	2276	19.39	36.02	0
S0653	2355	30.52	47.2	0
S0659	2359	28.18	46.38	0.01
S0671	2362	19.5	34.52	0
S0682	2237	25.34	42.61	0
S0693	2373	17.1	31.45	0
S0732	2369	19.13	34.94	0
S0761	2325	26.28	43.4	0
S0791	2305	16.93	31.27	0
S0812	2242	26.51	42.37	0
S0837	2284	22.92	39	0
S0867	2307	26.67	43.98	0
S0935	2298	38.82	53.4	0
S0940	2401	19.17	36.05	0
S0944	2300	43.17	57.25	0
S0947	2372	20.34	37.64	0
S0956	2355	24.97	42.96	0
S0958	2381	30.12	47.88	0
S1003	2330	43.72	56.39	0
S1041	2232	46.78	60.52	0.01
S1054	2320	36.11	51.3	0
S1071	2385	20.44	36.52	0
S1109	2370	15.08	28.54	0
S1123	2273	21.5	35.75	0
S1132	2342	35.97	56.12	0
S1156	2368	40.05	51.44	0
S1168	2219	50.42	61.31	0
S1169	2381	28.78	46.39	0
S1193	2296	51.31	62.51	0
S1205	2244	45.62	56.42	0
S1208	2359	37.52	52.91	0
S1211	2296	46.58	58.42	0.01
S1214	2350	41.53	53.99	0
S1217	2279	51.96	60.66	0
S1218	2425	26.95	48.83	0
S1219	2349	55.78	63.93	0.01
S1220	2357	38.53	52.72	0
S1228	2412	28.57	47.4	0
S1231	2389	17.02	31.28	0
S1232	2366	28.18	49.26	0
S1240	2437	40.68	53.39	0
S1254	2378	47.61	57.49	0
S1259	2375	51.54	60.39	0.01
S1273	2354	52.35	61.96	0.01
S1292	2348	16.77	30.3	0
S1319	2555	37.03	50	0
S1327	2449	19.94	35.33	0
S1361	2603	26.39	42.34	0
S1364	2530	26.88	43.02	0
S1366	2503	40.99	52.07	0
S1368	2736	25.12	42.09	0
S1374	3122	17.11	31.62	0
S1424	2323	39.78	54.13	0
S1448	2302	28.35	45.75	0
S1494	2304	16.33	29.45	0
S1503	2282	22.64	36.99	0
S1536	2255	28.41	45.49	0
