sample	number	mean_CD	mean_GQ	mean_MRR
S0156	7810	56.94:58.49	81.92:82.54	0.07:0.08
S0160	7802	53.03:54.57	81:81.54	0.08:0.08
S0170	7812	58.24:59.91	80.66:81.32	0.08:0.08
S0172	7787	49.35:50.67	79.21:79.81	0.08:0.08
S0225	7822	52.38:53.81	80.47:81.21	0.07:0.08
S0229	7800	48.61:49.89	79.9:80.42	0.08:0.08
S0237	7781	44.14:45.41	77.75:78.5	0.07:0.07
S0243	7796	48.53:50	79.08:80.06	0.07:0.08
S0258	7771	41.5:42.57	76.34:77.19	0.07:0.08
S0267	7787	43:44.34	75.47:76.03	0.07:0.07
S0269	7741	43.85:46.23	76.65:78.68	0.08:0.08
S0280	7557	35.3:40.81	70.22:74.95	0.06:0.06
S0287	7561	33.57:38.14	68.08:72.42	0.06:0.06
S0290	7613	39.68:46.92	72.91:77.81	0.06:0.07
S0306	7623	42.17:49.71	73.27:78.62	0.07:0.07
S0307	7604	41.34:49.76	72.41:78.15	0.07:0.07
S0322	7056	16.33:21.61	44.21:55.43	0.05:0.06
S0325	7395	26:31.55	60.47:68.1	0.06:0.07
S0330	7408	29.73:34.6	65.3:70.73	0.06:0.06
S0347	7539	39.11:45.84	72.13:76.85	0.07:0.07
S0349	7578	41.8:48.44	73.16:77.54	0.07:0.07
S0376	7608	46.73:53.87	76.73:80.51	0.07:0.07
S0400	7624	46.78:53.45	76.28:79.84	0.07:0.07
S0404	7593	47.07:54.97	76.17:80.18	0.07:0.07
S0406	7638	51.53:59.2	77.39:80.86	0.07:0.07
S0416	7570	38.23:44.94	72.76:77.83	0.06:0.07
S0428	7551	35.58:41.11	71.33:76.07	0.07:0.07
S0437	7566	38.74:45.38	72.79:77.5	0.07:0.07
S0439	7533	33.86:39.85	69.58:74.88	0.07:0.07
S0445	7533	34.8:43.32	68.62:76.67	0.07:0.07
S0466	7548	34.52:40.21	70.27:75.41	0.06:0.06
S0469	7596	39.16:46.88	72.43:78	0.07:0.07
S0490	7458	40.89:51.54	72.87:79.96	0.07:0.07
S0492	7456	42.15:54.38	72.78:80.47	0.07:0.07
S0494	7495	45.34:53.76	76.09:80.63	0.07:0.07
S0497	7494	41.04:52.8	72.9:80.29	0.07:0.07
S0552	7196	28.27:33.45	60.76:66.49	0.06:0.06
S0620	7181	18.37:35.7	48.04:72.26	0.06:0.07
S0631	6455	17.8:28.3	45.97:62.59	0.05:0.06
S0650	7327	23.02:33.14	54.38:67.05	0.06:0.07
S0653	7426	36.17:49.22	68.05:77.36	0.07:0.07
S0659	7437	31.56:45.86	64.5:76.22	0.06:0.07
S0671	6928	24.81:36.36	54.5:69.41	0.06:0.07
S0682	7445	29.8:43.1	62.47:73.33	0.07:0.07
S0693	6756	22.88:32.53	51.66:65.72	0.06:0.07
S0732	7273	21.67:33.25	52.78:67.63	0.06:0.06
S0761	7424	30.82:44.99	63.69:75.06	0.07:0.07
S0791	6775	22.06:32.36	51.63:64.96	0.06:0.06
S0812	7359	36.37:46.48	65.56:73.83	0.06:0.07
S0837	7414	29.86:38.3	61.16:70.05	0.06:0.07
S0867	7356	30.82:43.48	63.52:74.15	0.06:0.07
S0935	7735	44.71:52.02	77.34:81.17	0.07:0.08
S0940	7231	21.81:32.65	52.93:67.35	0.06:0.06
S0944	7771	47.69:55.87	78.49:81.64	0.07:0.07
S0947	7151	19.59:35.71	50.42:71.39	0.06:0.07
S0956	7364	26.81:41.82	59.57:73.59	0.06:0.07
S0958	7447	31.68:48.13	64.65:77.21	0.07:0.07
S1003	7772	47.17:56.06	77.3:81.08	0.07:0.07
S1041	7783	53.54:63.41	80.58:84.02	0.08:0.08
S1054	7694	41.36:47.83	73.05:76.9	0.07:0.07
S1071	7054	26.04:37.77	55.79:69.79	0.06:0.07
S1109	6619	18.14:30.08	46.27:63.88	0.05:0.06
S1123	7055	26.72:39.44	56.95:70.25	0.06:0.06
S1132	7745	43.2:52.17	75.99:81.05	0.07:0.07
S1156	7711	44.14:50.06	74.57:77.89	0.07:0.07
S1168	7839	55.08:64.38	80.41:83.45	0.07:0.08
S1169	7399	30.73:46.72	64.41:76.88	0.07:0.07
S1193	7833	54.74:63.12	81.38:83.87	0.08:0.08
S1205	7764	49.8:56.86	78.16:81.11	0.07:0.07
S1208	7752	43.49:50.3	76.62:80.07	0.07:0.07
S1211	7779	52.85:61.21	79.63:82.65	0.07:0.07
S1214	7764	45.61:52.44	76.82:80.59	0.07:0.07
S1217	7818	55.9:64.87	80.83:83.51	0.08:0.08
S1218	7594	24.8:39.65	56.96:74.58	0.06:0.07
S1219	7742	34.76:75.07	71.73:86.42	0.07:0.08
S1220	7587	27.28:52.49	62.67:80.66	0.06:0.07
S1228	7386	27.41:49.32	60.97:77.83	0.06:0.07
S1231	6816	23.01:32.8	52.21:66.64	0.06:0.06
S1232	7494	24.49:43.25	56.61:77.57	0.07:0.08
S1240	7576	24.63:56.15	60.07:82.53	0.06:0.07
S1254	7638	25.81:64.24	61.3:84.46	0.06:0.07
S1259	7646	21.97:71.44	56.23:86.54	0.06:0.08
S1273	7655	22.48:72.01	56.93:86.48	0.06:0.08
S1292	6762	21.26:33.32	50.42:65.63	0.05:0.06
S1319	7367	17.82:51.81	47.95:81.06	0.05:0.07
S1327	7146	21.6:36.62	51.69:70.24	0.06:0.07
S1361	6989	23.24:49.35	53.74:78.43	0.06:0.07
S1364	7113	18.58:46.75	47.68:77.98	0.06:0.07
S1366	7315	15.82:57.03	44.26:83.89	0.05:0.07
S1368	6834	12.02:46.96	34.55:79.18	0.05:0.07
S1374	5715	8.55:40.15	25.85:74.03	0.04:0.07
S1424	7748	45.88:52.91	77.23:80.44	0.07:0.07
S1448	7405	33.52:47.65	66.04:76.74	0.07:0.07
S1494	6710	21.59:32.62	51.21:65.13	0.06:0.06
S1503	7128	29.13:41.21	59.24:70.63	0.06:0.07
S1536	7498	34.71:47.57	65.95:75.32	0.07:0.07
