sample	number	mean_CD	mean_GQ	mean_MRR
S0156	1927	49.06	65.05	0.1
S0160	1921	42.99	60.92	0.09
S0170	1931	48.92	64.12	0.1
S0172	1909	40.8	60.39	0.1
S0225	1918	44.48	62.43	0.1
S0229	1901	39.82	59.08	0.09
S0237	1912	35.41	56.58	0.09
S0243	1920	39.34	58.01	0.1
S0258	1895	34.28	55.86	0.09
S0267	1907	33.08	51.54	0.08
S0269	1905	35.21	54.96	0.1
S0280	1799	25.06	41.64	0.06
S0287	1781	23.08	41	0.06
S0290	1810	28.49	45.88	0.06
S0306	1817	30.85	47.35	0.07
S0307	1815	29.4	47	0.07
S0322	1606	11.1	23.62	0.05
S0325	1701	17.89	32.81	0.06
S0330	1721	19.81	36.12	0.05
S0347	1782	26.81	44.33	0.07
S0349	1792	28.63	45.74	0.06
S0376	1802	32.87	50.15	0.07
S0400	1826	32.35	48.92	0.07
S0404	1815	33.54	49.36	0.07
S0406	1845	35.87	51.24	0.07
S0416	1806	27.27	46.66	0.07
S0428	1793	24.96	43.03	0.06
S0437	1804	27.9	46.17	0.07
S0439	1781	23.89	40.91	0.06
S0445	1802	25.31	43.73	0.07
S0466	1793	24.5	42.01	0.07
S0469	1814	29.14	47.46	0.07
S0490	1810	30.24	47.15	0.08
S0492	1779	32.33	48.26	0.08
S0494	1826	33.27	50.31	0.08
S0497	1797	31.25	48.28	0.08
S0552	1697	18.56	33.3	0.06
S0620	1674	13.17	26.7	0.07
S0631	1486	11.38	23.23	0.05
S0650	1707	15.99	31.11	0.06
S0653	1788	25.83	42.95	0.07
S0659	1763	23.2	39.75	0.07
S0671	1641	17.12	31.51	0.06
S0682	1774	21.49	38.61	0.07
S0693	1532	15.95	29.33	0.06
S0732	1699	15.05	30.2	0.06
S0761	1773	22.19	38.45	0.07
S0791	1531	14.51	28.7	0.06
S0812	1725	25.84	41.21	0.07
S0837	1754	20.46	35.87	0.07
S0867	1740	21.87	38.52	0.07
S0935	1844	31.85	49.59	0.07
S0940	1714	15.01	28.73	0.06
S0944	1846	34.38	52.57	0.07
S0947	1649	14.16	29.55	0.07
S0956	1719	19.48	34.97	0.06
S0958	1797	23.46	39.68	0.07
S1003	1817	33.47	51.53	0.08
S1041	1866	39.58	56.72	0.09
S1054	1791	28.92	46.94	0.07
S1071	1632	18.6	31.61	0.06
S1109	1491	11.88	25.23	0.05
S1123	1618	18.95	32.77	0.07
S1132	1863	31.63	51.4	0.08
S1156	1814	30.38	46.73	0.06
S1168	1888	38.97	54.22	0.08
S1169	1740	22.72	39.17	0.07
S1193	1875	39.71	56.35	0.08
S1205	1838	36.01	52.67	0.08
S1208	1843	30.37	48.92	0.07
S1211	1876	38.06	54.05	0.08
S1214	1833	31.9	49.77	0.07
S1217	1865	39.65	54.61	0.08
S1218	1794	17.94	34.98	0.07
S1219	1821	25.75	45.49	0.07
S1220	1743	19.57	37.59	0.06
S1228	1752	19.88	35.26	0.06
S1231	1534	15.8	28.99	0.06
S1232	1749	19.51	37.56	0.08
S1240	1736	17.45	35.27	0.05
S1254	1757	18.18	35.31	0.06
S1259	1745	15.9	32.57	0.06
S1273	1719	16.49	33.58	0.06
S1292	1530	13.62	26.87	0.06
S1319	1630	12.87	28.46	0.05
S1327	1613	14.56	28.59	0.06
S1361	1563	16.45	30.83	0.06
S1364	1640	13.19	26.51	0.06
S1366	1621	11.36	25.18	0.04
S1368	1488	8.69	20.48	0.05
S1374	1167	6.1	14.73	0.03
S1424	1860	31.94	49.98	0.07
S1448	1751	24.08	40.9	0.08
S1494	1517	14.26	27.32	0.06
S1503	1632	20.49	34.42	0.07
S1536	1774	25.28	42.02	0.08
