sample	number	mean_CD	mean_GQ	mean_MRR
S0156	2961	47.61	64.13	0.08
S0160	2915	44.87	62.25	0.07
S0170	2926	48.16	64.11	0.08
S0172	2905	40.6	60.58	0.08
S0225	2907	44.22	62.83	0.08
S0229	2916	40.23	60.26	0.07
S0237	2913	36.79	58.3	0.07
S0243	2924	39.26	59.27	0.08
S0258	2899	35.27	57.32	0.07
S0267	2915	37.83	56.4	0.07
S0269	2961	36.98	58.49	0.07
S0280	2974	29.72	48.87	0.05
S0287	2928	29.63	48.72	0.05
S0290	2997	34.02	53.28	0.05
S0306	3018	35.19	53.27	0.05
S0307	2994	34.27	51.86	0.06
S0322	2878	14.42	32.02	0.04
S0325	2951	21.99	42.6	0.05
S0330	2925	24.61	44.33	0.04
S0347	2998	32.28	50.01	0.05
S0349	2964	34.28	51.72	0.05
S0376	2997	40.84	54.93	0.05
S0400	2999	39.24	54.28	0.05
S0404	2991	40.61	55.04	0.05
S0406	2969	43.17	55.8	0.06
S0416	2990	33.48	52.9	0.05
S0428	2950	29.66	50.15	0.06
S0437	3026	32.49	52.23	0.06
S0439	2952	29.13	48.81	0.05
S0445	3032	30.7	50.54	0.05
S0466	2980	29.43	48.97	0.05
S0469	3003	34.47	52.55	0.05
S0490	3037	35.36	53.77	0.06
S0492	3081	37.15	54.65	0.06
S0494	3021	39.4	55.18	0.06
S0497	3039	37.31	55.28	0.05
S0552	2792	22.39	41.15	0.05
S0620	3190	22.7	44.08	0.05
S0631	3016	15.09	32.3	0.04
S0650	2929	20.73	40.41	0.05
S0653	3020	32.53	50.61	0.05
S0659	3047	30.62	49.79	0.05
S0671	3079	21.26	39.53	0.05
S0682	2966	27.63	46.99	0.06
S0693	2998	18.84	36.72	0.04
S0732	3055	20.29	39.63	0.05
S0761	3037	28.5	47.72	0.05
S0791	2905	18.41	36.48	0.04
S0812	2942	29.74	47.12	0.06
S0837	2938	24.73	43.94	0.05
S0867	3006	28.68	47.86	0.05
S0935	3029	40.19	56.63	0.06
S0940	3006	20.49	40.12	0.05
S0944	3033	44.34	58.95	0.06
S0947	3144	22.08	42.25	0.05
S0956	3052	27.07	47.47	0.05
S0958	3093	32.33	51.57	0.06
S1003	3047	44.26	58.43	0.06
S1041	3039	47.6	62.52	0.07
S1054	3006	37.3	54.14	0.05
S1071	3039	22.32	40.94	0.05
S1109	2990	16.38	33.7	0.04
S1123	2960	23.45	40.5	0.05
S1132	3071	37.49	58.34	0.06
S1156	3052	40.69	54.53	0.05
S1168	3032	51.47	62.89	0.06
S1169	3067	31.15	49.91	0.05
S1193	3061	50.9	63.18	0.06
S1205	3023	46.69	58.8	0.06
S1208	3045	38.97	55.6	0.05
S1211	3060	46.9	60.15	0.06
S1214	3054	42.4	56.71	0.06
S1217	3055	52.92	62.47	0.06
S1218	3138	28.2	51.84	0.05
S1219	3197	55.78	65.18	0.07
S1220	3153	38.96	54.82	0.06
S1228	3165	31.37	51.22	0.06
S1231	2988	18.6	35.75	0.04
S1232	3240	30.49	52.95	0.06
S1240	3243	41.59	56.41	0.06
S1254	3223	48.45	59.71	0.06
S1259	3292	51.93	62.09	0.07
S1273	3285	53.32	63.73	0.07
S1292	2949	18	35.42	0.04
S1319	3357	37.35	52.48	0.05
S1327	3165	21.67	40.03	0.05
S1361	3475	28.16	46.67	0.06
S1364	3346	28.48	47.16	0.06
S1366	3451	41.1	55.27	0.07
S1368	3680	27.11	47.01	0.06
S1374	4111	18.69	37.73	0.05
S1424	3060	41.07	56.8	0.06
S1448	3007	31.08	50.02	0.06
S1494	2926	17.67	34.98	0.05
S1503	2934	24.82	41.82	0.05
S1536	2998	31.29	49.85	0.06
