sample	number	mean_CD	mean_GQ	mean_MRR
S0156	661	61.77	69.24	0.01
S0160	603	68.24	73.77	0
S0170	564	65.48	67.64	0.02
S0172	647	62.62	72.69	0.01
S0225	611	64.18	71.41	0.01
S0229	643	64.92	73.28	0.01
S0237	591	60.31	72.67	0.01
S0243	653	57.91	70.71	0
S0258	597	52.89	70.03	0.01
S0267	621	62.13	72.42	0.01
S0269	788	48.19	60.23	0.01
S0280	777	39.4	53.44	0.01
S0287	765	42.76	55.41	0
S0290	831	45.15	56.84	0
S0306	800	47.27	57.29	0
S0307	856	42.26	55.9	0.01
S0322	1107	13.06	31.71	0
S0325	926	24.64	43.7	0
S0330	910	36.26	52.05	0
S0347	899	44.42	54.78	0.01
S0349	826	42.38	53.67	0
S0376	801	60.12	59.16	0
S0400	880	60.86	59.69	0
S0404	918	53.28	56.87	0
S0406	841	59.56	61.59	0.01
S0416	933	44.18	55.02	0
S0428	879	39.58	52.92	0
S0437	896	42.63	55.51	0
S0439	926	41.52	55.35	0
S0445	970	28.63	48.46	0
S0466	956	37.88	53.69	0
S0469	946	38.66	53.35	0
S0490	1048	34.71	49.3	0
S0492	1038	35.23	48.9	0
S0494	1021	46.44	52.89	0
S0497	1032	35.59	49.64	0
S0552	932	24.63	41.98	0
S0620	1346	18.47	39.79	0
S0631	1763	9.78	23.41	0
S0650	1080	18.65	38.42	0
S0653	1009	28.95	44.94	0
S0659	1055	28.96	47.6	0
S0671	1509	15.82	34.05	0
S0682	1007	25.93	44.8	0
S0693	1633	12.41	29.04	0
S0732	1141	17.28	35.72	0
S0761	984	26.67	44.46	0
S0791	1496	12.88	28.04	0
S0812	1062	27.68	45.07	0
S0837	970	23.9	43.88	0
S0867	1028	26.11	44.52	0
S0935	724	60.81	63.1	0.01
S0940	1086	16.8	35.53	0
S0944	749	68.83	63.36	0.01
S0947	1220	16.85	36.24	0
S0956	1128	24.01	43.45	0
S0958	973	27.56	45.97	0
S1003	773	64.66	63.2	0.01
S1041	806	70.98	65.13	0.01
S1054	801	62.62	60.61	0.01
S1071	1310	16.28	33.98	0
S1109	1782	11.58	26.66	0
S1123	1330	19.23	36.35	0
S1132	694	48.13	60.24	0.01
S1156	788	70.62	67.68	0.01
S1168	770	85.06	71.24	0.01
S1169	1015	25.92	43.67	0
S1193	694	81.3	70.42	0.01
S1205	793	76.96	64.43	0.01
S1208	742	59.34	61.93	0.01
S1211	825	74.77	66.22	0.01
S1214	759	69.8	64.93	0.01
S1217	734	82.06	68.24	0.01
S1218	899	24.96	44.21	0.01
S1219	880	86.36	67.66	0.01
S1220	964	60.87	60.76	0.01
S1228	1117	29.18	47.18	0
S1231	1682	12.07	28.05	0
S1232	1072	25.51	44.35	0.01
S1240	985	63.83	59.45	0.01
S1254	1010	75.38	64.15	0.01
S1259	898	70.35	63.55	0.01
S1273	900	70.75	62.11	0.01
S1292	1573	13.16	28.84	0
S1319	1084	53.12	55.34	0.01
S1327	1486	17.82	35.92	0
S1361	1762	21.96	40.71	0
S1364	1546	21.31	40.52	0
S1366	1080	52.82	57.68	0
S1368	2007	22.55	46.12	0
S1374	3757	14.45	36.09	0
S1424	771	61.85	61.37	0
S1448	1096	29.42	47.55	0
S1494	1569	13.01	27.99	0
S1503	1250	20.34	36.63	0
S1536	966	28.97	46.01	0
