sample	number	mean_CD	mean_GQ	mean_MRR
S0156	166	51.41	56.82	0.02
S0160	146	48.27	53.74	0.01
S0170	150	51.26	52.4	0.01
S0172	186	41.07	55.25	0.01
S0225	156	46.9	54.51	0.01
S0229	146	44.34	55.72	0.01
S0237	176	40.45	52.45	0.01
S0243	181	46.27	56.1	0
S0258	157	34.15	51.43	0.01
S0267	170	37.18	51.85	0
S0269	162	41.3	52.43	0.01
S0280	145	36.54	52.17	0.01
S0287	128	37.92	55.38	0.01
S0290	126	35.67	54.14	0
S0306	153	40.15	52.18	0.01
S0307	162	33.34	47.29	0.01
S0322	134	10.4	26.52	0
S0325	132	22.02	44.4	0.01
S0330	131	29.36	49.94	0
S0347	143	30.21	48.19	0.01
S0349	133	43.49	56.91	0
S0376	129	53.57	60.54	0
S0400	147	41.26	57.14	0.01
S0404	146	48.01	59.94	0.01
S0406	159	47.39	59.04	0.01
S0416	134	34.31	49.72	0
S0428	148	34.86	50.93	0
S0437	165	36.16	53.73	0.01
S0439	164	29.8	47.09	0
S0445	142	28.04	43.65	0
S0466	149	31.44	49.65	0
S0469	129	33.15	51.33	0
S0490	143	32.83	45.18	0
S0492	131	37.2	46.5	0
S0494	121	45.49	56.99	0
S0497	131	35.88	52.82	0.01
S0552	115	27.97	41.78	0
S0620	124	13	31.89	0
S0631	92	12.34	25.73	0
S0650	127	15.78	32.14	0
S0653	120	30.61	44.04	0
S0659	147	26.95	43.95	0
S0671	121	18.43	31.59	0
S0682	133	24.41	39.3	0
S0693	102	19.71	30.79	0
S0732	136	15.57	31.7	0
S0761	133	23.38	38.98	0
S0791	110	15.69	28.14	0
S0812	143	30.29	44.94	0
S0837	120	26.77	36.85	0
S0867	136	23.93	39.26	0
S0935	160	37.05	52.19	0.01
S0940	119	15.99	34.39	0
S0944	179	47.41	60.61	0.01
S0947	115	15.92	34.19	0
S0956	127	18.16	38.08	0
S0958	129	27.77	45.42	0
S1003	161	43.52	57.04	0.01
S1041	169	46.22	55.93	0.01
S1054	172	37.35	52.53	0
S1071	103	19.61	33.34	0
S1109	112	12.22	27.04	0.01
S1123	143	22.15	36.86	0
S1132	144	36.42	50.4	0.01
S1156	187	42.52	56.63	0.01
S1168	184	45.24	55.8	0.01
S1169	123	24.35	41.67	0
S1193	172	50.42	58.03	0
S1205	195	42.09	54.38	0.02
S1208	145	40.62	57.31	0.01
S1211	191	49.02	55.43	0.01
S1214	189	42.35	58.23	0.01
S1217	187	56.45	62.57	0
S1218	119	15.75	32.48	0
S1219	186	31.87	53.62	0.01
S1220	180	28.21	50.3	0.01
S1228	128	21.62	40.98	0
S1231	103	20.04	30.86	0
S1232	123	16.02	31.59	0.01
S1240	142	19.89	41.93	0
S1254	167	23.08	42.25	0
S1259	152	17.99	40.34	0
S1273	155	17.68	40.04	0
S1292	104	17.85	35.48	0
S1319	142	20.76	46.4	0
S1327	124	17.08	34.35	0
S1361	105	19.69	31.47	0.01
S1364	108	14.15	30.16	0.01
S1366	144	13.3	33.95	0
S1368	86	7.92	21.71	0
S1374	72	8.28	23.47	0
S1424	185	34.64	54.22	0.01
S1448	131	24.6	42.81	0.01
S1494	110	14.69	27.25	0
S1503	114	18.48	32.28	0
S1536	130	30.43	46.75	0
