sample	number	mean_CD	mean_GQ	mean_MRR
S0156	77821	47.89:48.21	92.28:92.4	0:0
S0160	77505	47.9:48.25	92.68:92.78	0:0
S0170	77374	49.5:49.85	92.04:92.13	0:0
S0172	77172	44.33:44.67	91.42:91.55	0:0
S0225	77770	46.16:46.46	92.17:92.28	0:0
S0229	77332	45.2:45.57	92.21:92.32	0:0
S0237	77241	42.53:42.83	90.98:91.09	0:0
S0243	77568	45.53:45.88	92.18:92.3	0:0
S0258	77622	39.64:39.94	89.34:89.5	0:0
S0267	77120	44.14:44.48	90.46:90.57	0:0
S0269	77159	41.82:43.01	90.27:91.22	0:0
S0280	77368	36.58:40.32	85.13:89.17	0:0
S0287	77527	36.22:39.26	84.49:88.07	0:0
S0290	77029	38.93:43.78	87.17:91.06	0:0
S0306	76847	39.36:44.49	86.88:90.96	0:0
S0307	77054	37.94:43.48	84.83:90.02	0:0
S0322	75885	17.55:23.13	47.5:61.82	0:0
S0325	76354	27.88:32.12	71.38:79.91	0:0
S0330	76791	32.63:36.39	79.93:85.44	0:0
S0347	76899	39.89:44.14	87.45:90.97	0:0
S0349	77055	41.56:45.75	88.16:91.33	0:0
S0376	76607	45.45:50.12	90.87:93.21	0:0
S0400	76817	45.37:49.82	90.63:92.99	0:0
S0404	76903	45.12:50.29	90.63:93.24	0:0
S0406	76897	48.69:53.6	91.53:93.64	0:0
S0416	76765	38.12:42.8	86.93:91.02	0:0
S0428	76637	36.26:40.2	85.24:89.58	0:0
S0437	76585	37.69:42.29	86.38:90.64	0:0
S0439	76810	34.93:39.23	83.65:88.66	0:0
S0445	76855	32.14:38.55	78.55:87.41	0:0
S0466	77035	34.9:39.11	83.65:88.73	0:0
S0469	77347	36.92:42.37	84.72:90.2	0:0
S0490	76331	35.94:43.33	82.81:90.17	0:0
S0492	75944	35.71:44.1	81.89:90.19	0:0
S0494	76556	42.18:48.17	88.35:92.29	0:0
S0497	76000	36.18:44.3	82.89:90.54	0:0
S0552	76858	27.44:31.89	68.58:76.35	0:0
S0620	74744	18.52:32.37	50.6:80.4	0:0
S0631	71198	15.71:25.06	43.12:64.48	0:0
S0650	75842	21.47:29.93	57.31:74.38	0:0
S0653	76159	32.72:41.47	77.26:87.19	0:0
S0659	76327	29.04:38.83	72.84:86.05	0:0
S0671	74027	20.59:30.8	53.97:74.67	0:0
S0682	76525	26.96:36.5	68.39:82.57	0:0
S0693	72218	18.79:27.89	49.71:69.42	0:0
S0732	76119	20.67:30.45	55.72:75.39	0:0
S0761	76642	27.62:37.58	69.82:83.8	0:0
S0791	73300	19.55:28.38	52:69.76	0:0
S0812	76095	31.02:39.08	71.9:83.12	0:0
S0837	76496	27.68:34.34	68.58:79.38	0:0
S0867	76735	28.43:37.53	70.84:84.27	0:0
S0935	77296	45.34:50.39	92.19:94.31	0:0
S0940	76344	20.65:29.87	55.53:74.31	0:0
S0944	77256	48.57:54.22	93.17:94.99	0:0
S0947	75454	18.85:31.67	51.69:78.52	0:0
S0956	76055	25.53:36.17	66.29:83.48	0:0
S0958	76649	28.98:39.91	73.01:87.04	0:0
S1003	77245	48.78:54.97	93.05:95.14	0:0
S1041	77469	50.8:57.56	94.21:95.78	0:0
S1054	77076	44.46:48.82	90.14:92.64	0:0
S1071	74487	21.82:31.86	56.52:76.06	0:0
S1109	71859	16.59:27.06	45.37:68.49	0:0
S1123	74963	23.3:33.25	59.76:76.65	0:0
S1132	77549	39.96:45.85	88.63:92.61	0:0
S1156	77694	47.72:51.77	91.02:93.08	0:0
S1168	77479	56.02:62.58	95.12:96.31	0:0
S1169	76166	28.69:39.43	72.32:86.45	0:0
S1193	77480	55.6:61.63	95.22:96.41	0:0
S1205	77138	51.86:56.97	93.32:94.9	0:0
S1208	77410	44.16:48.95	91.82:94	0:0
S1211	77824	53.21:59.09	94.41:95.83	0:0
S1214	77738	47.46:52.34	93.06:94.8	0:0
S1217	77742	57.25:63.48	95.16:96.34	0:0
S1218	77128	23.3:34.69	60.36:83.26	0:0
S1219	77783	37.13:69.86	87.27:97.31	0:0
S1220	77915	31.43:51.84	78.81:94.46	0:0
S1228	76421	26.03:40.74	67.79:87.83	0:0
S1231	72547	19.11:28.37	50.58:70.52	0:0
S1232	75759	22.01:35.56	57.55:84.63	0:0
S1240	77116	28.94:54.48	74.57:95.27	0:0
S1254	77219	30.03:61.72	76.6:96.43	0:0
S1259	77366	25.31:63.61	67.51:97	0:0
S1273	77217	26.19:65.41	69.58:97.23	0:0
S1292	72966	18.97:28.99	50.86:70.76	0:0
S1319	76915	22.2:51.36	59.27:94.13	0:0
S1327	75040	20.08:32.59	53.6:78.07	0:0
S1361	73799	20.79:40.3	55.11:86.51	0:0
S1364	74501	18.5:39.43	50.3:87.03	0:0
S1366	76598	19.64:53.74	53.28:95.33	0:0
S1368	73084	11.93:38.78	33.25:87.88	0:0
S1374	62166	7.47:32.8	21.11:78.28	0:0
S1424	77496	46.89:51.96	92.77:94.62	0:0
S1448	76204	30.73:40.26	75.01:86.65	0:0
S1494	72625	19.03:28.19	50.9:69.46	0:0
S1503	75162	24.83:34.23	62.17:77.37	0:0
S1536	76432	30.52:39.59	73.52:84.83	0:0
