sample	number	mean_CD	mean_GQ	mean_MRR
S0156	10511	51.69	89.95	0
S0160	10550	52.08	90.25	0
S0170	10499	53.27	89.92	0
S0172	10350	47.64	88.71	0
S0225	10503	49.75	89.62	0
S0229	10445	48.62	89.8	0
S0237	10475	45.61	88.48	0
S0243	10471	49.32	89.62	0
S0258	10440	41.86	86.91	0
S0267	10508	48.01	88.63	0
S0269	10337	44.24	87.3	0
S0280	10425	38.22	82.6	0
S0287	10470	38.13	82.58	0
S0290	10465	40.98	84.55	0
S0306	10399	41.5	84.37	0
S0307	10361	39.71	82.79	0
S0322	10165	18.13	49.05	0
S0325	10347	28.49	70.79	0
S0330	10374	33.76	78.14	0
S0347	10382	42.44	84.62	0
S0349	10429	44.24	85.14	0
S0376	10430	49.18	88.33	0
S0400	10415	49.14	88.22	0
S0404	10407	48.56	87.76	0
S0406	10380	52.83	88.56	0
S0416	10370	39.99	84.64	0
S0428	10382	37.81	82.95	0
S0437	10351	39.48	84.01	0
S0439	10336	36.3	81.7	0
S0445	10365	33.08	77.12	0
S0466	10345	36.26	81.5	0
S0469	10386	38.77	82.85	0
S0490	10223	37.86	81.29	0
S0492	10279	37.15	80.13	0
S0494	10363	44.92	85.91	0
S0497	10249	37.8	81.29	0
S0552	10244	28.92	68.49	0
S0620	10059	19.09	51.58	0
S0631	9520	16.26	44.08	0
S0650	10226	21.95	57.38	0
S0653	10312	33.84	75.7	0
S0659	10221	29.85	72.15	0
S0671	9812	21.26	54.52	0
S0682	10210	27.91	68.25	0
S0693	9597	19.62	50.66	0
S0732	10190	21.21	56.19	0
S0761	10185	28.6	69.34	0
S0791	9696	20.34	52.89	0
S0812	10201	32.36	70.62	0
S0837	10302	28.77	68.2	0
S0867	10287	29.15	70.06	0
S0935	10468	48.47	89.69	0
S0940	10172	21.28	56.23	0
S0944	10508	52.17	90.57	0
S0947	10054	19.2	52.33	0
S0956	10204	26.06	65.92	0
S0958	10278	29.84	72.51	0
S1003	10492	52.86	90.9	0
S1041	10493	54.76	91.6	0
S1054	10456	47.5	87.91	0
S1071	10032	22.5	56.88	0
S1109	9549	17.06	46.19	0
S1123	9936	23.98	59.53	0
S1132	10542	41.68	86.58	0
S1156	10489	51.44	88.93	0
S1168	10488	60.94	92.63	0
S1169	10248	29.45	71.83	0
S1193	10554	61.05	93.12	0
S1205	10458	56.14	91.14	0
S1208	10537	47.25	89.31	0
S1211	10513	57.67	91.71	0
S1214	10510	51.1	90.77	0
S1217	10532	62.71	92.87	0
S1218	10482	23.58	61.62	0
S1219	10554	39.08	85.68	0
S1220	10385	32.54	77.87	0
S1228	10198	26.53	67.44	0
S1231	9630	19.84	51.41	0
S1232	10305	22.24	58.78	0
S1240	10439	29.5	74.11	0
S1254	10459	30.84	75.97	0
S1259	10436	25.68	67.8	0
S1273	10465	26.49	69.5	0
S1292	9681	19.6	51.44	0
S1319	10333	22.73	60.28	0
S1327	9975	20.75	54.08	0
S1361	9792	21.55	55.81	0
S1364	10024	19.04	51.14	0
S1366	10351	20.08	54.38	0
S1368	9727	12.44	34.41	0
S1374	8356	7.78	21.84	0
S1424	10461	50.37	90.08	0
S1448	10264	31.73	73.85	0
S1494	9649	19.63	51.44	0
S1503	10029	25.84	62.03	0
S1536	10288	31.79	72.73	0
