sample	number	mean_CD	mean_GQ	mean_MRR
S0156	11730	43.58	82.38	0
S0160	11781	44.82	83.29	0
S0170	11813	44.37	82.6	0
S0172	11766	41.14	81.17	0
S0225	11857	42.4	82.11	0
S0229	11866	42.17	82.23	0
S0237	11846	40.53	81.02	0
S0243	11824	42.89	82.23	0
S0258	11745	37.04	79.09	0
S0267	11798	43.29	81.43	0
S0269	11906	39.71	79.97	0
S0280	12182	36.58	76.8	0
S0287	12152	36.9	76.98	0
S0290	12205	39.21	78.67	0
S0306	12165	38.98	78.53	0
S0307	12222	37.44	76.63	0
S0322	12565	18.62	48.41	0
S0325	12419	27.6	65.59	0
S0330	12201	32.65	72.52	0
S0347	12179	40.12	78.27	0
S0349	12173	40.93	78.32	0
S0376	12185	45.33	81.23	0
S0400	12227	45.34	80.77	0
S0404	12250	44.78	80.62	0
S0406	12097	47.72	81.45	0
S0416	12247	38.33	77.74	0
S0428	12316	35.88	76.3	0
S0437	12262	37.24	77.11	0
S0439	12129	35.16	75.22	0
S0445	12418	32.2	71.91	0
S0466	12223	34.86	75.01	0
S0469	12433	36.86	76.26	0
S0490	12674	35.64	73.53	0
S0492	12681	35.79	74.38	0
S0494	12514	41.39	77.47	0
S0497	12623	36.2	74.34	0
S0552	12146	26.92	62.33	0
S0620	12977	24.99	61.35	0
S0631	14612	15.71	40.37	0
S0650	12473	23.43	57.93	0
S0653	12574	33.26	70.9	0
S0659	12586	31.27	69.86	0
S0671	13360	21.85	53.15	0
S0682	12411	28.88	66.01	0
S0693	14275	18.5	45.93	0
S0732	12571	23.62	58.11	0
S0761	12300	29.88	67.35	0
S0791	13583	19.34	47.75	0
S0812	12426	30.7	66.23	0
S0837	12248	27.76	64.31	0
S0867	12682	29.39	66.72	0
S0935	12185	47.88	84.39	0
S0940	12638	23.21	57.35	0
S0944	12205	51.67	85.4	0
S0947	12961	24	59.09	0
S0956	12776	28.09	65.18	0
S0958	12542	32.26	70.73	0
S1003	12239	53.33	85.67	0
S1041	12167	52.86	85.8	0
S1054	12200	47.55	82.91	0
S1071	13230	22.98	55.25	0
S1109	14378	17.47	44.21	0
S1123	12874	24.04	56.29	0
S1132	12189	40.98	81.32	0
S1156	12119	52.15	84.59	0
S1168	12096	59.93	87.36	0
S1169	12638	31.39	69.52	0
S1193	12239	60.05	88.31	0
S1205	12024	55.82	85.26	0
S1208	12229	46.18	83.95	0
S1211	12096	56.78	86.63	0
S1214	12244	51.05	85.59	0
S1217	12104	62.13	88.08	0
S1218	12378	29.48	69.79	0
S1219	12416	65.54	88.68	0
S1220	12416	49.03	82.77	0
S1228	12712	32.11	70.64	0
S1231	14311	18.78	46.82	0
S1232	12602	29.62	69.08	0
S1240	12361	51.1	84.03	0
S1254	12289	59.78	86.49	0
S1259	12402	58.53	85.95	0
S1273	12446	60.07	87.85	0
S1292	13802	19.37	47.64	0
S1319	12786	47.72	80.93	0
S1327	13892	23.13	55.5	0
S1361	15132	27.28	60.59	0
S1364	13992	28.57	64.21	0
S1366	12892	49.48	81.75	0
S1368	15934	26.75	62.06	0
S1374	24985	16.75	41.94	0
S1424	12144	49.46	84.79	0
S1448	12561	32.08	69.81	0
S1494	13778	18.79	46.4	0
S1503	12738	25.15	58.15	0
S1536	12368	31.74	69.43	0
