sample	number	mean_CD	mean_GQ	mean_MRR
S0156	16805	95.06:96.18	97.48:97.63	0.43:0.44
S0160	17084	93.25:94.5	97.53:97.67	0.43:0.44
S0170	17693	95.84:97.09	95.38:95.53	0.42:0.42
S0172	17431	83.22:84.39	97.34:97.53	0.43:0.43
S0225	16831	87.76:88.92	97.53:97.72	0.43:0.43
S0229	17363	84.77:85.86	97.39:97.57	0.43:0.43
S0237	17537	77.53:78.56	97.31:97.53	0.43:0.43
S0243	16939	86.75:87.88	97.63:97.81	0.43:0.43
S0258	17263	68.9:69.75	97.23:97.39	0.43:0.43
S0267	17584	81.64:82.75	97.39:97.53	0.43:0.43
S0269	17017	72.35:78.55	97.57:97.79	0.43:0.43
S0280	16493	57.03:70.61	96.21:97.09	0.42:0.42
S0287	16491	56.93:67.96	96.38:97.17	0.42:0.42
S0290	16945	63.45:81.31	96.63:97.66	0.42:0.43
S0306	17124	65.16:83.54	96.35:97.44	0.42:0.43
S0307	16680	60.92:79.99	95.9:97.25	0.42:0.43
S0322	14536	20.41:29	85.62:91.33	0.38:0.4
S0325	16435	36.35:47.51	93.32:95.43	0.4:0.41
S0330	16573	48.81:60.61	95.35:96.57	0.41:0.42
S0347	16658	64.51:81.52	96.37:97.44	0.42:0.43
S0349	16876	70.3:86.9	96.67:97.51	0.42:0.43
S0376	17211	81.55:99.39	97.44:98.05	0.43:0.43
S0400	16876	81.81:98.39	97.38:98.05	0.43:0.43
S0404	16754	81.72:101.3	97.36:98.05	0.43:0.44
S0406	16879	89.91:108.72	97.29:97.96	0.43:0.44
S0416	16913	61.41:77.59	96.74:97.76	0.42:0.43
S0428	16922	56.72:69.86	96.48:97.49	0.42:0.43
S0437	16909	60.07:75.66	96.55:97.64	0.42:0.43
S0439	16523	53.69:67.35	96.28:97.27	0.42:0.42
S0445	16342	48.45:68	94.85:97.01	0.41:0.42
S0466	16375	53.24:66.7	96.37:97.39	0.42:0.42
S0469	16317	58.67:77.07	96.36:97.57	0.42:0.43
S0490	15960	58.9:83.67	95.85:97.68	0.42:0.43
S0492	16368	58.55:86.71	95.37:97.6	0.42:0.43
S0494	16338	72.98:93.96	96.9:98.02	0.43:0.43
S0497	16665	59.37:87.1	95.75:97.72	0.42:0.43
S0552	14915	41.67:53.57	93:95.13	0.41:0.41
S0620	14872	22.56:58.99	84.97:95.79	0.38:0.41
S0631	11948	23.32:44.99	82.65:93.08	0.38:0.4
S0650	15188	29.19:50.04	88.2:94.48	0.39:0.41
S0653	16267	49.47:79.81	94.08:96.93	0.41:0.42
S0659	15659	41.85:75.12	92.89:96.86	0.41:0.42
S0671	13605	31.64:56.54	86.72:95.17	0.39:0.41
S0682	15384	40.14:69.62	91.82:96.15	0.4:0.42
S0693	13004	29.68:49.76	85:94.1	0.39:0.41
S0732	14551	27.92:52.67	87.52:94.64	0.39:0.41
S0761	15615	41.77:74.19	92.64:96.54	0.4:0.42
S0791	12982	30.42:53.44	86.43:93.93	0.39:0.41
S0812	15692	50.26:73.94	92.85:96.46	0.41:0.42
S0837	15857	41.54:60.36	92.43:95.5	0.4:0.42
S0867	14978	41.5:70.48	92.54:96.49	0.41:0.42
S0935	17522	77.02:93.69	97.6:98.16	0.43:0.44
S0940	14055	28.31:51.64	87.6:94.6	0.39:0.41
S0944	17347	84.4:102.92	97.88:98.32	0.43:0.44
S0947	14348	24.15:58.81	85.79:95.65	0.38:0.41
S0956	15320	35.33:69.3	90.8:96.27	0.4:0.42
S0958	15799	42.03:80.51	93.02:97	0.41:0.42
S1003	17681	84.81:105.42	97.88:98.33	0.43:0.44
S1041	17166	91.39:114.42	97.9:98.45	0.43:0.44
S1054	17537	74.34:89.12	97.36:97.86	0.43:0.43
S1071	13973	32.85:58	87.06:95.1	0.39:0.41
S1109	12100	24.37:50.07	83.76:93.81	0.39:0.4
S1123	13793	36.2:65.14	88.9:95.23	0.4:0.41
S1132	17229	63.88:84.19	96.88:97.65	0.42:0.43
S1156	17086	82.25:95.93	97.58:97.95	0.43:0.44
S1168	17290	102.59:124.26	98.16:98.51	0.44:0.44
S1169	16019	40.91:78.25	92.51:96.92	0.4:0.42
S1193	17615	99.51:119.33	98.19:98.51	0.44:0.44
S1205	17647	91.62:107.89	97.81:98.26	0.43:0.44
S1208	17310	74.34:89.95	97.6:98.12	0.43:0.43
S1211	16788	95.34:114.46	98.05:98.41	0.44:0.44
S1214	17124	81.27:96.83	97.97:98.31	0.43:0.44
S1217	17199	105.12:125.67	98.07:98.35	0.44:0.44
S1218	15712	29.89:60.01	88.83:94.61	0.39:0.41
S1219	16803	56.79:141.76	97.46:98.86	0.42:0.45
S1220	15136	43.9:97.92	96.16:98.62	0.41:0.44
S1228	15462	35.95:85.29	91.59:97.47	0.4:0.42
S1231	12720	28.79:49	84.68:94.08	0.39:0.41
S1232	15851	27.79:62	87.77:95.43	0.38:0.41
S1240	16974	37.99:105.57	95.43:98.67	0.41:0.44
S1254	17032	40.24:122.71	95.7:98.77	0.41:0.44
S1259	16452	30.94:132.07	94.2:98.89	0.4:0.45
S1273	16906	31.86:132.76	94.62:98.91	0.4:0.45
S1292	13110	28.61:54.47	85.99:94.49	0.39:0.41
S1319	15853	26.9:99.96	91.9:98.73	0.39:0.44
S1327	13921	28.79:58.37	87.7:96.76	0.39:0.42
