sample	number	mean_CD	mean_GQ	mean_MRR
S0156	1518	95.31	93.18	0.37
S0160	1511	96.95	93.65	0.38
S0170	1532	96.05	91.62	0.36
S0172	1459	83.6	92.74	0.37
S0225	1399	89.03	93.79	0.37
S0229	1409	88.6	93.3	0.37
S0237	1442	83.89	93.04	0.37
S0243	1429	97.7	93.34	0.37
S0258	1441	74.27	93.15	0.37
S0267	1490	93.01	93.08	0.37
S0269	1475	80.32	92.11	0.37
S0280	1428	77.47	90	0.37
S0287	1431	79.03	90.81	0.37
S0290	1399	82.46	89.64	0.37
S0306	1459	79.61	90.02	0.37
S0307	1439	76.17	89.15	0.38
S0322	1435	28.43	80.1	0.36
S0325	1482	48.38	85.17	0.37
S0330	1340	66.39	89.19	0.37
S0347	1488	86.37	90.05	0.38
S0349	1475	90.16	92.09	0.38
S0376	1481	107.64	91.6	0.38
S0400	1527	104.96	90.97	0.37
S0404	1494	101.9	90.77	0.38
S0406	1583	109.46	91.33	0.37
S0416	1507	79.07	89.48	0.38
S0428	1478	75.53	89.31	0.38
S0437	1534	76.76	89.19	0.37
S0439	1564	71.36	89.5	0.38
S0445	1442	62.02	88.43	0.37
S0466	1554	71.06	89.58	0.38
S0469	1413	71.84	88.93	0.37
S0490	1611	74.53	87.53	0.38
S0492	1580	70.67	86.33	0.37
S0494	1551	91.97	88.81	0.37
S0497	1652	72.56	86.02	0.37
S0552	1354	53.82	85.48	0.37
S0620	1644	41.12	82.52	0.36
S0631	1562	26.97	72.54	0.36
S0650	1405	39.88	82.6	0.36
S0653	1455	66.31	86.74	0.37
S0659	1342	60.53	85.45	0.37
S0671	1594	36.71	79.86	0.37
S0682	1398	57.62	86.39	0.37
S0693	1683	30.77	76.12	0.37
S0732	1464	40.24	83.34	0.36
S0761	1593	59.17	87.05	0.37
S0791	1462	34.22	76.98	0.37
S0812	1482	62.07	85.88	0.37
S0837	1446	51.99	85.92	0.37
S0867	1477	56.28	85.43	0.37
S0935	1597	100.03	91.69	0.38
S0940	1409	38.48	81.78	0.37
S0944	1609	110.3	91.93	0.38
S0947	1617	40.76	82.64	0.37
S0956	1509	53.33	83.71	0.36
S0958	1570	64.56	88.18	0.37
S1003	1584	116.29	92.11	0.38
S1041	1562	115.34	92.16	0.38
S1054	1534	97.22	91.89	0.38
S1071	1591	38.49	79.83	0.37
S1109	1722	28.19	74.18	0.36
S1123	1516	44.99	82.85	0.37
S1132	1525	83.36	90.39	0.37
S1156	1619	109.6	92.23	0.38
S1168	1683	133.86	92.77	0.38
S1169	1525	58.56	85.26	0.37
S1193	1684	126.22	92.21	0.38
S1205	1750	114.13	92.54	0.38
S1208	1534	95.03	91.81	0.38
S1211	1594	121.52	92.87	0.38
S1214	1499	112	92.42	0.38
S1217	1680	133.91	92.7	0.38
S1218	1421	51.24	84.89	0.36
S1219	1605	136.11	92.17	0.38
S1220	1602	102.49	91.06	0.38
S1228	1595	63.26	86.43	0.37
S1231	1613	30.78	75.43	0.37
S1232	1690	47.47	83.27	0.35
S1240	1728	100.99	89.56	0.38
S1254	1736	117	92.03	0.38
S1259	1984	115.02	90.97	0.38
S1273	1818	123.76	92.01	0.37
S1292	1580	33.09	76.05	0.36
S1319	1824	91.47	89.61	0.37
S1327	1812	40.68	81.83	0.37
S1361	2257	45.53	82.47	0.37
S1364	2021	50.96	83.73	0.37
S1366	1938	97.41	90.34	0.38
S1368	2563	43.36	84.08	0.37
S1374	4084	24.63	76.85	0.37
S1424	1638	106.62	92.45	0.37
S1448	1485	61.63	86.16	0.38
S1494	1590	30.49	75.88	0.36
S1503	1542	45.55	82.02	0.37
S1536	1405	61.38	86.55	0.37
