sample	number	mean_CD	mean_GQ	mean_MRR
S0156	10969	52.48	89.36	0.01
S0160	11002	52.78	89.7	0.01
S0170	11006	53.94	89.28	0.01
S0172	10972	48.57	88.22	0.01
S0225	10991	50.39	89.02	0.01
S0229	10931	49.24	89.3	0.01
S0237	10976	46.2	87.85	0.01
S0243	10942	49.92	89.05	0.01
S0258	10931	42.28	86.36	0.01
S0267	10990	48.62	88.07	0.01
S0269	10922	45.01	86.8	0.01
S0280	10870	38.63	82.43	0.01
S0287	10892	38.47	82.42	0.01
S0290	10864	41.41	84.29	0.01
S0306	10861	41.92	83.96	0.01
S0307	10827	40	82.41	0.01
S0322	10512	18.06	49.43	0.01
S0325	10776	28.64	70.94	0.01
S0330	10773	34.18	78.09	0.01
S0347	10823	42.71	84.17	0.01
S0349	10858	44.8	84.86	0.01
S0376	10874	49.91	88.04	0.01
S0400	10875	49.83	87.85	0.01
S0404	10844	49.4	87.44	0.01
S0406	10859	53.43	88.12	0.01
S0416	10843	40.45	84.35	0.01
S0428	10837	38.15	82.64	0.01
S0437	10828	39.86	83.63	0.01
S0439	10830	36.55	81.41	0.01
S0445	10789	33.35	76.93	0.01
S0466	10773	36.55	81.27	0.01
S0469	10798	39.06	82.63	0.01
S0490	10639	38.23	80.93	0.01
S0492	10675	37.59	79.81	0.01
S0494	10770	45.48	85.64	0.01
S0497	10675	38.32	81.15	0.01
S0552	10596	29.17	68.52	0.01
S0620	10395	19.1	51.89	0.01
S0631	9798	16.4	44.63	0.01
S0650	10604	22.06	57.7	0.01
S0653	10707	34.25	75.62	0.01
S0659	10605	30.09	72.09	0.01
S0671	10149	21.45	54.8	0.01
S0682	10595	28.11	68.32	0.01
S0693	9904	19.82	51.08	0.01
S0732	10544	21.31	56.42	0.01
S0761	10573	28.78	69.34	0.01
S0791	10013	20.51	53.25	0.01
S0812	10588	32.86	70.69	0.01
S0837	10679	28.89	68.14	0.01
S0867	10625	29.29	69.92	0.01
S0935	11029	48.9	89.01	0.01
S0940	10523	21.42	56.61	0.01
S0944	11050	52.62	89.94	0.01
S0947	10390	19.3	52.69	0.01
S0956	10546	26.14	65.86	0.01
S0958	10670	30.11	72.45	0.01
S1003	11043	53.51	90.37	0.01
S1041	10991	55.2	90.93	0.01
S1054	10997	47.88	87.34	0.01
S1071	10319	22.67	57.07	0.01
S1109	9843	17.16	46.56	0.01
S1123	10335	24.3	59.91	0.01
S1132	11004	41.99	86.17	0.01
S1156	11041	51.84	88.27	0.01
S1168	11069	61.44	91.9	0.01
S1169	10640	29.63	71.81	0.01
S1193	11100	61.51	92.42	0.01
S1205	11032	56.37	90.37	0.01
S1208	11045	47.58	88.85	0.01
S1211	11048	58.14	90.95	0.01
S1214	11054	51.55	90.15	0.01
S1217	11078	63.21	92.13	0.01
S1218	10858	23.65	61.74	0.01
S1219	11023	39.33	85.18	0.01
S1220	10878	32.85	77.72	0.01
S1228	10584	26.67	67.55	0.01
S1231	9914	20.02	51.75	0.01
S1232	10682	22.29	58.87	0.01
S1240	10904	29.53	73.99	0.01
S1254	10932	30.85	75.67	0.01
S1259	10908	25.68	67.92	0.01
S1273	10928	26.53	69.63	0.01
S1292	9978	19.84	51.89	0.01
S1319	10766	22.83	60.69	0.01
S1327	10330	20.97	54.52	0.01
S1361	10093	21.82	56.13	0.01
S1364	10340	19.13	51.55	0.01
S1366	10793	20.13	55	0.01
S1368	9986	12.48	34.95	0.01
S1374	8519	7.84	22.4	0
S1424	11017	50.72	89.39	0.01
S1448	10662	31.97	73.77	0.01
S1494	9954	19.77	51.72	0.01
S1503	10370	26.01	62.2	0.01
S1536	10668	32.03	72.67	0.01
