sample	number	mean_CD	mean_GQ	mean_MRR
S0156	13918	50.12	82.93	0.04
S0160	13907	51.53	84.01	0.04
S0170	13928	50.97	82.99	0.04
S0172	13890	46.66	82.01	0.04
S0225	13885	48.11	82.83	0.04
S0229	13935	48	82.95	0.04
S0237	13892	45.9	81.92	0.04
S0243	13927	49.3	82.84	0.04
S0258	13800	41.66	80.19	0.04
S0267	13931	49.49	82.27	0.04
S0269	14190	44.45	80.15	0.04
S0280	14400	40.81	76.86	0.04
S0287	14364	41.45	77.21	0.04
S0290	14455	43.8	78.48	0.04
S0306	14440	43.6	78.53	0.04
S0307	14532	41.61	76.66	0.04
S0322	15116	19.16	50.21	0.03
S0325	14847	29.52	66.2	0.04
S0330	14469	36.05	72.79	0.04
S0347	14590	45.16	78.02	0.04
S0349	14491	46.1	78.32	0.04
S0376	14482	52.57	81.09	0.04
S0400	14647	52.53	80.57	0.04
S0404	14680	51.18	80.18	0.04
S0406	14544	55.19	81.38	0.04
S0416	14708	42.88	77.51	0.04
S0428	14698	40.13	76.2	0.04
S0437	14714	41.71	77.07	0.04
S0439	14637	39.46	75.5	0.04
S0445	14851	34.92	71.99	0.04
S0466	14755	38.93	75.18	0.04
S0469	14815	40.34	76.01	0.04
S0490	15351	39.69	73.35	0.04
S0492	15317	39.38	73.9	0.04
S0494	15106	46.95	76.97	0.04
S0497	15324	40.13	73.94	0.04
S0552	14444	29.33	63.21	0.04
S0620	15988	26.12	61.73	0.04
S0631	17951	16.12	41.53	0.03
S0650	14973	24.64	58.86	0.03
S0653	15047	36.17	70.71	0.04
S0659	14999	33.76	69.69	0.03
S0671	16476	22.74	53.99	0.04
S0682	14832	31.43	66.51	0.04
S0693	17610	19.12	47.27	0.04
S0732	15193	24.76	58.88	0.04
S0761	14893	32.81	67.97	0.04
S0791	16558	20.09	48.57	0.03
S0812	14991	33.62	66.7	0.04
S0837	14681	29.92	65.11	0.04
S0867	15206	31.81	67.05	0.04
S0935	14530	54.34	84.14	0.04
S0940	15153	24.17	58.07	0.03
S0944	14583	59.08	85	0.04
S0947	15817	25.18	59.75	0.04
S0956	15430	30.29	65.43	0.04
S0958	15101	35.34	70.96	0.04
S1003	14613	60.83	85.19	0.04
S1041	14561	60.65	85.34	0.04
S1054	14557	53.65	82.63	0.04
S1071	16150	23.99	55.97	0.04
S1109	17900	17.93	45.36	0.04
S1123	15740	25.68	57.18	0.04
S1132	14423	45.83	81.26	0.04
S1156	14554	59.57	84.53	0.04
S1168	14574	69.89	87.14	0.04
S1169	15194	33.78	69.38	0.04
S1193	14627	68.71	87.91	0.04
S1205	14591	64.03	85.01	0.05
S1208	14520	52.07	83.66	0.04
S1211	14542	64.98	86.16	0.04
S1214	14529	58.4	85.2	0.04
S1217	14539	71.47	87.61	0.04
S1218	14716	31.35	69.7	0.04
S1219	14915	74.38	87.81	0.04
S1220	14999	55.55	82.24	0.04
S1228	15451	35.16	70.59	0.04
S1231	17626	19.24	47.65	0.03
S1232	15384	31.34	68.92	0.04
S1240	15097	57.69	83.06	0.04
S1254	15057	67.5	85.63	0.05
S1259	15301	66.63	85.29	0.05
S1273	15185	68.39	86.82	0.05
S1292	16967	20.08	48.54	0.03
S1319	15710	53.21	80.17	0.04
S1327	17206	24.55	56.61	0.04
S1361	19166	28.97	61.36	0.04
S1364	17582	30.56	64.39	0.04
S1366	15935	55.61	81.18	0.05
S1368	20522	28.46	63.27	0.05
S1374	32840	17.49	45.63	0.05
S1424	14574	56.6	84.42	0.04
S1448	15162	34.81	69.81	0.04
S1494	16961	19.37	47.49	0.03
S1503	15550	26.81	58.8	0.04
S1536	14756	34.43	69.53	0.04
