sample	number	mean_CD	mean_GQ	mean_MRR
S0156	106265	59.79:60.53	92.83:93.11	0.07:0.07
S0160	106242	59.46:60.26	93.17:93.43	0.07:0.07
S0170	106289	61.72:62.51	91.96:92.22	0.07:0.07
S0172	106172	54.25:54.98	92.08:92.37	0.07:0.07
S0225	106271	56.88:57.59	92.73:93.01	0.07:0.07
S0229	106247	55.51:56.27	92.75:93.04	0.07:0.07
S0237	106232	51.64:52.29	91.73:92.02	0.07:0.07
S0243	106320	55.95:56.69	92.66:92.95	0.07:0.07
S0258	106184	47.04:47.63	90.32:90.66	0.07:0.07
S0267	106264	53.75:54.47	91.31:91.57	0.07:0.07
S0269	105920	49.64:52.29	91.14:92.19	0.07:0.07
S0280	105485	41.61:47.97	86.37:90.19	0.07:0.07
S0287	105517	41.28:46.48	85.91:89.3	0.07:0.07
S0290	105558	45.14:53.49	88.25:91.96	0.07:0.07
S0306	105565	45.93:54.65	88:91.88	0.07:0.07
S0307	105441	43.63:52.77	86.12:91	0.07:0.07
S0322	102326	17.89:24.14	52.5:65.96	0.06:0.06
S0325	104299	29.78:35.82	74.38:82.18	0.06:0.07
S0330	104835	36.53:42.43	81.93:87.04	0.07:0.07
S0347	105366	46.12:53.8	88.4:91.83	0.07:0.07
S0349	105389	48.89:56.39	89.13:92.15	0.07:0.07
S0376	105397	54.95:63.27	91.6:93.9	0.07:0.07
S0400	105310	54.74:62.52	91.35:93.69	0.07:0.07
S0404	105300	54.35:63.4	91.29:93.86	0.07:0.07
S0406	105423	59.17:67.82	92.09:94.19	0.07:0.07
S0416	105054	44.03:51.81	88.14:91.98	0.07:0.07
S0428	105080	41.49:47.94	86.7:90.73	0.07:0.07
S0437	105152	43.38:50.98	87.61:91.62	0.07:0.07
S0439	105121	39.59:46.41	85.26:89.84	0.07:0.07
S0445	104746	36.03:45.81	80.7:88.82	0.06:0.07
S0466	104960	39.39:46.04	85.29:89.95	0.07:0.07
S0469	105003	42.19:50.98	86.14:91.22	0.07:0.07
S0490	104011	41.49:53.34	84.48:91.27	0.06:0.07
S0492	103893	41.26:54.78	83.6:91.3	0.07:0.07
S0494	104416	49.76:59.71	89.29:93.08	0.07:0.07
S0497	104004	41.89:55.12	84.57:91.63	0.07:0.07
S0552	103163	30.53:36.77	71.96:79.14	0.06:0.06
S0620	102046	19.05:38.09	55.09:82.75	0.06:0.07
S0631	94823	16.73:28.42	47.65:68.4	0.05:0.06
S0650	102995	22.97:34.32	61.53:77.41	0.06:0.06
S0653	104074	36.63:50.84	79.45:88.63	0.06:0.07
S0659	104126	31.92:47.46	75.47:87.63	0.06:0.07
S0671	99927	22.54:35.95	58:77.63	0.05:0.06
S0682	103888	29.87:44.21	71.56:84.59	0.06:0.06
S0693	97163	20.53:31.91	53.9:72.92	0.05:0.06
S0732	102781	21.99:35.14	59.87:78.21	0.06:0.06
S0761	104071	30.65:45.95	72.86:85.69	0.06:0.07
S0791	98179	21.34:33.09	56.16:73.15	0.05:0.06
S0812	103563	35.4:47.32	74.7:85.15	0.06:0.07
S0837	104141	30.71:40.32	71.88:81.82	0.06:0.07
S0867	103474	31.19:45.01	73.59:86.03	0.06:0.06
S0935	106313	53.64:61.97	92.67:94.77	0.07:0.07
S0940	102775	22.03:34.37	59.57:77.19	0.05:0.06
S0944	106401	58.07:67.39	93.53:95.37	0.07:0.07
S0947	101901	19.68:37.32	56.06:81.07	0.05:0.06
S0956	103177	27.55:43.72	69.48:85.41	0.06:0.07
S0958	104121	31.9:49.51	75.67:88.49	0.06:0.07
S1003	106467	58.27:68.48	93.43:95.49	0.07:0.07
S1041	106320	61.44:72.71	94.43:96.08	0.07:0.07
S1054	106256	52.29:59.6	90.77:93.2	0.07:0.07
S1071	100659	23.91:37.36	60.27:78.86	0.05:0.06
S1109	96014	17.62:31.06	49.67:71.92	0.05:0.06
S1123	101017	25.73:39.87	63.34:79.26	0.05:0.06
S1132	106295	46.2:55.99	89.37:93.19	0.07:0.07
S1156	106490	56.63:63.4	91.65:93.63	0.07:0.07
S1168	106622	68.2:79.01	95.3:96.54	0.07:0.07
S1169	103799	31.44:48.73	74.99:88.02	0.06:0.07
S1193	106675	67.25:77.2	95.36:96.6	0.07:0.07
S1205	106335	62.38:70.68	93.69:95.28	0.07:0.07
S1208	106355	52.11:59.94	92.31:94.47	0.07:0.07
S1211	106487	64.1:73.68	94.61:96.09	0.07:0.07
S1214	106549	56.25:64.16	93.42:95.16	0.07:0.07
S1217	106690	69.66:79.86	95.25:96.48	0.07:0.07
S1218	105306	24.54:40.49	63.57:84.51	0.06:0.06
S1219	106477	41.99:88.43	88.52:97.45	0.07:0.07
S1220	105773	34.37:63.38	80.87:94.89	0.06:0.06
S1228	103814	28.01:50.96	70.88:89.27	0.06:0.07
S1231	97488	20.72:32.32	54.54:73.82	0.05:0.06
S1232	104419	23.07:41.79	61.12:85.86	0.06:0.07
S1240	105864	31.07:67.68	77.39:95.66	0.07:0.07
S1254	106194	32.46:77.54	79.16:96.67	0.07:0.07
S1259	105954	26.46:80.78	71.14:97.2	0.06:0.07
S1273	106151	27.45:82.82	73.08:97.41	0.07:0.07
