sample	number	mean_CD	mean_GQ	mean_MRR
S0156	18452	95.99	97.22	0.43
S0160	18689	94.59	97.3	0.43
S0170	19377	96.83	95.07	0.41
S0172	18985	84.25	97.12	0.43
S0225	18351	88.84	97.39	0.43
S0229	18876	85.99	97.18	0.43
S0237	19106	78.83	97.13	0.43
S0243	18478	88.53	97.42	0.43
S0258	18847	70.04	97.01	0.42
S0267	19176	83.53	97.12	0.43
S0269	18654	78.34	97.12	0.43
S0280	18239	70.51	96.01	0.42
S0287	18193	68.39	96.18	0.42
S0290	18671	80.6	96.56	0.42
S0306	18918	82.47	96.42	0.42
S0307	18445	78.83	96.13	0.42
S0322	17033	28.01	88.45	0.39
S0325	18419	46.86	93.71	0.41
S0330	18342	60.2	95.27	0.41
S0347	18474	81.23	96.42	0.42
S0349	18668	86.38	96.59	0.42
S0376	18990	99.32	97.15	0.43
S0400	18669	98.24	97.13	0.43
S0404	18528	100.42	97.1	0.43
S0406	18708	108.02	97.03	0.43
S0416	18737	76.91	96.61	0.42
S0428	18716	69.6	96.33	0.42
S0437	18788	75.04	96.41	0.42
S0439	18397	67.07	96.08	0.42
S0445	18259	66.49	95.68	0.42
S0466	18217	66.49	96.21	0.42
S0469	18079	75.81	96.34	0.42
S0490	18021	81.55	96.16	0.42
S0492	18468	83.66	95.98	0.42
S0494	18245	92.7	96.75	0.43
S0497	18849	84.3	95.99	0.42
S0552	16794	52.53	93.37	0.41
S0620	18061	54.4	93.02	0.4
S0631	15526	39.2	87.35	0.39
S0650	17704	47.13	91.74	0.4
S0653	18332	76.98	95.31	0.42
S0659	17645	72.25	95.17	0.41
S0671	16729	51.11	91.33	0.4
S0682	17525	66.66	94.34	0.41
S0693	16515	44.05	89.25	0.4
S0732	17180	49.3	91.94	0.4
S0761	17904	70.86	94.76	0.41
S0791	16000	47.97	89.5	0.4
S0812	17887	70.93	94.49	0.41
S0837	17961	58.18	93.67	0.41
S0867	17181	67.25	94.5	0.41
S0935	19330	93.82	97.39	0.43
S0940	16622	48.13	91.65	0.4
S0944	19153	103.18	97.56	0.43
S0947	17458	53.99	92.8	0.4
S0956	17750	65.59	94.07	0.41
S0958	18008	77.29	95.48	0.41
S1003	19476	105.8	97.54	0.43
S1041	18948	113.94	97.72	0.43
S1054	19339	89.28	96.97	0.43
S1071	17084	52.64	91.53	0.4
S1109	15806	43.41	88.45	0.39
S1123	16458	59.89	92.13	0.4
S1132	19027	83.51	96.71	0.42
S1156	18899	96.8	97.14	0.43
S1168	19139	124.66	97.8	0.44
S1169	18304	74.4	94.91	0.41
S1193	19455	119.62	97.77	0.44
S1205	19593	107.97	97.48	0.43
S1208	19086	89.93	97.35	0.43
S1211	18554	114.61	97.72	0.44
S1214	18816	97.66	97.54	0.43
S1217	19039	126.08	97.67	0.44
S1218	18158	57.29	92.55	0.4
S1219	18666	140.23	98.06	0.44
S1220	17141	97.02	97.48	0.43
S1228	17936	80.53	95.62	0.42
S1231	16107	43.6	89.31	0.4
S1232	18883	58	92.85	0.4
S1240	19246	103.33	97.41	0.43
S1254	19240	120.44	97.85	0.44
S1259	19128	127.41	97.78	0.44
S1273	19383	129.29	98.01	0.44
S1292	16391	48.38	89.81	0.4
S1319	18602	96.02	97.3	0.43
S1327	17414	52.59	93.11	0.41
S1361	18037	72.7	94.9	0.41
S1364	18302	71.79	95.13	0.41
S1366	18996	100.71	97.49	0.43
S1368	17750	70.87	94.95	0.41
S1374	16451	48.27	89.99	0.4
S1424	18992	99.02	97.61	0.43
S1448	18227	75.58	95.28	0.42
S1494	16047	47.01	89.12	0.4
S1503	17097	61.76	92.35	0.41
S1536	18152	74.9	95.21	0.41
