sample	number	mean_CD	mean_GQ	mean_MRR
S0156	18919	36.81	98.54	0.43
S0160	19057	25.94	97.55	0.41
S0170	19765	29.76	95.24	0.4
S0172	19682	24.91	96.69	0.41
S0225	18851	38.37	98.54	0.43
S0229	19237	28.6	98.08	0.42
S0237	19532	32.87	98.34	0.42
S0243	18923	29.69	98.27	0.42
S0258	19474	27.69	97.48	0.42
S0267	19562	23.61	96.57	0.41
S0269	19114	26.87	97.57	0.41
S0280	18947	25.87	97.98	0.41
S0287	18866	28.11	97.8	0.42
S0290	19386	34.62	98.52	0.43
S0306	19481	31.13	98.29	0.42
S0307	19061	26.03	96.87	0.41
S0322	19219	26.6	97.65	0.42
S0325	19563	23.97	96.81	0.41
S0330	19340	28.2	97.81	0.42
S0347	19104	30.28	98.46	0.42
S0349	19396	28.21	97.83	0.42
S0376	19495	23.87	97.56	0.41
S0400	19285	34.29	98.46	0.42
S0404	18910	25.38	96.87	0.41
S0406	19280	30.41	98.23	0.42
S0416	19297	26.37	97.59	0.41
S0428	19360	24.62	97.18	0.41
S0437	19433	25.19	97.99	0.41
S0439	19084	24.94	97.25	0.41
S0445	19059	35.96	98.43	0.43
S0466	18843	29.57	98.21	0.42
S0469	18713	35.61	98.39	0.42
S0490	18794	26.71	97.42	0.41
S0492	19378	37.57	98.47	0.43
S0494	18959	28.56	97.98	0.42
S0497	19785	32.58	98.57	0.42
S0552	18427	31.29	98.3	0.42
S0620	19705	32.61	98.57	0.42
S0631	19313	32.56	98.33	0.42
S0650	19583	26.34	97.16	0.41
S0653	19228	23.52	96.32	0.41
S0659	18665	24.7	96.94	0.41
S0671	19043	30.31	98.25	0.42
S0682	18950	38.26	98.68	0.43
S0693	19364	23.33	96.7	0.41
S0732	19060	32.39	98.42	0.42
S0761	19094	30.67	98.31	0.42
S0791	18838	24.96	96.78	0.41
S0812	19200	29.84	97.91	0.42
S0837	19212	24.75	97.15	0.41
S0867	18355	31.33	98.39	0.42
S0935	19542	37.27	98.72	0.43
S0940	18441	28.13	98.06	0.42
S0944	19269	32.38	98.47	0.42
S0947	19281	28.46	98.05	0.42
S0956	19157	34.35	98.2	0.42
S0958	18999	30.89	97.98	0.42
S1003	19541	28.03	97.97	0.42
S1041	19056	30.78	98.21	0.42
S1054	19505	34.34	98.57	0.42
S1071	19185	27.41	97.81	0.42
S1109	19143	31.34	98.38	0.42
S1123	18737	30.5	98.33	0.42
S1132	19127	23.4	96.22	0.41
S1156	18813	25.1	96.95	0.41
S1168	19121	34.02	98.39	0.43
S1169	19541	28.34	97.95	0.42
S1193	19442	27.87	98.07	0.42
S1205	19664	29	98.09	0.42
S1208	19244	29.07	98.19	0.42
S1211	18648	32.33	98.51	0.42
S1214	18952	31.34	98.07	0.42
S1217	18844	26.41	97.55	0.42
S1218	18517	25.45	97.3	0.41
S1219	18685	26.34	97.65	0.41
S1220	17246	26.12	97.34	0.41
S1228	18959	31.54	98.28	0.42
S1231	18948	31.14	98.33	0.42
S1232	19199	29.67	98.29	0.42
S1240	19337	24.86	97.21	0.41
S1254	19129	23.46	96.35	0.41
S1259	19009	24.65	97	0.41
S1273	19401	29.42	98.23	0.42
S1292	19353	25.32	97.3	0.41
S1319	18795	31.52	98.34	0.42
S1327	18960	29.41	98.09	0.42
S1361	19196	28.88	98.24	0.42
S1364	19549	32.17	98.41	0.42
S1366	19130	25.94	97.38	0.41
S1368	18756	26.1	97.4	0.41
S1374	19178	24.5	97.04	0.41
S1424	19112	28.32	97.76	0.42
S1448	19418	29.97	98.12	0.42
S1494	19252	32.43	98.39	0.42
S1503	19191	30.24	98.22	0.42
S1536	19242	28.23	97.79	0.42
