sample	number	mean_CD	mean_GQ	mean_MRR
S0156	1724	69.14	82.44	0.34
S0160	1648	66.91	83.74	0.35
S0170	1820	73.59	81.97	0.32
S0172	1675	62.23	81.99	0.35
S0225	1660	65.06	82.54	0.35
S0229	1623	60.07	82.96	0.35
S0237	1568	53.87	81.81	0.35
S0243	1627	59.95	81.66	0.35
S0258	1600	51.06	81.22	0.35
S0267	1572	53.57	80.59	0.35
S0269	1650	55.15	80.53	0.34
S0280	1396	49.77	81.86	0.34
S0287	1411	48.04	81.39	0.34
S0290	1387	59.02	83.65	0.34
S0306	1485	62.9	82.11	0.34
S0307	1463	63.79	82.29	0.34
S0322	1251	24.32	76.83	0.34
S0325	1440	36.99	79.62	0.34
S0330	1372	40.69	81.52	0.35
S0347	1482	56.47	81.5	0.34
S0349	1508	60.59	83.67	0.34
S0376	1503	69.41	84.69	0.35
S0400	1470	67.9	83.14	0.34
S0404	1487	67.19	83.29	0.34
S0406	1511	74.63	83.64	0.34
S0416	1423	53.62	82.39	0.35
S0428	1482	50.59	83.69	0.35
S0437	1528	55.13	82.53	0.34
S0439	1493	48.57	82.29	0.34
S0445	1491	53.44	82.3	0.34
S0466	1401	47.77	80.23	0.34
S0469	1457	58.58	82.41	0.34
S0490	1531	64.23	82.88	0.34
S0492	1569	69.57	82.75	0.34
S0494	1448	65.29	83.46	0.34
S0497	1498	67.37	84.42	0.34
S0552	1397	41.12	79.67	0.33
S0620	1529	43.74	80.61	0.33
S0631	1242	34.8	79.41	0.34
S0650	1460	40.87	77.87	0.33
S0653	1539	64.57	83.56	0.34
S0659	1450	59.9	81.22	0.33
S0671	1408	45.99	79.99	0.33
S0682	1543	55.9	80.9	0.33
S0693	1396	41.49	79.93	0.33
S0732	1445	40.84	78.36	0.33
S0761	1578	56.92	80.92	0.33
S0791	1297	40.43	79.42	0.33
S0812	1472	59.78	81.55	0.33
S0837	1527	47.95	80.42	0.33
S0867	1469	54.48	80.57	0.33
S0935	1658	61.12	83.1	0.34
S0940	1357	39.63	78.99	0.33
S0944	1597	67.43	82.68	0.34
S0947	1478	44.72	80.75	0.33
S0956	1453	53.61	80.84	0.33
S0958	1531	62.83	82.72	0.33
S1003	1632	66.51	81.91	0.34
S1041	1699	76.19	83.75	0.34
S1054	1594	58.84	81.58	0.34
S1071	1431	47.87	79.77	0.32
S1109	1262	37.64	78.79	0.33
S1123	1401	50.87	80.79	0.33
S1132	1612	61.87	82.83	0.34
S1156	1563	60.54	83.08	0.34
S1168	1646	78.28	82.38	0.34
S1169	1553	58.86	82.56	0.34
S1193	1648	74	83.04	0.34
S1205	1669	67.89	83.83	0.34
S1208	1556	59.89	82.95	0.34
S1211	1502	71.07	82.7	0.34
S1214	1611	62.69	82.1	0.34
S1217	1686	77.85	83.59	0.34
S1218	1627	48.38	79.56	0.32
S1219	1709	89.73	85.36	0.35
S1220	1502	61.1	81.14	0.33
S1228	1507	64.08	82.26	0.33
S1231	1314	42.16	80.09	0.33
S1232	1728	52.26	82.09	0.33
S1240	1594	65.13	82.94	0.34
S1254	1675	77.18	83.88	0.34
S1259	1726	86.71	83.92	0.35
S1273	1697	84.13	84.16	0.34
S1292	1275	42.49	79.95	0.33
S1319	1517	61.44	82.07	0.34
S1327	1488	44.82	79.18	0.33
S1361	1533	61.06	81.32	0.33
S1364	1466	57.7	81.57	0.33
S1366	1635	66.15	83.62	0.34
S1368	1465	57.95	81.66	0.33
S1374	1409	44.74	79.21	0.33
S1424	1587	64.72	83	0.34
S1448	1527	61.29	82.98	0.33
S1494	1291	40.98	80.32	0.33
S1503	1429	53.12	81.29	0.33
S1536	1603	61.87	81.41	0.33
