sample	number	mean_CD	mean_GQ	mean_MRR
S0156	1551	66.6	81.4	0.34
S0160	1509	63.09	81.75	0.35
S0170	1634	70.81	80.24	0.32
S0172	1541	59.91	81.05	0.34
S0225	1486	63.48	81.24	0.34
S0229	1495	58.21	81.52	0.35
S0237	1459	51.77	80.58	0.34
S0243	1460	57.52	80.07	0.35
S0258	1443	49.5	79.9	0.34
S0267	1400	50.35	79.25	0.34
S0269	1463	51.47	79.05	0.35
S0280	1240	40.17	78.61	0.34
S0287	1287	38.38	77.24	0.34
S0290	1233	47.63	81.11	0.34
S0306	1304	51.04	79.02	0.34
S0307	1301	51.02	79.45	0.34
S0322	1050	18.69	74.15	0.34
S0325	1264	28.86	76.58	0.34
S0330	1202	33.39	79.65	0.35
S0347	1295	45.8	79.7	0.34
S0349	1345	48.86	80.22	0.34
S0376	1389	56.4	82.36	0.34
S0400	1359	55.37	78.73	0.33
S0404	1339	55.02	80.32	0.34
S0406	1368	62.09	81.06	0.34
S0416	1269	43.39	78.72	0.34
S0428	1291	41.89	81.07	0.35
S0437	1352	44.74	79.61	0.34
S0439	1299	39.9	79.66	0.34
S0445	1312	41.97	78.73	0.33
S0466	1228	39.24	77.36	0.34
S0469	1266	46.65	81.43	0.35
S0490	1363	50.11	79.91	0.34
S0492	1369	53.77	81.11	0.34
S0494	1306	52.99	80.74	0.34
S0497	1357	51.55	80.65	0.34
S0552	1266	33.75	75.91	0.33
S0620	1178	21.69	72.29	0.33
S0631	994	22.97	73.38	0.33
S0650	1224	28.32	75.21	0.33
S0653	1384	44.9	79.28	0.34
S0659	1262	39.75	78.41	0.33
S0671	1152	33.07	75.09	0.33
S0682	1334	37.63	78.02	0.34
S0693	1123	31.69	75.95	0.33
S0732	1159	26.77	75.01	0.33
S0761	1359	38.33	78.06	0.33
S0791	1074	28.04	74.19	0.33
S0812	1280	47.15	78.81	0.34
S0837	1315	36.83	76.03	0.33
S0867	1306	37.22	76.6	0.33
S0935	1456	50.18	80.82	0.34
S0940	1126	26.12	73.47	0.33
S0944	1446	53.92	80.75	0.34
S0947	1194	23.2	73.31	0.33
S0956	1230	33.59	75.67	0.33
S0958	1371	39.39	76.16	0.33
S1003	1489	53.08	79.15	0.34
S1041	1487	62.46	81.68	0.34
S1054	1462	47.63	78.72	0.33
S1071	1183	34.63	75.69	0.33
S1109	992	23.01	71.89	0.33
S1123	1194	34.8	74.27	0.33
S1132	1477	49.35	79.38	0.33
S1156	1422	50.09	79.1	0.34
S1168	1480	63.32	79.97	0.35
S1169	1309	36.48	77.8	0.34
S1193	1509	60.32	81.44	0.34
S1205	1500	55.91	80.27	0.34
S1208	1404	47.95	81.29	0.34
S1211	1352	58.93	79.52	0.33
S1214	1429	51.76	78.59	0.34
S1217	1542	62.31	81.08	0.34
S1218	1410	29.31	72.73	0.32
S1219	1457	37.66	78.53	0.34
S1220	1203	29.91	76.51	0.34
S1228	1252	33.17	76.08	0.33
S1231	1105	30.85	73.53	0.33
S1232	1457	29.19	73.28	0.32
S1240	1272	25.58	75.39	0.33
S1254	1305	28.03	76.88	0.34
S1259	1316	23.9	76.49	0.34
S1273	1279	23.27	74.55	0.33
S1292	1041	28.33	74.21	0.33
S1319	1078	20	74.93	0.34
S1327	1140	27.56	74.29	0.34
S1361	1160	30.11	74.88	0.34
S1364	1100	21.77	73.17	0.33
S1366	1095	17.48	74.79	0.34
S1368	880	15.17	69.75	0.33
S1374	651	12.19	66.18	0.34
S1424	1430	52.97	80.17	0.34
S1448	1295	40.71	78.22	0.33
S1494	1044	28.08	75	0.33
S1503	1217	37.63	76.88	0.33
S1536	1403	43.44	77.49	0.34
