sample	number	mean_CD	mean_GQ	mean_MRR
S0156	1371	27.94	90.58	0.4
S0160	1292	20.48	89.4	0.39
S0170	1440	23.07	86	0.37
S0172	1333	19.81	89.35	0.38
S0225	1361	27.93	88.97	0.39
S0229	1332	22.4	90.68	0.4
S0237	1325	25.95	91.42	0.4
S0243	1298	23.93	91.47	0.39
S0258	1370	21.41	87.93	0.39
S0267	1281	18.24	87.03	0.39
S0269	1271	21.64	90.85	0.39
S0280	1283	20.83	90.7	0.39
S0287	1344	21.84	90.31	0.4
S0290	1338	26.41	90.55	0.4
S0306	1379	23.97	90.61	0.4
S0307	1254	20.27	87.8	0.38
S0322	1277	21.27	89.83	0.4
S0325	1272	18.96	88.66	0.39
S0330	1356	22.15	88.84	0.39
S0347	1341	24.41	91.77	0.4
S0349	1394	22.46	90.21	0.39
S0376	1304	18.95	89.39	0.39
S0400	1346	26.57	90.77	0.39
S0404	1226	19.67	88.51	0.39
S0406	1356	23.71	90.38	0.4
S0416	1149	20.24	89.68	0.39
S0428	1284	19.75	90.35	0.39
S0437	1242	20.77	92.75	0.39
S0439	1289	20.01	89.42	0.39
S0445	1246	25.92	89.46	0.39
S0466	1278	22.67	89.54	0.39
S0469	1231	26.89	90.48	0.4
S0490	1329	20.42	87.6	0.39
S0492	1373	28.13	91.51	0.4
S0494	1324	21.67	88.94	0.39
S0497	1373	25.9	91.74	0.4
S0552	1324	24.53	90.55	0.4
S0620	1370	24.58	90.54	0.4
S0631	1378	24.75	90.01	0.4
S0650	1264	20.5	87.99	0.38
S0653	1283	18.55	87.6	0.38
S0659	1168	19.72	87.5	0.39
S0671	1318	23.37	90.45	0.4
S0682	1418	29.84	91.87	0.4
S0693	1309	18.55	88.78	0.38
S0732	1299	25.18	90.79	0.39
S0761	1390	24.11	90.19	0.4
S0791	1252	19.79	89.43	0.39
S0812	1333	22.6	89.23	0.39
S0837	1263	19.59	89.41	0.39
S0867	1318	24.3	90.38	0.4
S0935	1460	29.18	91.81	0.4
S0940	1239	21.6	89.3	0.39
S0944	1312	24.8	91.08	0.4
S0947	1370	21.96	89.39	0.39
S0956	1242	26.42	90.7	0.4
S0958	1328	23.62	90.11	0.39
S1003	1310	21.66	89.85	0.39
S1041	1361	23.33	89.23	0.4
S1054	1380	26.97	91.5	0.4
S1071	1259	21.25	89.7	0.39
S1109	1310	24.57	90.63	0.39
S1123	1294	24.36	91.2	0.4
S1132	1208	18.28	88.14	0.39
S1156	1271	19.76	88.57	0.39
S1168	1315	25.92	90.72	0.4
S1169	1292	21.52	89.49	0.39
S1193	1308	22.48	90.7	0.4
S1205	1341	22.62	89.49	0.39
S1208	1272	22.98	90.99	0.39
S1211	1221	25.54	90.83	0.4
S1214	1275	23.95	89.76	0.39
S1217	1340	20.77	89	0.39
S1218	1218	20.57	90.21	0.39
S1219	1330	20.82	89.33	0.39
S1220	1188	20.19	88.63	0.39
S1228	1282	24.08	89.99	0.39
S1231	1290	24.36	90.54	0.4
S1232	1349	23.33	90.57	0.4
S1240	1270	20.09	88.3	0.38
S1254	1283	18.74	87.2	0.38
S1259	1294	19.43	88.85	0.39
S1273	1306	22.31	88.41	0.39
S1292	1269	19.67	89.05	0.39
S1319	1291	24.43	90.72	0.39
S1327	1337	23.06	90.1	0.39
S1361	1291	22.98	90.18	0.39
S1364	1262	24.87	91.06	0.4
S1366	1381	20.23	88.41	0.39
S1368	1270	20.02	88.32	0.39
S1374	1250	19.31	87.3	0.39
S1424	1334	22.3	90.06	0.4
S1448	1354	23.17	90.09	0.39
S1494	1298	25.55	91.27	0.4
S1503	1336	23.53	89.04	0.39
S1536	1341	22.07	88.91	0.39
