sample	number	mean_CD	mean_GQ	mean_MRR
S0156	847	71	79.03	0.01
S0160	807	67.86	80.21	0.01
S0170	716	76.02	78.48	0.01
S0172	779	60.6	78.69	0.01
S0225	796	67.49	79.96	0.01
S0229	785	64.19	80.9	0.01
S0237	795	55.53	76.62	0.01
S0243	824	63.33	79.59	0.01
S0258	773	52.31	77.67	0.01
S0267	799	57.74	75.73	0.01
S0269	806	55.89	76.15	0.01
S0280	790	49.02	73.14	0.01
S0287	733	46.92	74.14	0.01
S0290	816	58.77	78.36	0.01
S0306	753	61.52	78.69	0.01
S0307	833	58.82	75.55	0.01
S0322	741	20.45	51.55	0.01
S0325	720	35.22	68.2	0.01
S0330	761	44.08	71.47	0.01
S0347	796	57.03	75.7	0.01
S0349	784	62.21	77.28	0.01
S0376	775	70.67	80.13	0.01
S0400	777	70.94	81.18	0.01
S0404	807	74.5	80.6	0.01
S0406	764	80.3	80.87	0.01
S0416	782	57.22	78.06	0.01
S0428	764	51.57	75.59	0.01
S0437	793	58.64	78.79	0.01
S0439	807	48.17	74.35	0.01
S0445	780	52.9	76	0.01
S0466	839	47.71	73.86	0.01
S0469	767	58.08	76.5	0.01
S0490	796	63.17	77.32	0.01
S0492	736	68.15	78.75	0.01
S0494	755	68.94	78.41	0.01
S0497	761	67.58	79.63	0.01
S0552	738	40.05	65.97	0.01
S0620	752	39.86	69.04	0.01
S0631	667	31.74	59.86	0.01
S0650	774	36.9	63.79	0.01
S0653	774	57.62	73.75	0.01
S0659	801	56.25	75.52	0.01
S0671	761	39.55	65.34	0.01
S0682	763	51.2	71.04	0.01
S0693	733	36.44	62.79	0
S0732	798	36.61	63.31	0.01
S0761	788	54.19	73.42	0.01
S0791	739	37.02	62.62	0
S0812	771	59.11	73.47	0.01
S0837	736	44.7	68.82	0.01
S0867	796	52.06	71.62	0.01
S0935	810	67.51	79.68	0.01
S0940	766	38.18	66.17	0.01
S0944	830	74.54	80.67	0.01
S0947	777	38.95	65.56	0
S0956	772	51.67	74.28	0.01
S0958	778	58.54	74.95	0.01
S1003	823	73.95	80.49	0.01
S1041	818	83.41	83.19	0.01
S1054	829	64.66	78.47	0.01
S1071	762	44.32	67.87	0
S1109	712	32.76	59.25	0.01
S1123	755	47.47	67.39	0.01
S1132	789	68.55	79.98	0.01
S1156	838	66.66	76.45	0.01
S1168	871	87.15	84.24	0.01
S1169	779	56.93	74.53	0.01
S1193	815	84.67	83.07	0.01
S1205	840	78.59	79.24	0.01
S1208	816	66.85	79.86	0.01
S1211	859	83.76	82.97	0.01
S1214	836	69.83	79.68	0.01
S1217	882	91.17	83.63	0.01
S1218	771	46.8	72.32	0.01
S1219	840	96.29	83.43	0.01
S1220	880	69.27	80.22	0.01
S1228	775	60.93	76.86	0.01
S1231	727	35.6	61.99	0
S1232	752	50.55	74.05	0.01
S1240	839	75.05	82.27	0.01
S1254	798	87.8	85.42	0.01
S1259	805	90.68	84.36	0.01
S1273	851	96.15	86.11	0.01
S1292	738	38.33	63.72	0
S1319	823	65.88	77.01	0.01
S1327	780	40.71	66.84	0.01
S1361	787	56.87	72.39	0.01
S1364	777	54.26	72.87	0.01
S1366	795	71.51	80.46	0.01
S1368	787	53.85	74.94	0.01
S1374	676	42.26	65.13	0
S1424	837	69.06	80.26	0.01
S1448	754	61.29	77.29	0.01
S1494	724	37.38	61.47	0
S1503	749	50.01	69.36	0
S1536	773	56.3	72.28	0.01
