sample	number	mean_CD	mean_GQ	mean_MRR
S0156	802	68.35	77.37	0.01
S0160	768	65.58	78.27	0.01
S0170	684	74.77	77.31	0.01
S0172	712	59.11	79.17	0.01
S0225	728	66.12	79.8	0.01
S0229	734	61.89	79.54	0.01
S0237	743	53.06	75.32	0.01
S0243	789	60.83	77.35	0.01
S0258	727	49.73	75.41	0.01
S0267	750	54.94	74.23	0.01
S0269	745	50.61	74.62	0.01
S0280	710	41.55	71.45	0.01
S0287	680	38.78	68.78	0.01
S0290	734	47.37	74.44	0.01
S0306	693	49.84	74.5	0.01
S0307	731	48.34	73.01	0.01
S0322	639	15.92	42.93	0
S0325	652	27.96	60.98	0.01
S0330	704	36	65.94	0.01
S0347	728	46.78	71.99	0.01
S0349	725	51.78	74.35	0.01
S0376	705	59.84	77.53	0.01
S0400	721	59.93	77.19	0.01
S0404	738	61.25	77.81	0.01
S0406	683	66.89	79.22	0.01
S0416	719	46	73.53	0.01
S0428	720	42.7	72.68	0.01
S0437	716	48.07	75.11	0.01
S0439	739	38.9	69.87	0.01
S0445	721	39.98	68.59	0.01
S0466	745	39.97	71.09	0.01
S0469	704	46.51	72.05	0.01
S0490	716	48.18	71.71	0.01
S0492	657	50.87	73.1	0.01
S0494	694	55.75	75.67	0.01
S0497	703	48.05	72.4	0.01
S0552	661	32.74	62.56	0
S0620	670	17.63	45.72	0.01
S0631	580	19.17	46.24	0
S0650	698	23.47	52.61	0.01
S0653	673	41.22	68.86	0.01
S0659	740	34.24	63.75	0.01
S0671	627	26.89	53.65	0.01
S0682	708	32.23	60.46	0.01
S0693	622	25.52	51.93	0.01
S0732	706	21.93	50.06	0.01
S0761	717	34.1	62.4	0.01
S0791	663	23.73	49.99	0.01
S0812	710	43.87	65.86	0.01
S0837	687	33.18	59.54	0.01
S0867	717	34.78	62.76	0.01
S0935	758	55.02	75.36	0.01
S0940	694	22.93	51.79	0.01
S0944	771	59.71	76.7	0.01
S0947	653	19.64	48.61	0
S0956	715	28.91	58.7	0.01
S0958	695	34.97	63.69	0.01
S1003	741	59.68	77.39	0.01
S1041	755	68.11	79.6	0.01
S1054	746	53.49	75.1	0.01
S1071	663	29.69	55.83	0.01
S1109	607	18.61	44.62	0
S1123	656	30.5	56.83	0.01
S1132	740	53.45	74.51	0.01
S1156	768	56.12	73.62	0.01
S1168	773	71.83	82.31	0.01
S1169	707	34.16	63.11	0.01
S1193	758	70.52	81.32	0.01
S1205	771	65.12	77.72	0.01
S1208	741	55.6	77.59	0.01
S1211	785	70.33	81.4	0.01
S1214	767	58.52	78.26	0.01
S1217	804	74.71	81.96	0.01
S1218	675	25.66	53.68	0.01
S1219	759	40.53	71.17	0.01
S1220	794	31.94	64.94	0.01
S1228	685	29.96	61.73	0.01
S1231	604	25.32	51.64	0
S1232	659	25.43	53.67	0.01
S1240	739	27.37	59.51	0.01
S1254	728	28.24	60.66	0.01
S1259	709	22.18	54.92	0.01
S1273	762	23.5	55.58	0
S1292	656	23.01	50.71	0
S1319	703	18.1	45.82	0.01
S1327	676	23.01	51.17	0
S1361	641	26.21	54.9	0
S1364	645	18.88	46.73	0
S1366	686	15.77	42.15	0
S1368	645	11.98	33.88	0
S1374	486	8.58	25.16	0
S1424	762	56.36	77.29	0.01
S1448	685	40.11	68.61	0.01
S1494	639	23.18	49.56	0
S1503	649	34.02	60.23	0
S1536	696	38.07	64.05	0.01
