sample	number	mean_CD	mean_GQ	mean_MRR
S0156	1193	24.06	65.59	0
S0160	1094	17.18	51.61	0
S0170	1028	19.89	53.95	0.01
S0172	1050	16.82	50.58	0
S0225	1098	25.53	68.37	0
S0229	1077	19.83	59.23	0
S0237	1095	22.32	63.52	0
S0243	1138	20.2	59.38	0
S0258	1071	18.69	55.56	0
S0267	1089	16.21	48.51	0
S0269	1117	17.99	53.5	0
S0280	1098	18.81	56.46	0
S0287	1103	18.48	55.02	0
S0290	1147	24.01	67.45	0
S0306	1064	21.28	61.88	0
S0307	1139	17.71	52.54	0
S0322	1151	18.31	54.42	0
S0325	1072	16.98	50.97	0
S0330	1111	19.64	57.68	0
S0347	1106	22.15	65.02	0
S0349	1118	19.32	56.88	0
S0376	1081	16.77	50.5	0
S0400	1125	23.49	67.25	0
S0404	1113	16.97	50.77	0
S0406	1076	20.89	61.22	0
S0416	1077	17.43	52.48	0
S0428	1058	17.27	51.65	0
S0437	1087	19.1	57.73	0
S0439	1103	16.94	51.02	0
S0445	1137	23.36	65.05	0
S0466	1140	20.76	61.29	0
S0469	1027	24.23	66.79	0
S0490	1128	17.7	52.7	0
S0492	1084	24.91	68.62	0
S0494	1097	19.37	57.54	0
S0497	1114	24.26	70.04	0
S0552	1117	21.76	62.98	0
S0620	1080	23.52	67.69	0
S0631	1079	22.38	64.57	0
S0650	1094	17.85	53.11	0
S0653	1047	15.92	48.13	0
S0659	1142	16.75	49.83	0
S0671	1112	21.01	61.64	0
S0682	1119	27.06	73.54	0
S0693	1078	15.11	45.58	0
S0732	1133	21.63	62.8	0
S0761	1140	21.07	61.66	0
S0791	1107	16.6	49.66	0
S0812	1096	20.07	58.27	0
S0837	1088	16.58	49.39	0
S0867	1148	21.7	63.21	0
S0935	1134	27.32	75.01	0
S0940	1131	19.29	56.81	0
S0944	1096	22.61	65.43	0
S0947	1103	19.89	58.94	0
S0956	1123	23.6	65.65	0
S0958	1113	20.24	58.65	0
S1003	1123	18.79	55.84	0
S1041	1127	21.33	62	0
S1054	1153	25.53	71.86	0
S1071	1103	19.55	57.89	0
S1109	1124	21.79	62.93	0
S1123	1151	21.66	63.02	0
S1132	1006	16.13	48.68	0
S1156	1090	16.68	50.04	0
S1168	1125	23.1	65.72	0
S1169	1107	19.64	58.31	0
S1193	1090	20.41	60.76	0
S1205	1093	20.4	60.01	0
S1208	1077	21.04	61.93	0
S1211	1157	23.04	66.94	0
S1214	1077	21.16	61.27	0
S1217	1129	18.19	54.14	0
S1218	1100	17.03	51.1	0
S1219	1086	18.07	53.43	0
S1220	1163	18.18	54.11	0
S1228	1124	21.39	62.27	0
S1231	1123	21.88	63.65	0
S1232	1150	20.56	60.67	0
S1240	1106	17.55	52.49	0
S1254	1071	15.7	46.89	0
S1259	1044	17.01	51.09	0
S1273	1136	20.42	60.2	0
S1292	1129	17.5	52.01	0
S1319	1127	21.23	61.89	0
S1327	1118	19.9	58.41	0
S1361	1105	20.57	60.55	0
S1364	1123	22.15	64	0
S1366	1062	17.93	53.56	0
S1368	1096	17.47	52.03	0
S1374	1076	16.67	50.03	0
S1424	1089	18.9	55.85	0
S1448	1091	20.67	60.71	0
S1494	1144	22.4	64.19	0
S1503	1139	21.13	61.91	0
S1536	1120	18.92	55.68	0
