sample	number	mean_CD	mean_GQ	mean_MRR
S0156	7488	49.68	76.6	0.01
S0160	7460	47.11	75.23	0.01
S0170	7386	50.48	75.66	0.01
S0172	7434	43.4	73.33	0.01
S0225	7466	46.27	75.02	0.01
S0229	7506	42.96	73.76	0
S0237	7549	39.96	71.88	0.01
S0243	7495	42.87	73.38	0
S0258	7527	37.46	70.12	0
S0267	7566	39.65	69.12	0
S0269	7443	40.19	71.88	0
S0280	7833	34.77	64.98	0
S0287	7880	33.01	62.77	0
S0290	7877	39.26	68.32	0
S0306	7813	41.05	69.33	0
S0307	7719	40.86	68.55	0.01
S0322	7550	18.8	43.55	0
S0325	7686	27.02	56.88	0
S0330	7762	29.39	59.51	0
S0347	7706	38.27	66.7	0
S0349	7741	40.16	67.5	0
S0376	7753	45.22	70.94	0
S0400	7766	44.67	70.7	0
S0404	7721	46.03	70.92	0
S0406	7732	49.02	71.81	0
S0416	7811	38.56	68.59	0
S0428	7716	34.53	65.72	0
S0437	7709	37.91	67.72	0
S0439	7674	33.84	64.31	0
S0445	7720	35.94	66.45	0
S0466	7717	34.66	65.72	0
S0469	7780	39.58	68.82	0
S0490	7538	42.07	70.28	0.01
S0492	7641	43.64	70.83	0.01
S0494	7675	45.48	71.62	0
S0497	7659	43.03	70.66	0.01
S0552	7420	27.58	55.02	0
S0620	7553	28.56	59.89	0
S0631	7190	21.71	47.74	0
S0650	7486	26.91	55.43	0
S0653	7560	39.29	66.72	0
S0659	7628	36.52	65.79	0
S0671	7358	28.37	55.86	0
S0682	7505	34.24	62.47	0
S0693	7205	25.15	51.76	0
S0732	7568	26.76	55.43	0
S0761	7530	35.45	63.81	0
S0791	7243	25.33	51.63	0
S0812	7510	36.71	62.68	0
S0837	7567	31.07	58.6	0
S0867	7546	35.15	63.69	0
S0935	7663	44.99	72.7	0
S0940	7624	26.45	55.19	0
S0944	7727	48.28	74.18	0
S0947	7492	28.36	58.95	0
S0956	7623	33.23	62.59	0
S0958	7633	38.29	66.97	0
S1003	7735	48.83	73.59	0
S1041	7601	53.63	77.34	0
S1054	7737	40.8	68.12	0
S1071	7429	29.33	56.98	0
S1109	7223	23.26	49.74	0
S1123	7366	30.61	57.29	0
S1132	7743	43.79	73.18	0
S1156	7799	43.74	69.04	0
S1168	7648	55.53	77.1	0
S1169	7578	37.49	66.12	0
S1193	7721	55.67	77.68	0
S1205	7625	49.51	73.4	0
S1208	7836	43.34	71.27	0
S1211	7804	52.76	75.36	0
S1214	7798	45.7	72.27	0
S1217	7611	56.17	76.59	0
S1218	7768	33.04	65.6	0
S1219	7686	63.57	79.72	0
S1220	7748	44.92	71.75	0
S1228	7679	38.46	67.2	0
S1231	7323	25.52	52.62	0
S1232	7545	35.27	67.59	0
S1240	7772	47.65	73.12	0
S1254	7737	54.28	75.84	0
S1259	7691	59.54	78.69	0
S1273	7672	60.66	79.18	0.01
S1292	7246	25.55	51.58	0
S1319	7792	43.62	70.61	0
S1327	7520	28.83	56.81	0
S1361	7563	37.46	64.97	0
S1364	7622	36.74	65.44	0
S1366	7667	48.08	73.19	0
S1368	7640	35.33	64.92	0
S1374	7257	27.77	54.32	0
S1424	7754	45.53	72.11	0
S1448	7573	37.61	65.8	0
S1494	7189	25.02	51.11	0
S1503	7390	32.12	57.91	0
S1536	7501	37.92	65.18	0
