sample	number	mean_CD	mean_GQ	mean_MRR
S0156	6688	50.12	78.73	0.01
S0160	6665	46.84	77.14	0.01
S0170	6649	50.77	77.3	0.01
S0172	6654	43.63	74.99	0.01
S0225	6735	46.31	76.46	0.01
S0229	6699	43.07	75.4	0.01
S0237	6741	39.68	73.08	0.01
S0243	6705	43.14	74.92	0.01
S0258	6746	37.38	71.52	0.01
S0267	6797	38.59	69.95	0
S0269	6614	39.44	71.78	0.01
S0280	6871	31.74	62.2	0
S0287	6896	30.07	60.2	0
S0290	6869	35.18	65.41	0
S0306	6832	37.25	66.42	0.01
S0307	6764	36.13	65.18	0.01
S0322	6582	14.91	34.54	0
S0325	6683	23.62	50.89	0
S0330	6796	26.46	55.94	0
S0347	6741	34.62	64.36	0
S0349	6769	36.74	65.5	0
S0376	6727	40.77	69.62	0
S0400	6734	40.83	69.68	0
S0404	6738	41.25	69.35	0.01
S0406	6819	44.63	70.53	0.01
S0416	6823	34.35	65.8	0
S0428	6781	31.42	62.84	0
S0437	6726	34.36	65.34	0
S0439	6757	30.17	60.97	0
S0445	6685	30.78	60.88	0
S0466	6779	31.21	62.81	0
S0469	6811	34.99	65.31	0.01
S0490	6539	35.76	65.38	0.01
S0492	6568	36.69	65.49	0.01
S0494	6670	40.32	69.51	0.01
S0497	6617	35.98	65.69	0.01
S0552	6521	24.56	51	0
S0620	6518	16.6	38.26	0
S0631	6012	15.42	35.8	0
S0650	6562	20.38	44.86	0
S0653	6568	31.62	59.41	0
S0659	6571	27.83	56.05	0
S0671	6320	21.23	44.91	0
S0682	6583	26.02	53.51	0
S0693	6132	19.48	41.61	0
S0732	6617	19.33	43.39	0
S0761	6524	26.8	54.67	0
S0791	6165	19.2	42.34	0
S0812	6555	31.16	57.12	0
S0837	6613	26.12	52.31	0
S0867	6540	27.09	54.87	0
S0935	6718	40.08	70.99	0
S0940	6638	19.39	43.42	0
S0944	6740	42.67	72.99	0
S0947	6453	17.67	40.97	0
S0956	6619	23.7	50.7	0
S0958	6595	27.8	56.3	0
S1003	6706	42.31	71.76	0
S1041	6661	47.48	75.82	0.01
S1054	6744	36.47	65.88	0
S1071	6386	22.35	46.34	0
S1109	6109	15.94	37.03	0
S1123	6358	23.07	47.74	0
S1132	6684	38.54	70.25	0.01
S1156	6753	39.16	67.87	0
S1168	6762	48.75	75.13	0.01
S1169	6529	27.4	56.01	0
S1193	6698	49.37	76.49	0.01
S1205	6669	44.27	72.38	0
S1208	6847	38.82	69.76	0
S1211	6819	47.08	74.35	0.01
S1214	6788	40.48	70.79	0
S1217	6637	49.61	75.25	0.01
S1218	6774	22.22	48.59	0
S1219	6753	31.89	64.72	0
S1220	6832	25	54.69	0
S1228	6638	24.4	51.87	0
S1231	6212	19.81	42.82	0
S1232	6488	22.04	48.24	0
S1240	6857	22.84	51.62	0
S1254	6873	23.79	52.77	0
S1259	6854	20.44	46.94	0
S1273	6836	21.12	48.35	0
S1292	6193	18.23	40.66	0
S1319	6838	16.58	39.38	0
S1327	6476	18.93	41.91	0
S1361	6311	20.22	44.06	0
S1364	6563	16.88	38.31	0
S1366	6771	14.72	34.91	0
S1368	6415	10.88	25.98	0
S1374	5528	7.63	18.48	0
S1424	6761	40.9	71.14	0
S1448	6590	29.43	57.46	0.01
S1494	6132	18.69	41.45	0
S1503	6387	25.1	49.76	0
S1536	6546	30.29	57.84	0
