sample	number	mean_CD	mean_GQ	mean_MRR
S0156	6465	33.97	74.27	0
S0160	6518	26.62	59.25	0
S0170	6468	27.09	61.99	0
S0172	6458	24.17	56.03	0
S0225	6446	36.18	76.6	0
S0229	6478	27.36	64.38	0
S0237	6484	28.54	69.37	0
S0243	6450	26.19	63.37	0
S0258	6456	25.44	59.95	0
S0267	6520	23.2	53.26	0
S0269	6492	24.6	58.75	0
S0280	6495	24.6	57.94	0
S0287	6494	25.9	61.9	0
S0290	6445	33.89	74.97	0
S0306	6481	27.43	66.12	0
S0307	6498	23.92	56.84	0
S0322	6458	23.91	57.79	0
S0325	6512	23.35	54.96	0
S0330	6413	25.93	61.59	0
S0347	6414	28.88	66.93	0
S0349	6396	25.87	62.07	0
S0376	6488	23.84	55.53	0
S0400	6421	29.27	71.76	0
S0404	6514	24.25	55.98	0
S0406	6467	28.38	66.67	0
S0416	6638	28.08	62.15	0
S0428	6555	23.01	54.62	0
S0437	6541	24.79	57.75	0
S0439	6472	23.45	55.08	0
S0445	6529	36.17	75.36	0
S0466	6514	26.51	64.68	0
S0469	6662	34.06	73.59	0
S0490	6451	25.09	58.79	0
S0492	6468	36.79	76.46	0
S0494	6486	25.84	61.92	0
S0497	6421	30.04	70.37	0
S0552	6481	28.15	67.32	0
S0620	6470	30.92	70.64	0
S0631	6426	28.98	70.13	0
S0650	6518	24.45	57.82	0
S0653	6510	22.35	52.59	0
S0659	6570	23.64	54.56	0
S0671	6463	27.78	65.77	0
S0682	6385	32.58	77.98	0
S0693	6476	21.78	51.19	0
S0732	6473	29.19	68.92	0
S0761	6395	26.92	65.47	0
S0791	6511	23.56	55.34	0
S0812	6461	28.81	65.16	0
S0837	6543	23.98	55.11	0
S0867	6444	30.1	69.12	0
S0935	6320	32.43	78.21	0
S0940	6533	25.96	61.91	0
S0944	6470	29.83	69.91	0
S0947	6395	25.68	62.71	0
S0956	6492	31.66	70.57	0
S0958	6471	29.02	66.22	0
S1003	6488	29.39	64.9	0
S1041	6439	29.05	68.39	0
S1054	6389	30.07	73.44	0
S1071	6511	25.57	60.92	0
S1109	6475	28.09	67.02	0
S1123	6439	26.79	65.66	0
S1132	6621	23.34	52.95	0
S1156	6513	24.08	55.72	0
S1168	6468	34.45	72.92	0
S1169	6513	28.01	64.23	0
S1193	6509	25.52	61.7	0
S1205	6461	27.45	64.4	0
S1208	6541	27.06	63.95	0
S1211	6526	28.21	67.93	0
S1214	6506	30.9	67.85	0
S1217	6400	24.62	58.01	0
S1218	6580	23.55	55.89	0
S1219	6459	25.13	59.71	0
S1220	6529	25.2	59.23	0
S1228	6487	28.46	67.86	0
S1231	6505	28.11	68.25	0
S1232	6383	26.46	64.79	0
S1240	6504	22.39	54.85	0
S1254	6497	22.7	53.6	0
S1259	6541	23.33	55.3	0
S1273	6434	28.2	66.06	0
S1292	6475	23.5	56.32	0
S1319	6505	28.5	68.29	0
S1327	6423	26.14	63.66	0
S1361	6478	25.96	63.57	0
S1364	6514	29.05	68.82	0
S1366	6440	23.28	56.21	0
S1368	6539	24.74	58.39	0
S1374	6557	23.85	56.03	0
S1424	6482	25.99	61.92	0
S1448	6449	27.95	65.7	0
S1494	6447	28.49	69.24	0
S1503	6431	26.79	65.34	0
S1536	6434	26.1	61.77	0
