sample	number	mean_CD	mean_GQ	mean_MRR
S0156	10771	55.5	77.48	0.08
S0160	10717	51.93	76.29	0.08
S0170	10738	56.71	76.63	0.08
S0172	10692	47.94	74.58	0.08
S0225	10729	51.21	76.23	0.08
S0229	10716	47.26	74.93	0.08
S0237	10694	43.06	73	0.07
S0243	10720	47.07	74.39	0.08
S0258	10670	40.59	71.79	0.07
S0267	10702	42.57	70.68	0.07
S0269	10702	43.67	73.1	0.08
S0280	10531	37.68	67.59	0.06
S0287	10489	35.76	65.81	0.06
S0290	10610	43.28	70.88	0.06
S0306	10641	45.59	71.43	0.06
S0307	10598	45.38	70.72	0.07
S0322	9934	19.53	48.65	0.05
S0325	10346	28.83	60.82	0.06
S0330	10333	31.77	63.26	0.06
S0347	10537	41.98	69.21	0.06
S0349	10542	44.46	70.28	0.06
S0376	10605	50.19	73.28	0.07
S0400	10623	49.43	72.62	0.06
S0404	10584	50.91	73.07	0.07
S0406	10607	54.72	73.85	0.07
S0416	10560	41.7	70.77	0.06
S0428	10501	37.89	68.79	0.06
S0437	10592	41.7	70.28	0.07
S0439	10485	36.83	67.54	0.06
S0445	10565	39.7	69.17	0.06
S0466	10528	37.16	67.93	0.06
S0469	10599	43.37	70.79	0.06
S0490	10495	46.86	72.39	0.07
S0492	10537	49.34	72.92	0.07
S0494	10516	49.63	73.32	0.07
S0497	10533	48.33	73.08	0.07
S0552	9988	30.36	59.41	0.06
S0620	10371	31.7	63.59	0.06
S0631	9471	24.09	52.94	0.06
S0650	10256	29.6	59.44	0.06
S0653	10446	44.4	69.63	0.07
S0659	10484	41.43	68.54	0.06
S0671	10007	31.72	60.22	0.06
S0682	10411	38.7	65.82	0.07
S0693	9754	28.32	56.81	0.06
S0732	10328	29.41	59.34	0.06
S0761	10461	40.2	67.13	0.07
S0791	9680	28.17	56.42	0.06
S0812	10301	41.7	66.21	0.06
S0837	10352	34.45	62.64	0.06
S0867	10362	39.19	66.53	0.06
S0935	10764	48.69	74.26	0.07
S0940	10237	29.08	59.35	0.06
S0944	10804	52.63	75.27	0.07
S0947	10295	31.54	62.49	0.06
S0956	10416	37.5	65.93	0.06
S0958	10540	43.49	69.69	0.07
S1003	10819	52.74	74.7	0.07
S1041	10822	58.97	77.98	0.07
S1054	10700	44.87	70.5	0.07
S1071	10093	33.12	61.1	0.06
S1109	9609	25.82	54.49	0.06
S1123	10015	34.72	61.46	0.06
S1132	10816	48	74.6	0.07
S1156	10763	47.4	71.26	0.06
S1168	10871	60.78	77.72	0.07
S1169	10466	42.16	68.98	0.07
S1193	10894	59.68	78.06	0.07
S1205	10787	54.01	74.86	0.07
S1208	10797	47.1	73.17	0.07
S1211	10839	57.17	76.3	0.07
S1214	10818	49.6	73.84	0.07
S1217	10873	61.51	77.6	0.07
S1218	10732	36.3	67.93	0.07
S1219	10939	69.43	80.21	0.07
S1220	10740	48.52	73.08	0.06
S1228	10551	43.94	69.85	0.07
S1231	9804	28.47	57.22	0.06
S1232	10734	39.39	70.14	0.07
S1240	10819	51.79	74.7	0.07
S1254	10861	59.55	77.12	0.07
S1259	10938	65.57	79.18	0.08
S1273	10940	66.4	79.65	0.07
S1292	9711	28.67	56.46	0.06
S1319	10724	47.28	72.11	0.06
S1327	10311	32.03	60.97	0.06
S1361	10464	42.32	67.88	0.06
S1364	10459	40.9	68.12	0.07
S1366	10766	51.92	74.72	0.07
S1368	10514	40.01	67.92	0.06
S1374	9826	31.17	58.85	0.06
S1424	10808	49.55	73.74	0.07
S1448	10412	42.87	69.02	0.07
S1494	9636	28.08	55.98	0.06
S1503	10062	36.43	62.23	0.06
S1536	10496	42.92	68.04	0.07
