sample	number	mean_CD	mean_GQ	mean_MRR
S0156	9737	55.38	78.58	0.08
S0160	9723	51.05	77.03	0.08
S0170	9743	56.39	77.38	0.08
S0172	9696	47.67	75.5	0.08
S0225	9740	50.83	76.92	0.08
S0229	9701	46.89	75.82	0.08
S0237	9693	42.42	73.58	0.08
S0243	9716	46.71	74.92	0.08
S0258	9666	40.09	72.32	0.08
S0267	9694	41.05	70.76	0.07
S0269	9646	42.14	72.37	0.08
S0280	9356	33.33	64.73	0.06
S0287	9342	31.57	62.92	0.06
S0290	9423	37.53	67.71	0.06
S0306	9440	39.99	68.28	0.07
S0307	9419	39.04	67.51	0.07
S0322	8662	15.36	40.39	0.05
S0325	9096	24.48	55.29	0.06
S0330	9129	27.86	59.8	0.06
S0347	9321	36.76	66.81	0.07
S0349	9370	39.28	67.91	0.07
S0376	9410	44.08	71.64	0.07
S0400	9450	43.99	70.99	0.07
S0404	9408	44.46	71	0.07
S0406	9483	48.49	72.3	0.07
S0416	9376	36.12	67.74	0.06
S0428	9344	33.54	65.9	0.07
S0437	9370	36.66	67.67	0.07
S0439	9314	31.95	64.1	0.06
S0445	9335	32.97	63.82	0.07
S0466	9341	32.6	64.84	0.06
S0469	9410	37.23	67.61	0.07
S0490	9268	38.81	67.85	0.07
S0492	9235	40.26	68.06	0.07
S0494	9321	42.97	71.04	0.07
S0497	9291	39.15	68.14	0.07
S0552	8893	26.41	55.52	0.06
S0620	8855	17.39	44	0.06
S0631	7941	16.6	41.71	0.05
S0650	9034	21.69	49.98	0.06
S0653	9214	34.16	63.18	0.07
S0659	9200	29.96	59.76	0.07
S0671	8569	23.33	50.1	0.06
S0682	9219	28.2	57.88	0.07
S0693	8288	21.6	47.53	0.06
S0732	8972	20.41	48.5	0.06
S0761	9197	29.15	58.82	0.07
S0791	8306	20.67	47.4	0.06
S0812	9084	34.37	60.93	0.07
S0837	9168	28.06	56.32	0.07
S0867	9096	29.11	58.74	0.06
S0935	9579	42.23	72	0.07
S0940	8945	20.51	48.29	0.06
S0944	9617	45.14	73.52	0.07
S0947	8800	18.57	46.51	0.06
S0956	9083	25.42	54.91	0.06
S0958	9244	30.08	59.79	0.07
S1003	9589	44.58	72.41	0.07
S1041	9649	50.84	75.96	0.08
S1054	9485	39.01	68.12	0.07
S1071	8686	24.64	51.24	0.06
S1109	8110	16.99	42.4	0.05
S1123	8673	25.27	52.44	0.06
S1132	9608	40.96	71.22	0.07
S1156	9525	41.52	69.27	0.07
S1168	9727	51.95	75.33	0.08
S1169	9139	29.21	59.6	0.07
S1193	9708	51.84	76.55	0.08
S1205	9602	47.16	73.28	0.07
S1208	9595	40.97	71.3	0.07
S1211	9655	49.97	74.66	0.07
S1214	9597	42.99	71.65	0.07
S1217	9683	52.77	75.78	0.08
S1218	9388	23.49	52.76	0.06
S1219	9563	33.05	66.74	0.07
S1220	9330	25.84	57.98	0.06
S1228	9138	25.96	56.04	0.06
S1231	8350	21.69	47.95	0.06
S1232	9243	23.55	53.01	0.07
S1240	9312	23.29	55.44	0.06
S1254	9395	24.38	56.44	0.06
S1259	9391	20.84	51.84	0.06
S1273	9374	21.38	52.64	0.06
S1292	8292	19.85	46.08	0.05
S1319	8997	16.92	44.42	0.05
S1327	8759	20.3	47.44	0.06
S1361	8552	22	49.56	0.06
S1364	8753	17.57	43.71	0.06
S1366	8936	15.01	40.8	0.05
S1368	8322	11.42	32.03	0.05
S1374	6882	8.14	23.96	0.04
S1424	9608	43.18	71.96	0.07
S1448	9156	31.71	61.23	0.07
S1494	8227	20.24	46.81	0.06
S1503	8760	27.52	54.62	0.06
S1536	9272	32.9	61.37	0.07
