sample	number	mean_CD	mean_GQ	mean_MRR
S0156	9104	31.63	75.57	0.06
S0160	9063	24.36	62.72	0.06
S0170	9109	25.37	64.92	0.06
S0172	9018	22.42	60.46	0.06
S0225	9125	33.19	77.27	0.06
S0229	9073	25.44	67.65	0.06
S0237	9118	27.08	71.79	0.06
S0243	9088	24.85	66.99	0.06
S0258	9092	23.77	63.75	0.06
S0267	9074	21.41	57.67	0.06
S0269	9085	23.1	62.68	0.06
S0280	9085	23.09	62.58	0.06
S0287	9136	24.14	65.34	0.06
S0290	9130	31.13	76.13	0.06
S0306	9100	25.94	69.4	0.06
S0307	9083	22.38	60.65	0.06
S0322	9084	22.56	61.97	0.06
S0325	9044	21.72	59.35	0.06
S0330	9095	24.28	65.24	0.06
S0347	9098	27.03	70.38	0.06
S0349	9100	24.27	65.78	0.06
S0376	9063	22.03	59.94	0.06
S0400	9124	27.77	73.81	0.06
S0404	9043	22.48	59.88	0.06
S0406	9090	26.48	69.51	0.06
S0416	9020	25.52	64.58	0.05
S0428	9075	21.68	59.65	0.06
S0437	9062	23.32	62.9	0.06
S0439	9038	21.93	59.63	0.06
S0445	9127	32.63	75.8	0.06
S0466	9125	24.98	67.83	0.06
S0469	9088	31.63	75.04	0.06
S0490	9093	23.21	62.33	0.06
S0492	9136	33.57	77.56	0.06
S0494	9102	24.15	65.35	0.06
S0497	9126	28.37	73.66	0.06
S0552	9130	26.52	70.08	0.06
S0620	9118	28.75	73.27	0.06
S0631	9114	27.17	72.42	0.06
S0650	9058	22.86	61.57	0.06
S0653	9025	20.85	57.25	0.06
S0659	9063	22.02	58.27	0.05
S0671	9115	25.97	68.86	0.06
S0682	9155	31.08	79.4	0.07
S0693	9046	20.28	56.1	0.06
S0732	9130	27.3	71.1	0.06
S0761	9118	25.51	68.8	0.06
S0791	9058	21.94	59.48	0.06
S0812	9089	26.5	67.87	0.06
S0837	9069	22.24	59.36	0.06
S0867	9114	27.84	71.46	0.06
S0935	9148	30.92	79.9	0.07
S0940	9100	24.26	65.11	0.06
S0944	9117	27.81	72.37	0.06
S0947	9093	24.11	66.33	0.06
S0956	9069	29.55	72.64	0.06
S0958	9105	26.83	68.71	0.06
S1003	9102	26.63	67.35	0.06
S1041	9134	26.9	70.64	0.06
S1054	9137	28.69	75.85	0.06
S1071	9075	23.93	64.68	0.06
S1109	9109	26.48	69.87	0.06
S1123	9112	25.49	69.06	0.06
S1132	9009	21.61	57.34	0.05
S1156	9052	22.32	59.77	0.06
S1168	9103	31.38	74.45	0.06
S1169	9101	25.74	67.06	0.06
S1193	9113	24.2	65.94	0.06
S1205	9082	25.58	67.56	0.06
S1208	9081	25.49	67.66	0.06
S1211	9109	26.91	70.88	0.06
S1214	9062	28.36	70.04	0.06
S1217	9078	22.97	62.23	0.06
S1218	9083	22.11	60.02	0.06
S1219	9073	23.35	63.3	0.06
S1220	9091	23.33	62.4	0.05
S1228	9090	26.66	70.22	0.06
S1231	9114	26.51	70.89	0.06
S1232	9118	24.93	68.16	0.06
S1240	9069	21.26	59.51	0.06
S1254	9031	21.08	57.77	0.06
S1259	9076	21.79	59.79	0.06
S1273	9098	26.02	68.44	0.06
S1292	9068	21.96	60.52	0.06
S1319	9113	26.7	70.59	0.06
S1327	9084	24.62	66.78	0.06
S1361	9095	24.58	67	0.06
S1364	9113	27.28	71.28	0.06
S1366	9067	21.96	60.95	0.06
S1368	9094	22.95	61.92	0.06
S1374	9059	22.12	59.68	0.06
S1424	9117	24.29	65.34	0.06
S1448	9106	26.02	68.76	0.06
S1494	9094	26.99	71.73	0.06
S1503	9131	25.31	68.48	0.06
S1536	9091	24.32	65.09	0.06
