sample	number	mean_CD	mean_GQ	mean_MRR
S0156	12157	90.01	90.17	0
S0160	12140	89	90.72	0
S0170	11599	94.2	86.96	0.02
S0172	12098	78.66	89.11	0.01
S0225	12140	85.56	90.11	0
S0229	12063	82.53	90.19	0
S0237	11895	75.2	89.09	0
S0243	12336	81.71	89.25	0
S0258	11729	66.07	87.4	0
S0267	12049	77.3	88.35	0
S0269	12340	74.01	88.83	0.01
S0280	12021	66.08	85.75	0.01
S0287	11942	63.63	84.93	0.01
S0290	12045	76.38	88.01	0.01
S0306	12015	78.34	88.28	0
S0307	12177	74.18	86.97	0
S0322	11775	24.59	59.32	0
S0325	11824	43.39	76.84	0.01
S0330	11896	56.32	82.54	0
S0347	12323	76.21	87.57	0.01
S0349	11911	81.45	88.12	0
S0376	12048	95.3	90.62	0
S0400	12189	93.1	90.12	0
S0404	12249	93.65	89.8	0
S0406	12185	100.73	90.82	0
S0416	11936	73.22	87.9	0
S0428	12024	66.36	86.61	0
S0437	12158	71.16	87.56	0
S0439	12356	63.05	85.43	0
S0445	11974	61.51	84.33	0
S0466	12178	61.86	85.5	0
S0469	11881	70.77	86.97	0
S0490	12265	75.42	87.07	0
S0492	12048	78.3	87.04	0
S0494	12138	85.91	88.72	0
S0497	11791	78.96	87.37	0
S0552	11751	47.15	75.01	0
S0620	12137	47.36	77.46	0
S0631	11339	31.74	60.95	0
S0650	11864	42.55	72.82	0
S0653	11990	70.48	83.87	0
S0659	12501	64.99	83.16	0
S0671	12199	44.06	71.94	0
S0682	12178	60.43	80.46	0
S0693	11651	36.76	66.16	0
S0732	12012	43.6	73.26	0
S0761	12051	62.28	81.19	0
S0791	11758	39.8	67.09	0
S0812	12068	64.38	80.85	0
S0837	12035	51.81	77.3	0
S0867	12013	60.83	81.7	0
S0935	11961	90.31	91.33	0.01
S0940	12226	42.75	72.66	0
S0944	12312	100.05	92.12	0.01
S0947	11744	47.26	75.86	0
S0956	11949	58.73	80.88	0
S0958	11945	69.42	83.98	0
S1003	12071	100.67	92.04	0.01
S1041	12221	110.12	93.03	0.01
S1054	12115	85.77	88.69	0.01
S1071	11904	47.69	73.74	0
S1109	11766	35.56	64.46	0
S1123	12373	51.86	74.05	0
S1132	11842	81.27	89.47	0.01
S1156	12256	92.16	89.95	0.01
S1168	12418	118.91	94.07	0.01
S1169	11808	68.27	83.57	0
S1193	12085	115.71	93.86	0.01
S1205	12101	104.4	91.94	0.01
S1208	12099	87.31	90.71	0.01
S1211	12495	109.89	92.94	0.01
S1214	12212	93.95	91.69	0.01
S1217	12290	119.37	93.42	0.01
S1218	11719	52.76	79.09	0.01
S1219	12473	132.69	94.7	0
S1220	13226	92.3	91.26	0.01
S1228	12108	71.27	84.85	0
S1231	12053	38.03	67.1	0
S1232	11898	54.96	80.28	0.01
S1240	12115	99.59	91.74	0.01
S1254	12388	114.94	93.2	0.01
S1259	12235	121.28	94.2	0.01
S1273	12173	124.42	94.21	0.01
S1292	11678	41.12	67.65	0
S1319	12348	90.18	90.04	0.01
S1327	12102	46.93	74.95	0
S1361	11883	66.22	81.79	0
S1364	11941	64.44	82.68	0
S1366	12137	96.43	91.72	0.01
S1368	12103	63.23	83.15	0
S1374	11741	41.93	68.21	0
S1424	12259	93.89	91.69	0
S1448	11920	67.86	83.4	0
S1494	11737	39.2	66.32	0
S1503	11946	54.44	74.71	0
S1536	12133	67.62	82.27	0
