sample	number	mean_CD	mean_GQ	mean_MRR
S0156	88453	48.31	91.94	0
S0160	88147	48.38	92.33	0
S0170	88007	49.93	91.7	0
S0172	87612	44.7	91.05	0
S0225	88383	46.57	91.8	0
S0229	87873	45.58	91.85	0
S0237	87835	42.88	90.6	0
S0243	88141	45.96	91.81	0
S0258	88196	39.89	88.97	0
S0267	87723	44.58	90.18	0
S0269	87617	42.06	89.82	0
S0280	88033	36.71	84.65	0
S0287	88204	36.4	84.11	0
S0290	87737	39.1	86.67	0
S0306	87498	39.55	86.38	0
S0307	87672	38.07	84.38	0
S0322	86839	17.52	47.3	0
S0325	87069	27.87	71.05	0
S0330	87485	32.69	79.47	0
S0347	87541	40.12	86.92	0
S0349	87733	41.8	87.6	0
S0376	87270	45.82	90.39	0
S0400	87432	45.76	90.18	0
S0404	87524	45.45	90.12	0
S0406	87464	49.12	91.04	0
S0416	87366	38.27	86.47	0
S0428	87245	36.38	84.79	0
S0437	87195	37.84	85.9	0
S0439	87380	35.03	83.23	0
S0445	87587	32.16	78.11	0
S0466	87592	35	83.23	0
S0469	88000	37.07	84.29	0
S0490	86910	36.06	82.35	0
S0492	86604	35.77	81.36	0
S0494	87176	42.41	87.85	0
S0497	86635	36.26	82.41	0
S0552	87506	27.52	68.29	0
S0620	85926	18.42	50.14	0
S0631	82098	15.58	42.6	0
S0650	86916	21.38	56.82	0
S0653	86926	32.73	76.73	0
S0659	87019	29.02	72.41	0
S0671	84907	20.47	53.44	0
S0682	87282	26.95	68	0
S0693	83119	18.67	49.14	0
S0732	87177	20.59	55.29	0
S0761	87349	27.61	69.4	0
S0791	84082	19.46	51.52	0
S0812	86831	31.03	71.36	0
S0837	87294	27.7	68.19	0
S0867	87552	28.39	70.37	0
S0935	87946	45.65	91.74	0
S0940	87344	20.58	55.15	0
S0944	87915	48.96	92.75	0
S0947	86606	18.72	51.2	0
S0956	86931	25.45	65.81	0
S0958	87412	28.97	72.61	0
S1003	87901	49.22	92.67	0
S1041	88150	51.22	93.77	0
S1054	87735	44.77	89.73	0
S1071	85630	21.69	55.92	0
S1109	82796	16.44	44.81	0
S1123	85708	23.2	59.24	0
S1132	88309	40.1	88.22	0
S1156	88339	48.12	90.66	0
S1168	88099	56.56	94.73	0
S1169	86976	28.64	71.85	0
S1193	88162	56.21	94.88	0
S1205	87755	52.31	92.95	0
S1208	88142	44.48	91.38	0
S1211	88483	53.69	93.98	0
S1214	88397	47.85	92.68	0
S1217	88413	57.86	94.8	0
S1218	88414	23.18	60.04	0
S1219	88551	37.3	86.91	0
S1220	88615	31.49	78.46	0
S1228	87282	25.94	67.3	0
S1231	83372	18.99	50.05	0
S1232	87062	21.86	57.12	0
S1240	87979	28.91	74.2	0
S1254	88056	30.04	76.24	0
S1259	88364	25.24	67.16	0
S1273	88185	26.12	69.23	0
S1292	83838	18.85	50.3	0
S1319	87961	22.13	58.96	0
S1327	86227	19.95	52.97	0
S1361	85094	20.6	54.33	0
S1364	85803	18.36	49.73	0
S1366	87933	19.54	52.88	0
S1368	85136	11.78	32.62	0
S1374	73728	7.33	20.49	0
S1424	88116	47.26	92.33	0
S1448	86925	30.73	74.53	0
S1494	83445	18.9	50.34	0
S1503	86002	24.77	61.64	0
S1536	87176	30.55	73.09	0
