sample	number	mean_CD	mean_GQ	mean_MRR
S0156	108343	35.47	89.99	0
S0160	108112	28.1	73.65	0
S0170	107983	29.65	77.28	0
S0172	107542	26.32	70.09	0
S0225	108394	38.03	92.92	0
S0229	108031	29.89	79.63	0
S0237	107906	31.38	85.02	0
S0243	108167	28.64	77.74	0
S0258	108134	27.61	74.31	0
S0267	107727	25.28	66.86	0
S0269	107911	26.67	72.51	0
S0280	108298	25.96	70.46	0
S0287	108528	28.11	75.66	0
S0290	108021	35.72	91.13	0
S0306	107887	30.41	82.45	0
S0307	108096	26.28	71.1	0
S0322	108092	26.06	71.08	0
S0325	107798	25.36	67.93	0
S0330	108068	28.13	75.97	0
S0347	107976	30.15	81.06	0
S0349	108093	28.09	75.76	0
S0376	107818	25.7	68.99	0
S0400	107978	32.09	86.85	0
S0404	108169	26.49	70.48	0
S0406	107909	30.21	80.9	0
S0416	108089	30.51	78.59	0
S0428	107950	25.31	68.61	0
S0437	107768	26.32	70.91	0
S0439	107904	25.86	69.55	0
S0445	108392	38.82	92.55	0
S0466	108365	29.19	79.56	0
S0469	108783	36.47	90.93	0
S0490	108360	27.23	72.76	0
S0492	107898	38.73	92.9	0
S0494	108325	28.36	76.77	0
S0497	107836	32.02	85.59	0
S0552	109034	30.31	81.72	0
S0620	107471	33.17	86.76	0
S0631	108341	31.5	84.67	0
S0650	107847	27	72.64	0
S0653	108110	24.48	65.83	0
S0659	108158	25.96	68.65	0
S0671	108046	30.17	80.51	0
S0682	108252	34.28	91.33	0
S0693	108056	24.08	64.63	0
S0732	108291	31.83	84.37	0
S0761	108209	29.2	79.37	0
S0791	108327	25.69	69.04	0
S0812	108061	31.02	80.87	0
S0837	108074	26.38	69.55	0
S0867	108916	32.43	84.52	0
S0935	108015	34.34	91.57	0
S0940	108654	28.41	76.42	0
S0944	107957	32.42	85.96	0
S0947	108294	27.69	75.54	0
S0956	108268	34.1	86.62	0
S0958	108444	31.44	81.97	0
S1003	107935	31.17	80.55	0
S1041	108246	31.19	82.97	0
S1054	107843	32.33	87.64	0
S1071	108080	28.14	76.04	0
S1109	108090	30.98	82.79	0
S1123	107976	29.15	79.74	0
S1132	108315	25.56	67.17	0
S1156	108325	26.47	70.44	0
S1168	108021	36.22	89.43	0
S1169	108032	30.45	80.01	0
S1193	108033	27.5	75.06	0
S1205	107717	30.06	80.07	0
S1208	108054	30.3	80.82	0
S1211	108462	30.7	83.12	0
S1214	108384	33.48	84.7	0
S1217	108326	26.96	72.52	0
S1218	108864	25.92	70.19	0
S1219	108481	27.5	73.85	0
S1220	108950	27.21	72.91	0
S1228	108318	31.21	83.44	0
S1231	108113	30.67	82.97	0
S1232	107975	28.79	78.63	0
S1240	108042	24.3	66.94	0
S1254	108047	24.65	66.3	0
S1259	108269	25.56	69.02	0
S1273	107996	30.79	81.73	0
S1292	108056	25.55	69.71	0
S1319	108329	31.24	83.61	0
S1327	108255	28.78	78.33	0
S1361	108261	28.28	77.2	0
S1364	107909	31.54	84.4	0
S1366	108179	25.39	69.23	0
S1368	108424	26.96	72.34	0
S1374	108287	26.04	69.62	0
S1424	108162	28.32	76.25	0
S1448	108089	30.58	81.43	0
S1494	108139	31.54	85.5	0
S1503	108100	29.12	79.25	0
S1536	107948	28.07	75.46	0
