sample	number	mean_CD	mean_GQ	mean_MRR
S0156	17119	94.74	97.22	0.43
S0160	17417	92.88	97.24	0.43
S0170	18135	95.16	94.95	0.41
S0172	17885	82.92	97.11	0.43
S0225	17183	87.38	97.23	0.43
S0229	17732	84.38	97.11	0.43
S0237	17877	77.32	97.07	0.43
S0243	17252	86.43	97.37	0.43
S0258	17616	68.66	96.92	0.42
S0267	17906	81.49	97.19	0.43
S0269	17493	72.02	97.12	0.43
S0280	16873	56.78	95.78	0.42
S0287	16852	56.65	95.95	0.42
S0290	17279	63.24	96.23	0.42
S0306	17485	64.87	95.95	0.42
S0307	17069	60.56	95.4	0.42
S0322	15031	20.24	84.33	0.38
S0325	16913	36.11	92.48	0.4
S0330	16920	48.71	94.93	0.41
S0347	17020	64.21	95.9	0.42
S0349	17226	70.04	96.32	0.42
S0376	17559	81.27	97.18	0.43
S0400	17232	81.56	97.05	0.43
S0404	17090	81.5	97.03	0.43
S0406	17252	89.42	96.9	0.43
S0416	17318	61.14	96.31	0.42
S0428	17297	56.46	96.02	0.42
S0437	17275	59.83	96.16	0.42
S0439	16923	53.43	95.85	0.42
S0445	16711	48.23	94.33	0.41
S0466	16700	53.07	96.05	0.42
S0469	16666	58.41	95.94	0.42
S0490	16288	58.69	95.43	0.42
S0492	16701	58.3	94.91	0.41
S0494	16661	72.72	96.59	0.42
S0497	17016	59.18	95.4	0.42
S0552	15213	41.53	92.57	0.41
S0620	15232	22.45	84.27	0.38
S0631	12254	23.22	82.04	0.38
S0650	15562	29.05	87.61	0.39
S0653	16606	49.35	93.7	0.41
S0659	15963	41.74	92.53	0.4
S0671	13925	31.49	86.13	0.39
S0682	15711	39.98	91.42	0.4
S0693	13335	29.5	84.33	0.39
S0732	14866	27.83	87.01	0.39
S0761	15928	41.63	92.26	0.4
S0791	13285	30.28	85.93	0.39
S0812	16009	50.16	92.49	0.41
S0837	16180	41.31	91.94	0.4
S0867	15246	41.34	92.1	0.4
S0935	17986	76.57	97.06	0.43
S0940	14414	28.2	86.96	0.39
S0944	17776	83.85	97.36	0.43
S0947	14699	24.07	85.11	0.38
S0956	15629	35.17	90.21	0.4
S0958	16144	41.87	92.48	0.4
S1003	18134	84.41	97.45	0.43
S1041	17560	90.86	97.42	0.43
S1054	18017	73.82	96.71	0.42
S1071	14288	32.66	86.39	0.39
S1109	12406	24.23	83.07	0.38
S1123	14144	36.06	88.4	0.4
S1132	17740	63.35	95.92	0.42
S1156	17535	81.66	96.98	0.43
S1168	17736	101.91	97.77	0.44
S1169	16369	40.75	92.05	0.4
S1193	18038	98.9	97.81	0.44
S1205	18096	90.93	97.34	0.43
S1208	17750	73.85	97.06	0.43
S1211	17176	94.79	97.63	0.44
S1214	17539	80.84	97.52	0.43
S1217	17620	104.35	97.55	0.44
S1218	17338	29.09	84.01	0.37
S1219	17157	56.58	96.96	0.42
S1220	15587	43.72	95.31	0.41
S1228	15795	35.82	91.15	0.4
S1231	13004	28.65	84.13	0.39
S1232	17455	27.05	83.01	0.37
S1240	17510	37.69	94.3	0.41
S1254	17537	39.9	94.66	0.41
S1259	17037	30.68	92.89	0.4
S1273	17433	31.66	93.59	0.4
S1292	13394	28.55	85.51	0.39
S1319	16527	26.62	90.12	0.39
S1327	14237	28.74	87.25	0.39
S1361	13987	31.18	87.59	0.39
S1364	14835	23.02	84.71	0.38
S1366	16475	22.48	88.67	0.38
S1368	12312	15	75.35	0.37
S1374	7902	11.39	67.47	0.37
S1424	17555	81.03	97.49	0.43
S1448	16494	45.83	93.19	0.41
S1494	13110	28.97	85.13	0.39
S1503	14731	39.19	89.09	0.4
S1536	16476	47.76	93.34	0.41
