sample	number	mean_CD	mean_GQ	mean_MRR
S0156	12120	35.15	89.91	0
S0160	12157	24.64	71.77	0
S0170	11630	28.49	71.64	0.01
S0172	12100	23.74	69.24	0
S0225	12101	37.22	92.13	0
S0229	12057	27.75	79.74	0
S0237	11910	31.88	87.1	0
S0243	12272	28.39	80.77	0
S0258	11657	26.95	77.01	0
S0267	12034	22.64	66.34	0
S0269	12322	25.52	73.81	0
S0280	12109	24.77	72.96	0
S0287	11980	26.88	76.99	0
S0290	11952	33.5	89.82	0
S0306	11989	30.07	84.22	0
S0307	12120	24.95	72.3	0
S0322	12017	25.47	74.14	0
S0325	11927	23.29	68.24	0
S0330	11929	27.15	77.61	0
S0347	12267	28.94	83.23	0
S0349	11891	26.94	77.06	0
S0376	12010	23.3	68.89	0
S0400	12119	32.79	88.52	0
S0404	12178	24.23	70.47	0
S0406	12141	29.08	82.15	0
S0416	11883	25.59	74.1	0
S0428	11971	23.76	69.76	0
S0437	12113	24.44	72.14	0
S0439	12323	23.73	69.5	0
S0445	11936	34.51	88.91	0
S0466	12129	28.64	81.85	0
S0469	11792	34.64	89.05	0
S0490	12233	25.37	73.45	0
S0492	12069	36.59	91.63	0
S0494	12072	26.99	77.6	0
S0497	11736	31.74	88.8	0
S0552	11931	29.83	83.52	0
S0620	12167	31.59	87.27	0
S0631	11695	31.04	85.88	0
S0650	11872	25.48	73.42	0
S0653	11941	22.65	66.4	0
S0659	12470	23.39	68.31	0
S0671	12284	28.98	82.13	0
S0682	12185	36.57	93.7	0
S0693	11916	22.24	64.72	0
S0732	12052	30.76	85.46	0
S0761	12087	29.13	82.54	0
S0791	12141	23.81	69.31	0
S0812	12065	28.63	80.11	0
S0837	12033	23.62	68.93	0
S0867	12100	30.01	84.23	0
S0935	11830	36.52	94.08	0
S0940	12293	26.95	77.7	0
S0944	12138	31.52	87.3	0
S0947	11746	27.64	79.45	0
S0956	11932	32.65	85.89	0
S0958	11942	29.25	81.14	0
S1003	11872	27.29	78.13	0
S1041	12043	29.76	83.71	0
S1054	12035	33.6	90.95	0
S1071	12060	26.74	77.46	0
S1109	12132	30.1	84.28	0
S1123	12620	29.7	83.86	0
S1132	11804	22.66	66.48	0
S1156	12159	24.06	70.09	0
S1168	12202	32.75	87.38	0
S1169	11771	27.46	78.76	0
S1193	11885	27.25	79.19	0
S1205	11923	28.2	80.7	0
S1208	12019	28.54	81.56	0
S1211	12274	30.9	86.25	0
S1214	11999	30.28	83.46	0
S1217	12150	25.15	72.99	0
S1218	11955	24.13	70.51	0
S1219	12204	25.18	73.28	0
S1220	13122	25.02	72.51	0
S1228	12073	30.13	83.99	0
S1231	12281	30.2	84.71	0
S1232	12178	28.63	81.85	0
S1240	11936	23.97	70.4	0
S1254	12094	22.49	65.98	0
S1259	12058	23.6	69.26	0
S1273	11953	28.61	81.81	0
S1292	11940	24.35	70.94	0
S1319	12225	30.26	84.04	0
S1327	12130	28	79.77	0
S1361	11874	28.11	80.76	0
S1364	11891	31.33	86.42	0
S1366	11990	25.04	72.98	0
S1368	12114	25.34	73.5	0
S1374	11850	23.74	69.4	0
S1424	12094	27.02	76.96	0
S1448	11816	29	81.84	0
S1494	11961	31.73	87.63	0
S1503	12044	29.35	83.1	0
S1536	12113	27.1	77.47	0
