sample	number	mean_CD	mean_GQ	mean_MRR
S0156	89557	47.6	91.08	0
S0160	89291	47.8	91.52	0
S0170	89202	49.12	90.85	0
S0172	88939	44.2	90.18	0
S0225	89628	45.92	90.93	0
S0229	89202	45.12	90.97	0
S0237	89090	42.53	89.75	0
S0243	89396	45.49	90.96	0
S0258	89371	39.56	88.13	0
S0267	88923	44.32	89.36	0
S0269	89081	42.57	89.7	0
S0280	89589	39.8	87.45	0
S0287	89703	38.94	86.55	0
S0290	89254	43.15	89.35	0
S0306	89036	43.74	89.24	0
S0307	89311	42.65	88.15	0
S0322	88603	22.48	59.82	0
S0325	88864	31.47	77.84	0
S0330	89031	35.87	83.63	0
S0347	89107	43.58	89.21	0
S0349	89264	45.08	89.52	0
S0376	88805	49.46	91.56	0
S0400	89066	49.2	91.3	0
S0404	89163	49.53	91.5	0
S0406	89027	52.79	91.96	0
S0416	89043	42.18	89.17	0
S0428	88991	39.59	87.71	0
S0437	88873	41.58	88.75	0
S0439	88965	38.68	86.81	0
S0445	89318	37.66	85.22	0
S0466	89276	38.52	86.84	0
S0469	89807	41.6	88.25	0
S0490	89040	42.23	87.77	0
S0492	88655	42.91	87.9	0
S0494	89090	47.21	90.19	0
S0497	88651	43.14	88.21	0
S0552	89035	31.21	74.41	0
S0620	87798	31.27	77.55	0
S0631	85880	23.46	60.34	0
S0650	88371	29.01	72.02	0
S0653	88769	40.3	84.86	0
S0659	88944	37.75	83.74	0
S0671	87444	29.43	71.35	0
S0682	88978	35.43	80.23	0
S0693	86570	26.34	65.5	0
S0732	88744	29.48	72.91	0
S0761	88966	36.52	81.51	0
S0791	86939	26.96	66.28	0
S0812	88557	37.9	80.72	0
S0837	88781	33.43	77.27	0
S0867	89450	36.37	81.76	0
S0935	89504	50.05	92.94	0
S0940	89047	28.92	71.86	0
S0944	89484	53.86	93.66	0
S0947	88482	30.54	75.64	0
S0956	88874	35	80.82	0
S0958	89228	38.83	84.72	0
S1003	89504	54.75	93.83	0
S1041	89658	56.91	94.41	0
S1054	89313	48.64	91.28	0
S1071	87782	30.52	72.88	0
S1109	86312	25.46	64.4	0
S1123	87886	31.89	73.63	0
S1132	89816	45.2	91.02	0
S1156	89835	51.82	91.92	0
S1168	89592	62.22	95.08	0
S1169	88846	38.29	84.01	0
S1193	89732	61.42	95.3	0
S1205	89185	56.81	93.58	0
S1208	89656	48.57	92.62	0
S1211	89930	58.77	94.58	0
S1214	90004	52.16	93.53	0
S1217	89860	63.29	95.22	0
S1218	90109	34.01	81.18	0
S1219	90222	69.26	96.11	0
S1220	90364	51.45	92.84	0
S1228	89168	39.5	85.36	0
S1231	86914	26.79	66.58	0
S1232	88977	34.77	82.2	0
S1240	89557	54.01	93.69	0
S1254	89573	61.44	95.04	0
S1259	89852	62.9	95.46	0
S1273	89726	64.66	95.92	0
S1292	86814	27.45	67.06	0
S1319	89829	50.84	92.21	0
S1327	88973	31.11	74.53	0
S1361	88968	38.09	82.09	0
S1364	88539	37.71	83.4	0
S1366	89613	53.13	93.35	0
S1368	89091	36.63	83.25	0
S1374	87210	28.21	67.86	0
S1424	89651	51.62	93.28	0
S1448	88812	39.1	84.23	0
S1494	86463	26.68	65.75	0
S1503	87948	32.9	74.55	0
S1536	88841	38.49	82.65	0
