sample	number	mean_CD	mean_GQ	mean_MRR
S0156	139391	35.62	91.14	0.06
S0160	139353	27.5	76.76	0.06
S0170	139404	29.57	79.36	0.06
S0172	139351	25.89	73.78	0.06
S0225	139376	38.01	93.61	0.06
S0229	139354	29.53	82.19	0.06
S0237	139373	31.64	87.07	0.06
S0243	139384	28.76	80.8	0.06
S0258	139292	27.56	77.78	0.06
S0267	139350	24.82	70.99	0.06
S0269	139372	26.6	76.06	0.06
S0280	139383	25.85	74.43	0.06
S0287	139405	28	78.77	0.06
S0290	139385	35.37	92.05	0.06
S0306	139384	30.48	84.82	0.06
S0307	139308	26.13	74.74	0.06
S0322	139362	26.08	75.01	0.06
S0325	139316	24.98	72.02	0.06
S0330	139367	28.06	79.15	0.06
S0347	139381	30.06	83.64	0.06
S0349	139407	28.01	78.94	0.06
S0376	139351	25.24	72.99	0.06
S0400	139412	32.45	88.61	0.06
S0404	139282	26.14	74.06	0.06
S0406	139361	30.13	83.41	0.06
S0416	139296	29.52	80.84	0.06
S0428	139312	25.08	72.68	0.06
S0437	139346	26	74.8	0.06
S0439	139338	25.55	73.35	0.06
S0445	139418	38.06	93.04	0.06
S0466	139369	29.19	82.28	0.06
S0469	139321	36.2	91.77	0.06
S0490	139412	27	76.15	0.06
S0492	139374	38.38	93.57	0.06
S0494	139392	28.27	79.73	0.06
S0497	139387	32.07	87.7	0.06
S0552	139417	30.39	84.07	0.06
S0620	139370	32.95	88.48	0.06
S0631	139371	31.61	86.67	0.06
S0650	139329	26.78	76.16	0.06
S0653	139306	24.19	70.09	0.06
S0659	139320	25.56	72.41	0.06
S0671	139399	30.09	83.07	0.06
S0682	139420	35.02	92.54	0.06
S0693	139363	23.82	69.1	0.06
S0732	139436	31.81	86.39	0.06
S0761	139421	29.39	82.24	0.06
S0791	139340	25.43	72.82	0.06
S0812	139357	30.65	83.15	0.06
S0837	139350	25.92	73.31	0.06
S0867	139395	32.08	86.32	0.06
S0935	139417	34.94	92.79	0.06
S0940	139410	28.25	79.4	0.06
S0944	139388	32.34	87.8	0.06
S0947	139351	27.79	78.99	0.06
S0956	139382	34.01	88.15	0.06
S0958	139413	31.18	84.08	0.06
S1003	139366	30.4	82.79	0.06
S1041	139377	31.01	85.12	0.06
S1054	139415	32.72	89.46	0.06
S1071	139357	27.92	79.16	0.06
S1109	139388	30.95	85.06	0.06
S1123	139365	29.38	82.62	0.06
S1132	139270	25.02	71.1	0.06
S1156	139327	26.07	73.99	0.06
S1168	139373	35.62	90.48	0.06
S1169	139365	29.9	82.42	0.06
S1193	139383	27.53	78.62	0.06
S1205	139331	29.75	82.67	0.06
S1208	139341	29.98	83.29	0.06
S1211	139415	30.94	85.46	0.06
S1214	139360	32.91	86.41	0.06
S1217	139349	26.73	75.95	0.06
S1218	139361	25.7	73.82	0.06
S1219	139396	27.14	76.99	0.06
S1220	139345	26.87	75.9	0.05
S1228	139386	31.16	85.51	0.06
S1231	139373	30.69	85.21	0.06
S1232	139386	28.9	81.62	0.06
S1240	139342	24.35	71.44	0.06
S1254	139304	24.3	70.4	0.06
S1259	139367	25.27	72.86	0.06
S1273	139389	30.41	84.04	0.06
S1292	139379	25.42	73.65	0.06
S1319	139373	31.19	85.64	0.06
S1327	139367	28.8	81.14	0.06
S1361	139367	28.35	80.4	0.06
S1364	139376	31.61	86.54	0.06
S1366	139336	25.43	73.43	0.06
S1368	139323	26.7	75.82	0.06
S1374	139334	25.63	73.38	0.06
S1424	139402	28.21	79.26	0.06
S1448	139352	30.36	83.79	0.06
S1494	139376	31.68	87.46	0.06
S1503	139361	29.29	82.2	0.06
S1536	139331	28.01	78.72	0.06
