sample	number	mean_CD	mean_GQ	mean_MRR
S0156	839	32.71:85.02	96.96:97.19	0.41:0.41
S0160	854	23.33:83.69	95.77:97.55	0.4:0.41
S0170	897	26.33:90.5	93.69:96.52	0.38:0.39
S0172	885	22.15:78.18	95.44:97.73	0.4:0.41
S0225	836	33.66:78.63	96.57:97.6	0.41:0.42
S0229	862	25.23:73.13	95.51:97.28	0.41:0.42
S0237	838	29.96:66.2	97.15:97.14	0.42:0.41
S0243	839	26.76:74.26	97.03:97.87	0.41:0.42
S0258	840	24.96:61.03	95.93:96.7	0.41:0.41
S0267	815	21.07:68.18	94.92:96.59	0.4:0.41
S0269	850	24.2:68.88	96.44:97.37	0.41:0.41
S0280	795	23.47:61.24	96.61:96.92	0.4:0.4
S0287	845	25.24:59.94	96.72:96.51	0.41:0.4
S0290	822	30.91:71.36	97.46:97.43	0.42:0.4
S0306	848	27.79:75.74	97.26:97.17	0.41:0.41
S0307	796	23.67:79.56	96.15:97.07	0.4:0.41
S0322	697	25.32:28.37	96.57:94.41	0.41:0.39
S0325	797	21.57:44.09	95.8:96.41	0.4:0.4
S0330	830	25.9:49.49	96.95:95.9	0.41:0.4
S0347	831	27.13:70.62	97.02:96.38	0.41:0.4
S0349	884	25.7:74.83	96.97:97.34	0.41:0.41
S0376	880	21.1:85.84	95.38:98.19	0.4:0.42
S0400	813	30.94:85.04	97.89:97.33	0.41:0.41
S0404	794	22.41:86.18	95.49:97.85	0.4:0.41
S0406	855	27.07:94.64	96.97:97.41	0.41:0.41
S0416	774	22.85:67.53	95.68:97.18	0.4:0.41
S0428	854	22.15:62.42	95.99:97.3	0.4:0.41
S0437	843	22.53:68.66	97.44:97.48	0.4:0.41
S0439	849	22.41:60.12	95.45:97.39	0.4:0.4
S0445	790	30.54:64.73	96.89:97.28	0.41:0.4
S0466	773	26.3:58.93	96.54:97.1	0.41:0.41
S0469	796	31.24:71.41	96.83:97.16	0.41:0.41
S0490	831	24:78.25	96.6:97.77	0.41:0.41
S0492	844	33.14:84.71	97.4:96.93	0.41:0.41
S0494	783	25.01:80.05	96.06:97.52	0.41:0.41
S0497	840	29.01:79.68	97.96:97.14	0.41:0.41
