sample	number	mean_CD	mean_GQ	mean_MRR
S0156	808	52.91	68.42	0.28
S0160	715	48.12	67.87	0.29
S0170	798	56.1	67.35	0.27
S0172	712	44.19	64.21	0.28
S0225	760	51.37	67.87	0.28
S0229	698	45.72	67.63	0.29
S0237	667	39.56	65.23	0.29
S0243	712	44.19	64.83	0.28
S0258	684	39.42	64.54	0.29
S0267	667	37.6	63.71	0.28
S0269	702	40.3	63.47	0.28
S0280	539	34.51	62.84	0.26
S0287	489	30.79	60.12	0.27
S0290	511	40.75	64.34	0.26
S0306	578	45.04	62.74	0.25
S0307	584	45.46	64.55	0.26
S0322	474	18.56	55.11	0.28
S0325	566	27.84	59.42	0.27
S0330	479	27.07	60.46	0.27
S0347	583	37.36	62.72	0.26
S0349	559	40.43	64.65	0.26
S0376	546	45.42	65.49	0.25
S0400	586	46.95	66.76	0.26
S0404	619	44.29	66.51	0.26
S0406	580	48.83	65.99	0.26
S0416	577	36.32	64.89	0.27
S0428	562	34.39	65.7	0.27
S0437	608	38.27	64.7	0.26
S0439	574	32.93	62.02	0.26
S0445	633	40.25	64.9	0.27
S0466	567	34.33	60.38	0.27
S0469	592	43.29	65	0.27
S0490	625	47.16	65.12	0.26
S0492	660	52.44	66.97	0.27
S0494	599	47.7	67.1	0.27
S0497	605	51.4	68.54	0.27
S0552	584	27.8	61.4	0.26
S0620	668	33.98	66.19	0.27
S0631	507	26.22	62.23	0.28
S0650	622	31.85	60.04	0.26
S0653	652	46.3	67.12	0.26
S0659	644	45.32	65.43	0.26
S0671	618	33.34	63.29	0.27
S0682	649	42.58	64.65	0.26
S0693	601	30.24	62.92	0.27
S0732	641	31.58	60.99	0.27
S0761	687	42.55	64.93	0.26
S0791	545	28.54	61.56	0.27
S0812	636	43.05	64.7	0.26
S0837	644	33.83	64.55	0.27
S0867	634	40.19	63.92	0.25
S0935	672	41.5	65.23	0.26
S0940	605	30.72	61.79	0.27
S0944	656	45.36	64.23	0.26
S0947	680	35.14	66.52	0.27
S0956	631	39.64	65.07	0.26
S0958	646	48	66.26	0.26
S1003	675	41.9	64.22	0.26
S1041	719	52.43	69.09	0.26
S1054	633	38.48	64.38	0.26
S1071	645	37.15	63.94	0.26
S1109	526	28.21	63.51	0.28
S1123	598	36.12	64.85	0.27
S1132	717	46.33	67.56	0.26
S1156	600	37.07	64.78	0.27
S1168	689	50.94	64.48	0.26
S1169	669	45.57	66.82	0.27
S1193	683	48.98	64.87	0.25
S1205	691	46.97	68.57	0.26
S1208	611	39.76	63.54	0.26
S1211	641	46.96	66.11	0.26
S1214	663	39.62	64.4	0.26
S1217	698	51.94	67.01	0.26
S1218	722	37.42	65.08	0.26
S1219	691	56.46	69.31	0.26
S1220	666	41.6	64.59	0.26
S1228	649	49.19	66.08	0.26
S1231	566	31.6	63.23	0.27
S1232	768	45.65	69.57	0.27
S1240	657	44.33	65.49	0.27
S1254	706	51.37	67.72	0.26
S1259	745	58.29	67.4	0.27
S1273	715	59.38	70.07	0.26
S1292	538	29.48	63.35	0.27
S1319	598	40.56	63.99	0.26
S1327	639	33.09	61.64	0.26
S1361	669	44.23	66.05	0.26
S1364	642	44.4	65.39	0.27
S1366	647	44.48	65.52	0.26
S1368	644	44.31	65.42	0.26
S1374	619	31.9	62.24	0.27
S1424	613	42.78	63.13	0.25
S1448	645	45.8	67.73	0.26
S1494	521	29.79	63.44	0.27
S1503	652	38.51	66.85	0.26
S1536	716	47.3	66.3	0.26
