sample	number	mean_CD	mean_GQ	mean_MRR
S0156	469	20.03	79.23	0.38
S0160	397	14.86	75.99	0.36
S0170	445	16.86	74	0.35
S0172	388	15.2	77.19	0.36
S0225	462	18.64	75.14	0.37
S0229	410	16.86	81.16	0.37
S0237	430	18.68	79.67	0.37
S0243	407	18.76	80	0.37
S0258	468	15.34	74.9	0.37
S0267	397	12.97	71.4	0.36
S0269	378	16.45	78.69	0.36
S0280	402	16.32	79.93	0.37
S0287	415	15.56	77.53	0.37
S0290	428	18.69	78.99	0.37
S0306	449	17.39	78.36	0.37
S0307	392	14.31	71.56	0.35
S0322	444	15.47	78.83	0.37
S0325	385	14.58	74.91	0.37
S0330	440	16.15	73.76	0.37
S0347	446	19.43	81.94	0.37
S0349	449	16.91	78.07	0.37
S0376	371	14.12	76.23	0.37
S0400	463	19.51	78.72	0.37
S0404	385	14.68	75.29	0.36
S0406	438	17.72	77.98	0.37
S0416	325	14.88	76.3	0.37
S0428	371	14.79	78.5	0.37
S0437	340	16.84	81.54	0.37
S0439	370	15.13	75.7	0.36
S0445	394	17.26	74.51	0.36
S0466	441	17	77.36	0.37
S0469	370	19.03	78.12	0.37
S0490	433	14.39	72.14	0.36
S0492	446	20.04	81.09	0.37
S0494	463	16.4	76.82	0.37
S0497	462	20.66	80.46	0.37
S0552	483	18.77	80.33	0.37
S0620	485	18.69	79.79	0.37
S0631	556	18.72	79.65	0.37
S0650	417	14.62	73.16	0.35
S0653	385	13.9	73.12	0.36
S0659	354	14.76	73.64	0.37
S0671	487	17.66	80.05	0.37
S0682	500	22.67	81.78	0.37
S0693	444	13.97	77.06	0.36
S0732	459	18.66	80.64	0.37
S0761	488	18.62	78.35	0.37
S0791	443	15.07	79.31	0.38
S0812	464	16.12	76.18	0.38
S0837	390	14.49	75.58	0.37
S0867	474	18.25	79.45	0.37
S0935	490	21.6	80.34	0.38
S0940	454	15.63	76.61	0.37
S0944	399	17.93	77.36	0.37
S0947	501	17	79.12	0.37
S0956	397	18.34	78.01	0.37
S0958	412	16.89	76.73	0.37
S1003	418	15.06	75.88	0.36
S1041	428	16.03	74.18	0.38
S1054	458	20.09	79.74	0.37
S1071	421	15.43	78.08	0.37
S1109	498	18.92	80.67	0.37
S1123	459	18.36	80.58	0.37
S1132	344	13.52	73.28	0.36
S1156	362	15.1	72.4	0.36
S1168	392	18.06	76.49	0.37
S1169	394	16.03	76.72	0.37
S1193	380	16.82	78.82	0.37
S1205	410	16.16	75.12	0.36
S1208	360	17.98	78.84	0.37
S1211	397	19.95	79.7	0.37
S1214	375	17.37	74.08	0.37
S1217	388	15.49	74.28	0.36
S1218	358	15.14	77.32	0.36
S1219	362	15.14	72.94	0.36
S1220	395	14.78	75.79	0.36
S1228	398	17.59	77.41	0.37
S1231	513	18.05	80.67	0.38
S1232	409	17.27	77.07	0.36
S1240	378	15.16	73.39	0.35
S1254	367	13.55	69.31	0.35
S1259	352	14.42	73.42	0.36
S1273	387	16.1	71.82	0.36
S1292	458	15.27	77.56	0.37
S1319	407	17.54	77.31	0.37
S1327	439	17.23	77.8	0.36
S1361	418	17.23	77.78	0.37
S1364	410	18.27	79.82	0.37
S1366	442	14.71	73.6	0.37
S1368	415	15.25	73.73	0.37
S1374	435	14.63	73.06	0.36
S1424	399	15.55	75.1	0.37
S1448	438	17.37	78.9	0.37
S1494	452	20.18	81.37	0.37
S1503	503	17.63	77.4	0.36
S1536	442	15.75	75.65	0.37
