sample	number	mean_CD	mean_GQ	mean_MRR
S0156	697	31.13:77.4	82.89:85.14	0:0.01
S0160	687	21.15:72.05	63.31:85.37	0:0.01
S0170	602	25.2:80.49	68.27:83.8	0.01:0.01
S0172	656	20.82:64.15	62.37:84.03	0:0.01
S0225	688	32.43:72.32	85.03:85.41	0:0.01
S0229	680	24.32:68.06	72.21:85.55	0:0.01
S0237	674	28.09:59.31	79.15:82.3	0:0.01
S0243	705	25.07:66.68	73.39:84.61	0:0.01
S0258	661	23.5:55.18	69.5:82.4	0:0.01
S0267	687	19.8:61.32	59.18:81.08	0:0.01
S0269	686	22.34:59.21	66.23:81.75	0:0.01
S0280	667	22.46:53.2	67.24:79.53	0:0.01
S0287	623	23.73:50.36	70.2:79.92	0:0.01
S0290	691	29.83:63.29	82.73:83.58	0:0.01
S0306	655	26.51:65.77	76.63:83.48	0:0
S0307	698	22.34:64.46	65.91:81.8	0:0.01
S0322	651	23.19:21.82	68.91:55.21	0:0
S0325	639	21.19:37.1	63.19:72.29	0:0
S0330	643	24.76:47.31	72.44:76.9	0:0.01
S0347	692	26.24:60.49	77:79.95	0:0.01
S0349	679	24.13:66.58	70.63:82.77	0:0.01
S0376	647	20.72:76.67	62.23:86.11	0:0
S0400	686	28.91:75.62	81.8:85.69	0:0.01
S0404	701	21.22:79.4	63.26:85.22	0:0.01
S0406	654	25.85:84.34	75.14:85.82	0:0.01
S0416	670	21.53:60.95	64.58:83.35	0:0.01
S0428	655	21.24:55.35	63.21:81.76	0:0.01
S0437	687	22.39:61.9	67.4:83.21	0:0.01
S0439	690	21.08:51.5	63.45:79.73	0:0.01
S0445	680	29.27:55.99	80.02:80.01	0:0.01
S0466	694	25.81:52.4	75.56:81.07	0:0.01
S0469	646	30.09:63.02	81.72:82.12	0:0.01
S0490	670	22.56:67	67.13:82.8	0:0.01
S0492	640	31.41:72.25	84.93:82.96	0:0.01
S0494	654	24.15:74.21	71.18:83.93	0:0.01
S0497	662	29.19:71.61	83.79:84.06	0:0.01
S0552	622	27.51:43.4	78.56:72.08	0:0
S0620	631	29.18:43.61	83.03:75.97	0:0
S0631	578	28.31:34.84	80.98:65.19	0:0
S0650	645	22.84:40.59	67.72:70.53	0:0
S0653	650	19.95:63.22	60.32:80.48	0:0
S0659	694	21.24:60.53	63.04:80.54	0:0
S0671	630	26.13:43.53	76.13:71.87	0:0
S0682	645	33.53:56.28	89.09:77.74	0:0
S0693	616	19.33:40.47	58.07:68.81	0:0
S0732	661	27.19:40.56	78.39:70.66	0:0
S0761	681	26.23:58.43	76.6:78.48	0:0
S0791	624	21.5:40.43	63.95:68.2	0:0
S0812	664	25.16:63.2	72.34:78.32	0:0
S0837	636	21.21:47.34	63.07:73.18	0:0
S0867	681	26.98:56.36	78.07:77.54	0:0.01
S0935	692	32.6:72.08	87.8:85.35	0:0.01
S0940	667	24.51:41.26	71.83:71.49	0:0
S0944	715	27.45:78.6	78.85:85.55	0:0.01
S0947	652	25.08:43.26	73.94:73.08	0:0
S0956	682	29.41:54.85	79.97:78.51	0:0.01
S0958	669	25.38:62.97	72.94:80.03	0:0.01
S1003	714	22.89:78.07	67.92:85.11	0:0.01
S1041	695	26.48:89.31	76.57:88.22	0:0.01
S1054	714	30.84:68.66	86.12:83.35	0:0.01
S1071	648	24.31:48.66	71.74:73.82	0:0
S1109	608	27.73:36.32	79.25:64.71	0:0
S1123	648	27.45:51.86	78.96:72.93	0:0
S1132	682	19.24:73.02	57.99:84.46	0:0.01
S1156	699	20.57:71.11	61.65:82.38	0:0.01
S1168	740	28.01:93.11	78.66:88.73	0:0.01
S1169	687	24.35:60.86	71.61:78.55	0:0
S1193	706	23.84:89.84	70.98:87.23	0:0.01
S1205	700	24.94:82.87	73.02:84.92	0:0.01
S1208	703	24.61:71.16	72.54:84.75	0:0.01
S1211	736	27.6:90.5	79.28:89.09	0:0.01
S1214	710	25.35:73.7	72.76:84.93	0:0.01
S1217	756	21.57:97.31	64.26:88.4	0:0.01
S1218	681	20.79:48.68	62.21:75.63	0:0.01
S1219	698	22:105.2	65.2:90.51	0:0.01
S1220	753	21.8:74.05	64.58:85.99	0:0.01
S1228	676	26.76:65.3	77.37:81.95	0:0.01
S1231	618	27.42:38.75	78.88:67.9	0:0
S1232	660	25.25:53.41	74:78.25	0:0.01
S1240	712	21.32:79.91	63.63:87.04	0:0.01
S1254	690	19.21:92.51	57.33:89.67	0:0.01
S1259	679	20.54:97.96	61.67:90.6	0:0.01
S1273	730	24.6:102.21	72.37:90.8	0:0.01
S1292	636	22.67:41.85	67.11:69.13	0:0
S1319	692	26.45:70.92	76.82:82.97	0:0.01
S1327	651	25.08:45.01	73.28:74	0:0
S1361	659	25.1:62.23	74:79.32	0:0
S1364	663	27.91:58.92	79.46:78.26	0:0.01
S1366	681	22.05:75.36	65.61:85.47	0:0.01
S1368	667	22.16:58.21	65.86:80.12	0:0
S1374	593	21.64:45.31	64.81:69.61	0:0
S1424	697	23.2:74.51	68.38:86.28	0:0
S1448	652	25.91:65.16	75.39:82.44	0:0.01
S1494	600	28.9:41.98	81.58:68.3	0:0
S1503	660	26.35:54.47	76.7:74.21	0:0
S1536	668	24.03:61.23	70.37:78.22	0:0
