sample	number	mean_CD	mean_GQ	mean_MRR
S0156	132	45.28	53.27	0.03
S0160	110	44.48	51.26	0.02
S0170	79	46.15	51.63	0.04
S0172	111	44.32	52.47	0.03
S0225	93	41.81	49.85	0.02
S0229	91	40.47	51.16	0.03
S0237	108	37.19	47.77	0.02
S0243	113	44.33	50.31	0.04
S0258	103	35.94	50.85	0.02
S0267	97	39.93	47.15	0.03
S0269	113	38.88	46.41	0.02
S0280	102	30.15	42.29	0.02
S0287	93	30.17	43.52	0.01
S0290	103	35.92	52.55	0.02
S0306	80	37.02	51.38	0.02
S0307	116	31.44	44.03	0.02
S0322	74	12.05	28.35	0.01
S0325	68	22.59	38.96	0.02
S0330	100	28.44	44.27	0.02
S0347	91	36.54	48.67	0.01
S0349	96	35.59	43.31	0.03
S0376	115	41.11	50.97	0.02
S0400	81	38.9	49.72	0.02
S0404	100	43.61	51.72	0.03
S0406	97	59.45	53.23	0.02
S0416	98	37.83	48.93	0.03
S0428	95	30.72	39.19	0.02
S0437	92	40.52	52.8	0.02
S0439	101	31.15	44.97	0.02
S0445	86	34.95	52.09	0.02
S0466	128	27.13	41.97	0.02
S0469	98	33.27	48.26	0.03
S0490	107	47.6	50.5	0.03
S0492	84	44.88	55.1	0.02
S0494	91	37.1	45.19	0.01
S0497	86	44.36	54.45	0.02
S0552	97	22.28	34.99	0.02
S0620	102	22.91	34.95	0.01
S0631	57	16.16	33.02	0.02
S0650	107	20.37	32.44	0.03
S0653	110	30.8	40.06	0.02
S0659	83	33.74	48.34	0.02
S0671	100	24.58	39.06	0.02
S0682	104	24.74	34.12	0.02
S0693	82	19.3	38.7	0.01
S0732	106	20.88	30.92	0.03
S0761	88	30.48	44.82	0.02
S0791	94	21.78	36.72	0.02
S0812	86	38.85	47.15	0.02
S0837	84	30.5	43.56	0.02
S0867	94	31.22	42.36	0.03
S0935	107	42.83	47.7	0.02
S0940	84	19.18	32.85	0.03
S0944	107	49.66	53.26	0.03
S0947	93	19.89	29.39	0.02
S0956	75	31.92	47.36	0.01
S0958	92	34.7	46.79	0.02
S1003	96	49.71	53.28	0.03
S1041	114	51.25	55.18	0.02
S1054	109	39.25	48.13	0.02
S1071	87	24.48	40.69	0.02
S1109	81	13.53	29.44	0.02
S1123	85	25.48	40.25	0.02
S1132	95	41.82	52.86	0.02
S1156	123	45.73	48.24	0.02
S1168	120	55.47	61.82	0.02
S1169	75	31.11	47.76	0.02
S1193	97	54.06	59.28	0.03
S1205	129	58.95	52.76	0.03
S1208	101	43.21	52.29	0.03
S1211	112	43.43	46.85	0.02
S1214	119	50.08	51.55	0.02
S1217	118	54.13	55.91	0.03
S1218	81	35.1	49.46	0.02
S1219	136	53.4	49.49	0.03
S1220	117	42.3	48.44	0.03
S1228	85	35.44	46.92	0.02
S1231	83	20.94	30.96	0.02
S1232	81	32.98	47.86	0.02
S1240	119	46.92	57.07	0.02
S1254	98	57.71	58.96	0.03
S1259	120	51.95	51.4	0.03
S1273	114	59.93	57.18	0.03
S1292	74	20.34	35.46	0.01
S1319	119	41.82	48.24	0.02
S1327	111	21.36	33.44	0.02
S1361	104	33.52	40.83	0.02
S1364	96	30.25	44.06	0.01
S1366	107	49.26	51.37	0.02
S1368	100	33.67	49.51	0.02
S1374	70	22.79	35.39	0.02
S1424	131	43.42	51.09	0.03
S1448	81	41.27	49.63	0.03
S1494	84	19.65	34.27	0.02
S1503	63	21.52	41.37	0.02
S1536	83	28.77	38.3	0.02
