sample	number	mean_CD	mean_GQ	mean_MRR
S0156	4210	35.9:53.42	86.11:88.38	0:0
S0160	4197	28.52:51.25	70.33:88.15	0:0
S0170	4152	29.47:54.62	73.05:87.56	0:0
S0172	4156	26.55:47.63	66.93:86.8	0:0
S0225	4203	38.38:50.43	88.13:87.93	0:0
S0229	4191	29.51:47.32	75.32:86.8	0:0
S0237	4224	30.81:44.15	80.3:85.63	0:0
S0243	4204	28.35:47.53	73.82:86.79	0:0
S0258	4211	27.61:40.87	71.03:83.89	0:0
S0267	4205	25.41:44.11	63.62:83.07	0:0
S0269	4183	26.82:44.01	69.45:85.42	0:0
S0280	4206	25.8:41.53	66.61:83.12	0:0
S0287	4201	28.12:38.97	72.5:80.12	0:0
S0290	4191	35.54:45.99	85.71:85.65	0:0
S0306	4207	29.8:48.09	77.67:85.4	0:0
S0307	4195	26.42:47.16	68.23:84.87	0:0
S0322	4058	26.23:23.17	68.76:58.9	0:0
S0325	4153	25.41:32.4	64.88:74.37	0:0
S0330	4133	28.23:35.82	72.73:78.26	0:0
S0347	4160	29.93:45.8	75.87:84.51	0:0
S0349	4151	28.13:48.21	72.57:85.09	0:0
S0376	4177	25.39:52.56	64.63:87.28	0:0
S0400	4210	31.43:52.27	82.25:87.61	0:0
S0404	4196	26.6:53.54	67.3:87.2	0:0
S0406	4188	30.4:57.42	77.69:88.08	0:0
S0416	4245	30.38:44.64	73.74:85.22	0:0
S0428	4155	25.11:40.78	65.37:83.42	0:0
S0437	4152	26.02:43.82	66.94:84.67	0:0
S0439	4112	25.67:39.81	65.69:81.82	0:0
S0445	4206	38.52:41.2	87.3:82.49	0:0
S0466	4223	28.44:40.03	74.56:82.28	0:0
S0469	4268	36.51:45.37	86.69:84.59	0:0
S0490	4151	27.33:47.88	69.38:85.39	0:0
S0492	4167	39:49.25	87.89:85.77	0:0
S0494	4199	27.93:52.01	72.3:87.33	0:0
S0497	4171	31.44:48.83	79.87:85.57	0:0
S0552	4119	30.37:33.93	78.36:72.68	0:0
S0620	4135	32.79:33	81.63:75.7	0:0
S0631	3910	31.31:26.86	81.38:64.37	0:0
S0650	4120	27.11:32.3	69.78:71.93	0:0
S0653	4147	24.54:45.49	63.03:82.45	0:0
S0659	4190	26.01:42.26	65.24:81.4	0:0
S0671	4040	29.88:33.99	76.64:72.45	0:0
S0682	4128	34:40.41	87.17:79.1	0:0
S0693	3955	23.95:30.49	61.53:67.76	0:0
S0732	4129	31.34:32.29	79.81:72.44	0:0
S0761	4099	28.9:41.72	75.69:80.07	0:0
S0791	3979	26.17:31.14	67.21:68.44	0:0
S0812	4128	31.24:44.08	76.85:79.53	0:0
S0837	4150	26.29:37.57	66:76.08	0:0
S0867	4136	32.11:41.03	79.63:80.53	0:0
S0935	4174	33.9:52.05	87.43:89.23	0:0
S0940	4170	28.05:31.77	72.41:71.87	0:0
S0944	4231	31.92:54.9	80.47:89.14	0:0
S0947	4096	27.75:33.37	72.7:75.26	0:0
S0956	4126	34.34:38.69	83.34:79.2	0:0
S0958	4155	31.49:43.96	78.19:82.59	0:0
S1003	4222	31.38:56.2	76.19:89.03	0:0
S1041	4218	30.99:60.66	78.6:90.84	0:0
S1054	4181	31.73:47.84	82.83:84.47	0:0
S1071	4071	27.82:35.17	71.97:73.43	0:0
S1109	3932	30.42:28.66	78.31:66.78	0:0
S1123	4059	29.06:37.02	76.7:74.6	0:0
S1132	4270	25.46:49.85	63.6:87.87	0:0
S1156	4207	26.31:50.39	66.57:85.33	0:0
S1168	4203	36.54:63.12	84.84:91.18	0:0
S1169	4133	30.25:43.05	75.66:81.71	0:0
S1193	4258	27.22:62.56	71.48:91.31	0:0
S1205	4207	29.69:56.38	75.47:88.53	0:0
S1208	4215	28.58:50.05	73.82:88	0:0
S1211	4282	30.01:60.53	77.77:89.88	0:0
S1214	4224	33.41:52.54	80.07:88.54	0:0
S1217	4168	26.73:63.21	68.2:90.62	0:0
S1218	4221	25.64:36.95	66.33:79.67	0:0
S1219	4217	26.95:72.14	69.12:92.93	0:0
S1220	4258	27.32:51.87	69.62:87.44	0:0
S1228	4177	30.77:44.44	79:83.08	0:0
S1231	4045	30.28:30.84	79.2:68.69	0:0
S1232	4167	28.38:38.67	74.62:80.99	0:0
S1240	4226	24.34:54.62	64.39:88.82	0:0
S1254	4239	24.56:61.92	62.78:90.45	0:0
S1259	4260	25.19:67.28	64.64:91.89	0:0
S1273	4223	30.09:68.51	75.93:92.25	0:0
S1292	3983	25.79:31.63	67.3:68.76	0:0
S1319	4249	30.73:50.28	78.8:86.52	0:0
S1327	4108	28.54:34.92	74.8:74	0:0
S1361	4173	27.81:43.98	73.39:80.66	0:0
S1364	4207	31.29:42.21	79.98:81.3	0:0
S1366	4197	25.42:54.5	66.5:88.4	0:0
S1368	4218	26.96:40.19	69.09:80.35	0:0
S1374	4050	26.27:33.27	67.13:70.25	0:0
S1424	4219	28.14:52.66	72.36:88.07	0:0
S1448	4144	30.37:43.84	77.26:81.71	0:0
S1494	3931	30.74:30.8	80.69:68.16	0:0
S1503	4062	29.09:38.7	76.54:75.08	0:0
S1536	4150	28.48:44.53	73:80.95	0:0
