sample	number	mean_CD	mean_GQ	mean_MRR
S0156	3220	45.11	61.97	0.01
S0160	3221	42.04	59.03	0.01
S0170	3159	45.53	60.96	0.01
S0172	3214	38.31	56.91	0.01
S0225	3198	41.32	59.14	0.01
S0229	3256	37.79	57.9	0.01
S0237	3264	35	55	0.01
S0243	3238	37.22	56.79	0.01
S0258	3253	33.15	53.01	0.01
S0267	3297	34.34	52.24	0.01
S0269	3208	35.57	54.96	0.01
S0280	3542	27.21	44.53	0.01
S0287	3600	26.36	43.38	0
S0290	3599	31.84	49.12	0.01
S0306	3526	33.29	51.31	0.01
S0307	3461	33.69	49.71	0.01
S0322	3341	14.02	26.42	0
S0325	3440	20.8	36.77	0
S0330	3542	22.37	38.85	0
S0347	3477	29.65	46.24	0.01
S0349	3522	31.15	47.66	0.01
S0376	3520	36.94	52.31	0.01
S0400	3483	35.81	51.1	0.01
S0404	3469	37.26	52.07	0.01
S0406	3477	39.42	53.13	0.01
S0416	3513	31.57	49.25	0.01
S0428	3497	27.4	45.44	0.01
S0437	3498	31.22	48.37	0.01
S0439	3492	27.1	44.49	0.01
S0445	3453	29.73	47.59	0.01
S0466	3432	28.43	46.18	0.01
S0469	3458	32.81	50.07	0.01
S0490	3327	35.24	52.26	0.01
S0492	3393	37.39	53.71	0.01
S0494	3390	37.64	53.23	0.01
S0497	3415	36.46	53.46	0.01
S0552	3213	19.85	33.51	0
S0620	3322	23.45	41.42	0.01
S0631	3140	15.87	28.5	0
S0650	3263	20.66	35.99	0
S0653	3339	32.12	48.26	0.01
S0659	3372	29.8	47.27	0.01
S0671	3212	21.94	36.33	0.01
S0682	3280	27.19	42.97	0.01
S0693	3139	19.02	33.05	0
S0732	3336	20.39	35.63	0
S0761	3347	28.33	45.02	0.01
S0791	3142	18.59	31.8	0
S0812	3284	28.22	42.93	0.01
S0837	3343	23.47	37.93	0.01
S0867	3328	28.33	43.88	0.01
S0935	3434	36.76	53.44	0.01
S0940	3359	20.25	35.62	0
S0944	3461	40.42	56.43	0.01
S0947	3288	22.65	39.98	0
S0956	3399	27.13	43.48	0.01
S0958	3379	32	49.04	0.01
S1003	3478	40.07	55.38	0.01
S1041	3337	45.15	61.03	0.01
S1054	3502	32.75	49.41	0
S1071	3242	22.55	37.69	0.01
S1109	3148	17.15	30.15	0
S1123	3211	23.09	36.7	0.01
S1132	3423	36.55	55.59	0.01
S1156	3547	36.05	50.28	0
S1168	3405	46.39	60.24	0.01
S1169	3369	31.11	47.96	0.01
S1193	3436	47.39	61.24	0.01
S1205	3376	40.99	55.07	0.01
S1208	3568	35.41	52.03	0.01
S1211	3479	43.52	58.1	0.01
S1214	3535	37.56	53.28	0.01
S1217	3407	47.63	59.86	0.01
S1218	3469	28.59	49.28	0.01
S1219	3448	53.29	63.89	0.01
S1220	3448	36.54	52.9	0.01
S1228	3393	31.87	49.24	0.01
S1231	3183	19.19	33.27	0
S1232	3283	31.53	51.98	0.01
S1240	3505	39.53	54.75	0.01
S1254	3466	45.08	58.44	0.01
S1259	3392	50.11	62.61	0.01
S1273	3417	51.28	63.53	0.01
S1292	3142	18.52	31.36	0
S1319	3495	35.77	51.88	0.01
S1327	3295	21.8	36.7	0
S1361	3316	29.68	46.05	0.01
S1364	3330	30.36	46.57	0.01
S1366	3425	40.42	55.24	0.01
S1368	3325	29.77	46.77	0.01
S1374	3113	21.25	34.98	0.01
S1424	3500	37.08	53.31	0.01
S1448	3335	30.53	47.32	0.01
S1494	3124	18.47	31.29	0
S1503	3209	24.51	37.56	0.01
S1536	3265	30.1	46.39	0.01
