sample	number	mean_CD	mean_GQ	mean_MRR
S0156	2210	30.41	52.44	0
S0160	2264	23.25	39.7	0
S0170	2255	22.85	42.53	0
S0172	2252	19.9	36.64	0
S0225	2206	32.09	55.35	0
S0229	2241	23.48	44.63	0
S0237	2219	24.33	49.09	0
S0243	2204	22.19	44.1	0
S0258	2195	21.4	39.53	0
S0267	2254	19.23	34.82	0
S0269	2254	20.61	39.49	0
S0280	2249	22.42	42.24	0
S0287	2256	21.82	42.53	0
S0290	2220	30.85	55.14	0
S0306	2236	23.11	44.95	0
S0307	2249	19.35	36.37	0
S0322	2337	20	39.33	0
S0325	2311	19.74	37.65	0
S0330	2240	21.78	41.51	0
S0347	2218	26.94	50.57	0
S0349	2206	21.68	42.76	0
S0376	2268	21.07	39.27	0
S0400	2175	25.15	51.75	0
S0404	2268	19.96	35.71	0
S0406	2229	24.7	46.71	0
S0416	2341	24.02	41.92	0
S0428	2351	19.38	36.08	0
S0437	2342	22.69	42.03	0
S0439	2316	19.61	36.82	0
S0445	2287	31.96	53.94	0
S0466	2253	22.97	46.49	0
S0469	2344	29.71	50.54	0
S0490	2250	21.14	39.93	0
S0492	2268	32.74	55.84	0
S0494	2246	22.02	42.95	0
S0497	2216	27.47	52.9	0
S0552	2324	24.25	47.9	0
S0620	2297	27.62	51.28	0
S0631	2481	25.34	52.68	0
S0650	2334	19.88	37.23	0
S0653	2316	18.57	34.47	0
S0659	2334	19.46	35.95	0
S0671	2374	24.31	47.66	0
S0682	2216	30.02	61.35	0
S0693	2473	18.4	35.01	0
S0732	2297	25.42	49.77	0
S0761	2248	23.43	47.45	0
S0791	2494	19.43	36.68	0
S0812	2288	24.53	44.48	0
S0837	2337	20	36.44	0
S0867	2264	26.5	50.42	0
S0935	2102	29.61	60.41	0
S0940	2314	22.29	43.49	0
S0944	2196	25.91	50.07	0
S0947	2257	22	44.95	0
S0956	2311	26.98	48.4	0
S0958	2271	24.59	44.88	0
S1003	2196	25.66	44.25	0
S1041	2179	25.46	49.22	0
S1054	2161	26.93	55.65	0
S1071	2395	21.85	42.62	0
S1109	2496	24.52	49.68	0
S1123	2331	22.9	46.82	0
S1132	2293	19.54	33.82	0
S1156	2239	20.06	36.13	0
S1168	2211	30.59	51.04	0
S1169	2342	24.11	44.49	0
S1193	2204	22.37	43.52	0
S1205	2205	23.28	43.98	0
S1208	2265	24.45	46.5	0
S1211	2197	24.87	49.29	0
S1214	2227	26.25	45.55	0
S1217	2189	20.64	38.96	0
S1218	2297	19.8	37.22	0
S1219	2193	21.75	42.2	0
S1220	2218	21.24	39.9	0
S1228	2267	24.34	47.81	0
S1231	2420	24.57	50.39	0
S1232	2164	22.89	46.5	0
S1240	2231	18.77	37.37	0
S1254	2200	19.24	36.54	0
S1259	2230	19.92	38.11	0
S1273	2155	24.65	47.47	0
S1292	2453	19.82	38.89	0
S1319	2213	24.33	48.65	0
S1327	2268	21.92	43.85	0
S1361	2259	22.63	45.97	0
S1364	2266	25.01	48.6	0
S1366	2185	19.26	37.09	0
S1368	2278	20.66	38.9	0
S1374	2458	19.96	38.2	0
S1424	2210	22	42.48	0
S1448	2264	23.62	45.02	0
S1494	2472	25.03	51.5	0
S1503	2330	22.84	46.31	0
S1536	2242	21.78	41.5	0
