sample	number	mean_CD	mean_GQ	mean_MRR
S0156	5915	34.51:60.59	86.68:88.3	0.06:0.06
S0160	5899	26.59:58.19	72.66:88.49	0.06:0.07
S0170	5913	28.15:62.69	74.83:87.3	0.06:0.07
S0172	5881	24.88:53.76	70.25:87.02	0.06:0.07
S0225	5909	36.51:56.56	88.31:87.77	0.06:0.06
S0229	5909	27.94:53.09	77.46:87.12	0.06:0.07
S0237	5902	30.09:48.62	82.24:85.72	0.06:0.06
S0243	5909	27.45:53.36	76.7:87.12	0.06:0.06
S0258	5891	26.49:45.32	73.93:84.62	0.06:0.06
S0267	5907	23.82:48.98	67.09:83.54	0.06:0.06
S0269	5908	25.6:49.08	72.55:85.67	0.06:0.06
S0280	5861	24.82:44.96	70.7:83.12	0.06:0.06
S0287	5865	26.91:42.69	75.52:81.14	0.07:0.06
S0290	5892	33.82:51.09	86.51:85.73	0.06:0.06
S0306	5895	28.82:53.49	80.05:85.48	0.06:0.06
S0307	5884	25.23:53.05	71.37:84.95	0.06:0.06
S0322	5670	25.42:23.16	72.24:61.31	0.06:0.05
S0325	5801	24.06:34.18	68.85:75.92	0.06:0.06
S0330	5805	27.13:38.47	75.93:79.14	0.06:0.06
S0347	5862	28.84:50.69	78.69:84.55	0.06:0.06
S0349	5880	26.99:53.81	75.66:85.57	0.07:0.07
S0376	5875	23.96:59.85	68.71:87.79	0.06:0.07
S0400	5883	30.79:59.03	84.06:87.52	0.06:0.06
S0404	5848	25.1:60.82	70.25:87.41	0.06:0.06
S0406	5878	29.08:65.26	79.73:88	0.06:0.07
S0416	5851	27.99:49.18	75.05:85.58	0.06:0.06
S0428	5832	23.98:45.22	69.39:84.24	0.06:0.06
S0437	5867	24.81:49.1	71.17:85.25	0.06:0.06
S0439	5836	24.33:43.82	69.56:82.82	0.06:0.06
S0445	5854	35.87:45.91	87.22:83.35	0.06:0.06
S0466	5858	27.55:43.52	77.39:82.91	0.06:0.06
S0469	5882	34.63:50.44	86.76:84.98	0.06:0.06
S0490	5830	25.94:54.03	72.52:85.79	0.06:0.06
S0492	5839	36.81:56.37	88.46:85.71	0.07:0.06
S0494	5825	26.79:57.95	75.14:87.07	0.06:0.06
S0497	5831	30.59:55.52	82.73:85.97	0.07:0.06
S0552	5680	29.53:37.01	80.77:74.47	0.06:0.06
S0620	5764	31.41:36.47	83.56:76.98	0.06:0.06
S0631	5416	30.39:28.98	83.2:66.49	0.06:0.05
S0650	5752	25.84:34.94	72.73:73.32	0.06:0.06
S0653	5801	23.23:51.98	67.11:83.28	0.06:0.06
S0659	5815	24.67:48.08	68.43:82.12	0.06:0.06
S0671	5623	28.77:37.52	79.07:73.95	0.06:0.05
S0682	5798	33.7:45.48	88.52:79.85	0.07:0.06
S0693	5529	22.81:33.78	66.03:69.99	0.06:0.06
S0732	5754	30.26:34.97	81.62:73.72	0.06:0.05
S0761	5801	28.12:47.2	78.53:80.81	0.06:0.06
S0791	5519	24.88:34.02	70.5:70.29	0.06:0.05
S0812	5774	29.51:49.75	78.76:80.28	0.06:0.06
S0837	5779	24.84:41.41	69.53:77.27	0.06:0.06
S0867	5782	30.61:45.82	81.36:80.84	0.06:0.06
S0935	5953	33.44:57.74	88.7:88.92	0.07:0.07
S0940	5729	27.03:34.45	75.17:73.46	0.06:0.05
S0944	5969	30.55:61.97	82.4:89.19	0.06:0.07
S0947	5718	26.83:36.69	75.92:76.08	0.06:0.05
S0956	5780	32.91:43.77	84.3:80.02	0.06:0.06
S0958	5850	29.81:50.11	79.84:82.98	0.06:0.06
S1003	5971	29.14:63.02	77.47:88.81	0.06:0.07
S1041	5975	29.51:69.12	80.51:90.46	0.06:0.07
S1054	5936	31.29:54.07	85.17:85.02	0.07:0.06
S1071	5672	26.66:39.08	74.95:74.77	0.06:0.05
S1109	5465	29.55:31.03	80.61:68.03	0.06:0.05
S1123	5656	28.48:41.66	79.54:75.71	0.06:0.06
S1132	5942	23.76:55.92	66.92:87.89	0.06:0.06
S1156	5961	24.66:56.61	69.73:85.87	0.06:0.07
S1168	5983	34.11:72.21	85.33:91	0.06:0.07
S1169	5820	28.36:48.64	77.67:82.31	0.06:0.06
S1193	5994	26.31:70.21	74.77:91.1	0.06:0.07
S1205	5963	28.22:63.69	77.69:88.5	0.06:0.07
S1208	5967	27.3:56.04	76.44:88.18	0.06:0.07
S1211	5970	29.26:68.01	80.05:89.91	0.06:0.06
S1214	5968	31.18:59.18	81.03:88.57	0.06:0.07
S1217	5991	25.3:72.86	71.6:90.67	0.06:0.07
S1218	5922	24.45:41.1	69.6:80.19	0.06:0.06
S1219	5990	25.54:82.65	72.5:92.92	0.07:0.07
S1220	5929	25.81:57.92	71.87:87.64	0.05:0.06
S1228	5859	29.51:50.74	80.79:83.21	0.06:0.06
S1231	5554	29.5:33.9	81.18:70.81	0.06:0.05
S1232	5925	27.43:43.03	77.52:81.38	0.07:0.06
S1240	5957	23.47:61.37	68.36:89.08	0.06:0.06
S1254	5964	23.16:70.93	66.5:90.79	0.06:0.07
S1259	5996	23.86:77.26	68.61:92.02	0.06:0.07
S1273	6005	28.39:77.89	77.88:91.97	0.06:0.07
S1292	5533	24.72:34.86	71.01:70.39	0.06:0.05
S1319	5948	29.54:56.21	80.71:86.59	0.06:0.06
S1327	5772	27.52:38.28	77.5:75.46	0.06:0.06
S1361	5819	27.01:50.07	76.36:81.47	0.06:0.06
S1364	5824	30.21:47.27	81.86:81.73	0.06:0.06
S1366	5951	24.42:60.92	70.48:88.62	0.06:0.07
S1368	5853	25.56:45.71	72.2:81.03	0.06:0.06
S1374	5571	24.92:37.08	70.51:72.24	0.06:0.06
S1424	5962	26.91:59.26	75.25:88.63	0.07:0.07
S1448	5818	28.97:50.05	79.45:82.45	0.06:0.06
