sample	number	mean_CD	mean_GQ	mean_MRR
S0156	4856	49.31	64.29	0.1
S0160	4818	44.27	61.36	0.09
S0170	4825	49.38	63.55	0.1
S0172	4811	40.81	59.37	0.09
S0225	4820	44.65	62.08	0.1
S0229	4807	40.09	59.95	0.09
S0237	4792	36.22	57.33	0.09
S0243	4811	39.35	58.75	0.09
S0258	4779	34.75	55.98	0.09
S0267	4795	34.66	54.84	0.09
S0269	4794	37	57.61	0.09
S0280	4670	28.53	48.1	0.06
S0287	4624	26.98	46.35	0.05
S0290	4718	33.52	52.34	0.06
S0306	4746	35.79	53.98	0.07
S0307	4714	35.81	52.96	0.07
S0322	4264	14.69	31.82	0.05
S0325	4545	21.99	41.56	0.06
S0330	4528	23.19	42.9	0.05
S0347	4675	31.06	49.98	0.07
S0349	4662	32.67	50.99	0.06
S0376	4730	38.19	55.25	0.07
S0400	4740	37.52	54.14	0.07
S0404	4736	38.67	55.37	0.07
S0406	4729	41.6	56.25	0.07
S0416	4709	32.4	52.36	0.07
S0428	4669	28.74	49.5	0.07
S0437	4725	32.51	51.69	0.07
S0439	4649	28.06	48.36	0.06
S0445	4711	31.97	51.55	0.07
S0466	4670	29.17	49.14	0.07
S0469	4717	34.54	53.08	0.07
S0490	4665	37.9	55.63	0.08
S0492	4698	40.6	57.02	0.08
S0494	4691	39.31	56.24	0.07
S0497	4702	39.43	57.09	0.08
S0552	4308	21.58	39.55	0.06
S0620	4607	25.75	46.85	0.07
S0631	4055	17.57	34.85	0.06
S0650	4504	22.78	41.72	0.07
S0653	4645	34.93	52.58	0.07
S0659	4669	33.14	51.62	0.07
S0671	4384	24.27	42.61	0.07
S0682	4613	30.17	48.2	0.07
S0693	4225	21.18	39.57	0.06
S0732	4574	22.43	41.26	0.07
S0761	4660	31.5	50.09	0.07
S0791	4161	20.41	38.01	0.06
S0812	4527	31.44	48.25	0.07
S0837	4573	25.65	44.16	0.07
S0867	4580	30.82	48.45	0.07
S0935	4811	37.49	56.12	0.07
S0940	4508	22.25	41.43	0.07
S0944	4835	41.11	58.08	0.07
S0947	4577	25.12	45.51	0.07
S0956	4636	29.68	48.37	0.07
S0958	4690	35.24	53.11	0.07
S1003	4848	40.07	57.32	0.07
S1041	4847	46.46	62.6	0.08
S1054	4764	33.41	52.41	0.07
S1071	4421	25.47	43.56	0.07
S1109	4144	18.94	36.63	0.06
S1123	4359	25.7	42.97	0.07
S1132	4874	38.35	58.39	0.08
S1156	4802	35.98	53.13	0.06
S1168	4888	46.8	61.45	0.08
S1169	4646	34.03	52.28	0.08
S1193	4900	46.8	62.11	0.08
S1205	4824	42.04	57.98	0.08
S1208	4830	36.06	54.61	0.07
S1211	4869	43.88	59.62	0.07
S1214	4850	37.82	55.72	0.07
S1217	4882	47.59	61.56	0.08
S1218	4810	30.39	52.85	0.07
S1219	4949	53.44	64.83	0.08
S1220	4811	36.94	55.13	0.07
S1228	4692	35.44	53.16	0.07
S1231	4250	21.38	39.46	0.06
S1232	4809	34.92	56.29	0.09
S1240	4862	40.05	57.08	0.07
S1254	4897	45.7	60.46	0.08
S1259	4942	51.38	63.61	0.08
S1273	4935	52.4	64.65	0.08
S1292	4178	20.47	38	0.06
S1319	4776	36.17	54.08	0.07
S1327	4539	24.08	42.54	0.07
S1361	4645	32.6	50.86	0.07
S1364	4635	32.9	51.02	0.08
S1366	4815	40.79	57.53	0.08
S1368	4661	32.86	51.46	0.08
S1374	4255	23.44	41.32	0.07
S1424	4846	37.61	55.42	0.07
S1448	4594	33.77	52.02	0.07
S1494	4136	20.51	37.66	0.06
S1503	4388	27.27	44.29	0.07
S1536	4659	33.68	51.33	0.08
