sample	number	mean_CD	mean_GQ	mean_MRR
S0156	3189	26.29	54.97	0.06
S0160	3164	20.2	44.2	0.05
S0170	3196	20.21	46.6	0.06
S0172	3137	17.79	42.11	0.05
S0225	3216	27.08	56.97	0.06
S0229	3164	20.75	49.33	0.06
S0237	3216	21.56	52.6	0.06
S0243	3179	20.03	48.92	0.06
S0258	3201	18.77	45.02	0.06
S0267	3167	16.93	40.1	0.05
S0269	3177	18.45	44.32	0.05
S0280	3224	19.95	47.82	0.06
S0287	3271	19.18	47.07	0.06
S0290	3238	26.23	57.25	0.06
S0306	3205	20.66	49.8	0.06
S0307	3199	17.15	40.93	0.05
S0322	3414	17.83	44.91	0.06
S0325	3243	17.53	42.35	0.05
S0330	3290	19.24	46.38	0.06
S0347	3236	23.75	55.33	0.06
S0349	3220	19.3	47.76	0.06
S0376	3188	18.47	43.79	0.05
S0400	3241	22.29	55.22	0.06
S0404	3195	17.67	40.91	0.05
S0406	3212	21.72	50.8	0.06
S0416	3169	20.98	45.24	0.05
S0428	3243	17.53	42.12	0.05
S0437	3195	20.57	47.69	0.05
S0439	3202	17.55	41.51	0.05
S0445	3273	26.85	55.38	0.05
S0466	3267	20.38	50.68	0.06
S0469	3206	26.13	53.53	0.05
S0490	3263	18.33	44.12	0.06
S0492	3297	27.83	58.27	0.06
S0494	3277	19.46	47.96	0.06
S0497	3295	24.44	57.62	0.06
S0552	3450	21.57	52.49	0.06
S0620	3354	24.18	55.6	0.06
S0631	3698	22.46	56.63	0.06
S0650	3306	17.68	42.15	0.05
S0653	3224	16.55	39.52	0.05
S0659	3248	17.28	40.07	0.05
S0671	3492	21.48	52.43	0.06
S0682	3357	26.56	63.65	0.07
S0693	3517	16.31	40.5	0.05
S0732	3376	22.26	53.19	0.06
S0761	3317	20.95	51.79	0.06
S0791	3539	17.35	42.3	0.05
S0812	3315	21.25	48.91	0.06
S0837	3290	17.67	41.5	0.05
S0867	3332	23.02	54.28	0.06
S0935	3195	26.23	63.49	0.07
S0940	3371	19.53	48	0.06
S0944	3148	22.63	53.33	0.06
S0947	3375	19.49	50.08	0.07
S0956	3289	23.66	52.15	0.05
S0958	3255	21.46	48.7	0.06
S1003	3131	21.84	48.04	0.06
S1041	3159	21.96	51.95	0.06
S1054	3201	23.86	58.56	0.06
S1071	3403	19.38	47.55	0.06
S1109	3644	21.88	53.76	0.06
S1123	3456	20.6	51.91	0.06
S1132	3067	17.44	38.78	0.05
S1156	3091	17.81	40.55	0.05
S1168	3120	26.14	53.59	0.06
S1169	3281	21.07	48.25	0.05
S1193	3119	20.16	48.97	0.06
S1205	3119	20.53	48.18	0.05
S1208	3114	22.02	50.84	0.05
S1211	3139	22.46	53.44	0.06
S1214	3094	22.93	48.85	0.05
S1217	3087	18.44	44.05	0.05
S1218	3161	17.73	42.07	0.05
S1219	3083	19.1	45.43	0.05
S1220	3162	18.67	44.63	0.05
S1228	3231	21.49	51.04	0.05
S1231	3560	21.86	54.84	0.06
S1232	3193	20.31	50.79	0.06
S1240	3112	17.03	42.55	0.05
S1254	3067	17.03	40.8	0.05
S1259	3080	17.75	42.63	0.05
S1273	3093	21.42	50.11	0.05
S1292	3535	17.64	44.09	0.05
S1319	3165	21.38	51.57	0.06
S1327	3312	19.55	48.11	0.06
S1361	3276	20.27	50.39	0.06
S1364	3289	22.08	52.56	0.05
S1366	3116	17.25	42.73	0.06
S1368	3241	18.22	43.36	0.06
S1374	3488	17.66	42.4	0.05
S1424	3155	19.34	46.63	0.06
S1448	3288	20.79	49.85	0.06
S1494	3594	22.46	54.99	0.06
S1503	3457	20.43	51.37	0.06
S1536	3254	19.1	46.23	0.06
