sample	number	mean_CD	mean_GQ	mean_MRR
S0156	11530	35.66:92	90.94:91.64	0:0
S0160	11564	25.01:90.41	72.85:91.76	0:0
S0170	10622	29.01:96.06	73.55:88.75	0.01:0.02
S0172	11456	24.12:79.92	70.35:90.41	0:0.01
S0225	11523	37.71:87.15	93.07:91.48	0:0
S0229	11442	28.12:83.85	80.76:91.48	0:0
S0237	11311	32.33:76.34	88.22:90.28	0:0
S0243	11700	28.74:83.19	81.75:90.59	0:0
S0258	11109	27.4:67.35	78.27:88.91	0:0
S0267	11404	23.07:78.56	67.61:89.75	0:0
S0269	11686	25.96:75.27	75.07:90.33	0:0.01
S0280	11430	24.94:67.34	73.47:87.17	0:0.01
S0287	11333	27.29:64.65	78.14:86.39	0:0.01
S0290	11404	33.86:77.83	90.68:89.46	0:0
S0306	11384	30.53:79.9	85.44:89.77	0:0
S0307	11511	25.4:75.86	73.64:88.59	0:0
S0322	10906	26.18:25.46	76.15:61.61	0:0
S0325	11103	23.76:44.35	69.64:78.78	0:0
S0330	11190	27.73:57.57	79.22:84.39	0:0
S0347	11674	29.12:77.75	83.71:89.11	0:0
S0349	11285	27.38:83.33	78.29:89.75	0:0
S0376	11446	23.56:96.95	69.65:92.04	0:0
S0400	11515	33.21:94.58	89.48:91.6	0:0
S0404	11571	24.68:95.61	71.78:91.29	0:0
S0406	11529	29.42:102.75	83.06:92.3	0:0
S0416	11243	26:74.63	75.28:89.64	0:0
S0428	11363	24.1:67.6	70.75:88.16	0:0
S0437	11450	24.58:72.75	72.57:89.25	0:0
S0439	11633	24.13:64.25	70.65:87.12	0:0
S0445	11299	35.04:63.07	89.98:86.05	0:0
S0466	11457	29:63.1	82.81:87.17	0:0
S0469	11183	35.17:72.54	90.18:88.75	0:0
S0490	11541	25.82:77.6	74.72:89.1	0:0
S0492	11382	37.16:80.55	92.72:88.96	0:0
S0494	11417	27.41:87.86	78.77:90.52	0:0
S0497	11097	31.86:81.34	89.11:89.42	0:0
S0552	10973	30.44:48.83	85.02:77.38	0:0
S0620	11376	31.91:49.31	88.04:79.99	0:0
S0631	10306	31.73:33.9	87.47:64.7	0:0
S0650	11025	26.1:44.38	75.13:75.49	0:0
S0653	11266	23.09:72.87	67.72:86.01	0:0
S0659	11794	23.81:67.05	69.52:85.09	0:0
S0671	11292	29.42:46.27	83.28:75	0:0
S0682	11465	36.75:62.55	94.05:82.52	0:0
S0693	10694	22.84:38.93	66.5:69.52	0:0
S0732	11220	31.2:45.38	86.55:75.86	0:0
S0761	11366	29.48:64.38	83.45:83.27	0:0
S0791	10829	24.62:42.02	71.65:70.32	0:0
S0812	11290	29.15:66.8	81.42:83.19	0:0
S0837	11271	24.13:53.72	70.42:79.59	0:0
S0867	11332	30.38:62.79	85.16:83.67	0:0
S0935	11381	36.73:91.46	94.47:92.53	0:0.01
S0940	11466	27.44:44.38	79.03:74.96	0:0
S0944	11672	31.82:101.69	88.07:93.54	0:0.01
S0947	10939	28.06:49.33	80.56:78.65	0:0
S0956	11192	33.26:60.99	87.28:83.23	0:0
S0958	11313	29.73:71.55	82.37:85.81	0:0
S1003	11419	27.54:102.48	78.86:93.46	0:0.01
S1041	11578	30.06:111.89	84.52:94.31	0:0.01
S1054	11456	33.82:87.01	91.47:90.13	0:0.01
S1071	11071	27.25:49.97	78.87:76.63	0:0
S1109	10754	30.73:37.76	85.8:68.02	0:0
S1123	11551	30.2:54.14	85.08:76.6	0:0
S1132	11265	23:82.85	67.49:90.85	0:0.01
S1156	11628	24.35:93.2	70.96:91.01	0:0.01
S1168	11750	33.03:120.57	88.04:95.28	0:0.01
S1169	11104	27.88:70.79	79.92:85.93	0:0
S1193	11466	27.41:117.13	79.65:94.97	0:0.01
S1205	11445	28.51:105.76	81.54:93.39	0:0.01
S1208	11510	28.69:88.67	81.98:92.07	0:0.01
S1211	11817	31.09:111.63	86.7:94.25	0:0.01
S1214	11546	30.63:95.27	84.35:93.08	0:0.01
S1217	11669	25.45:121.23	73.83:94.66	0:0.01
S1218	11093	24.45:54.2	71.45:80.94	0:0.01
S1219	11808	25.36:134.91	73.8:95.91	0:0
S1220	12566	25.3:93.24	73.31:92.36	0:0.01
S1228	11464	30.52:73.39	84.98:86.72	0:0
S1231	11096	30.76:40.1	86.11:70.27	0:0
S1232	11258	28.91:56.45	82.62:82.13	0:0.01
S1240	11434	24.27:101.14	71.25:93.22	0:0.01
S1254	11649	22.73:116.89	66.7:94.65	0:0.01
S1259	11609	23.81:123.11	69.9:95.43	0:0.01
S1273	11541	28.83:126.55	82.44:95.59	0:0.01
S1292	10700	25.05:43.6	72.95:71.09	0:0
S1319	11665	30.67:91.41	85.05:91.56	0:0.01
S1327	11348	28.52:48.62	81.17:77.18	0:0
S1361	11188	28.46:68.47	81.71:83.92	0:0
S1364	11218	31.75:66.82	87.42:85.06	0:0
S1366	11494	25.42:97.85	74.08:93.07	0:0.01
S1368	11460	25.78:65.27	74.77:85.14	0:0
S1374	10788	24.39:44.26	71.3:71.52	0:0
S1424	11620	27.36:95.48	77.9:93.16	0:0
S1448	11154	29.47:70.37	83.07:85.64	0:0
S1494	10740	32.3:41.68	88.93:69.95	0:0
S1503	11101	29.88:57	84.45:77.5	0:0
S1536	11425	27.54:69.84	78.7:84.26	0:0
