sample	number	mean_CD	mean_GQ	mean_MRR
S0156	548	60.45	70.5	0.01
S0160	509	67.54	76.87	0
S0170	456	65.46	70	0.01
S0172	546	64.88	74.99	0.01
S0225	528	64.42	73.44	0.01
S0229	540	66.2	74.52	0.01
S0237	501	60.9	74.28	0.01
S0243	543	62.85	73.58	0.01
S0258	507	51.57	70.79	0.01
S0267	546	64.2	73.3	0.01
S0269	561	59.05	70.23	0.01
S0280	477	50.17	68.97	0
S0287	505	52.91	67.42	0.01
S0290	523	60.27	73.55	0.01
S0306	537	58.02	69.89	0.01
S0307	527	55.42	70.98	0.01
S0322	485	20.62	45.45	0.01
S0325	501	38.82	62.62	0
S0330	546	45.63	65.66	0
S0347	527	57.64	70.34	0.01
S0349	503	58.25	70.4	0.01
S0376	482	78.28	76.55	0
S0400	546	82.21	77.09	0
S0404	576	70	73.57	0.01
S0406	539	77.41	76.08	0.01
S0416	577	59.59	69.48	0.01
S0428	544	53.83	70.6	0.01
S0437	579	54.55	70.81	0
S0439	567	54.15	70.17	0.01
S0445	532	43.53	67.52	0.01
S0466	576	51.46	70.46	0
S0469	554	52.41	70.99	0.01
S0490	557	51.15	67.25	0
S0492	498	51.01	67.93	0
S0494	568	68.82	73.55	0.01
S0497	508	54.31	70.73	0
S0552	510	33.77	57.81	0.01
S0620	477	26.22	55.72	0
S0631	410	19.27	42.89	0
S0650	503	27.58	55.3	0
S0653	518	44.45	65.74	0
S0659	515	39.45	64.68	0
S0671	476	26.97	53.67	0
S0682	485	36.4	63.35	0
S0693	423	21.87	48.13	0
S0732	448	28.98	55.9	0
S0761	481	36.94	61.21	0
S0791	441	24.5	49.55	0
S0812	536	39.93	62.73	0
S0837	515	32.51	58.4	0.01
S0867	486	37.46	63.53	0
S0935	515	75.34	74.63	0.01
S0940	447	27.42	55.49	0
S0944	572	77.62	72.59	0.01
S0947	474	28.8	55.65	0
S0956	514	34.51	61.98	0
S0958	454	41.3	66.43	0
S1003	581	76.54	73.72	0.01
S1041	577	86.72	76.65	0.01
S1054	576	72.72	71.41	0.01
S1071	456	27.9	54.2	0.01
S1109	452	21.92	45.58	0
S1123	490	30.34	56.56	0
S1132	496	57.82	70.7	0.01
S1156	578	78.14	74.91	0.01
S1168	613	97.15	78.09	0.01
S1169	476	40.05	62.84	0.01
S1193	563	97.21	79.17	0.01
S1205	585	89.14	73.17	0.01
S1208	512	69.32	72.16	0.01
S1211	628	85.51	74.97	0.01
S1214	614	76.01	71.79	0.01
S1217	583	89.61	73.82	0.01
S1218	464	34.93	58.06	0.01
S1219	606	101.07	78.59	0.01
S1220	604	80.29	75.29	0.01
S1228	468	43.56	66.41	0
S1231	494	23.05	47.27	0
S1232	477	36.64	59.36	0.01
S1240	612	81.34	73.15	0.01
S1254	686	88.93	74.05	0.01
S1259	574	93.82	76.11	0.01
S1273	590	90.99	72.79	0.01
S1292	469	24.51	50.32	0
S1319	602	77.22	70.99	0.01
S1327	495	30.29	56.86	0
S1361	481	41.19	63.55	0
S1364	501	37.24	60.87	0
S1366	570	78.95	74.42	0.01
S1368	464	35.25	61.72	0
S1374	452	27.98	52.36	0
S1424	544	74.88	73.36	0
S1448	557	41.28	65.63	0
S1494	438	23.1	48.21	0
S1503	494	32.49	56.79	0
S1536	521	41.06	63.61	0
