sample	number	mean_CD	mean_GQ	mean_MRR
S0156	84281	35.88:47.99	91.61:92.2	0:0
S0160	83956	28.47:48.13	75.19:92.57	0:0
S0170	83651	30.12:49.65	78.61:92	0:0
S0172	83630	26.8:44.51	71.79:91.32	0:0
S0225	84303	38.41:46.23	94.42:92.03	0:0
S0229	83934	30.29:45.32	81.19:92.07	0:0
S0237	83777	31.81:42.65	86.65:90.9	0:0
S0243	84153	29.07:45.64	79.39:92.06	0:0
S0258	83991	28.2:39.73	76.38:89.33	0:0
S0267	83607	25.77:44.3	68.61:90.41	0:0
S0269	83847	27.13:42.71	74.27:90.81	0:0
S0280	84136	26.08:40	71.3:88.65	0:0
S0287	84279	28.55:39	77.32:87.61	0:0
S0290	83918	35.94:43.39	92.3:90.51	0:0
S0306	83747	30.91:44.1	84.26:90.41	0:0
S0307	83974	26.85:43.01	73.1:89.39	0:0
S0322	82690	26.68:22.83	73.26:61.21	0:0
S0325	83250	25.83:31.75	69.61:79.2	0:0
S0330	83621	28.68:36.02	77.94:84.86	0:0
S0347	83784	30.23:43.72	81.92:90.33	0:0
S0349	83902	28.52:45.24	77.38:90.69	0:0
S0376	83486	25.9:49.77	69.99:92.59	0:0
S0400	83688	32.46:49.43	88.31:92.34	0:0
S0404	83824	27.06:49.94	72.48:92.58	0:0
S0406	83777	30.58:53.12	82.39:92.97	0:0
S0416	83784	30.92:42.37	80.12:90.25	0:0
S0428	83617	25.72:39.88	70.17:88.86	0:0
S0437	83502	26.44:41.9	71.74:89.94	0:0
S0439	83663	26.25:38.9	71.03:87.93	0:0
S0445	84027	39.14:38.1	93.87:86.48	0:0
S0466	83971	29.54:38.73	80.94:87.95	0:0
S0469	84479	36.93:41.9	92.53:89.38	0:0
S0490	83747	27.74:42.61	74.59:88.98	0:0
S0492	83369	39.17:43.47	94.4:89.08	0:0
S0494	83764	28.8:47.47	78.39:91.25	0:0
S0497	83409	32.07:43.63	86.4:89.42	0:0
S0552	83505	30.78:31.6	83.57:75.69	0:0
S0620	82546	33.42:31.86	88:79.18	0:0
S0631	80226	31.98:24.1	86.44:62.1	0:0
S0650	82759	27.65:29.57	74.86:73.57	0:0
S0653	83427	25.02:40.92	67.77:86.2	0:0
S0659	83584	26.5:38.36	70.52:85.14	0:0
S0671	82132	30.57:30.03	82.09:72.91	0:0
S0682	83598	34.37:36.07	92.26:81.67	0:0
S0693	81127	24.6:26.86	66.4:67.05	0:0
S0732	83220	32.24:29.96	85.99:74.45	0:0
S0761	83640	29.59:37.16	80.9:82.95	0:0
S0791	81361	26.41:27.59	71.45:67.91	0:0
S0812	83220	31.56:38.58	82.75:82.13	0:0
S0837	83302	26.92:34.01	71.35:78.63	0:0
S0867	84070	32.7:36.97	85.77:83.14	0:0
S0935	84127	34.48:50.11	92.56:93.94	0:0
S0940	83464	28.85:29.43	78.11:73.35	0:0
S0944	84084	32.77:53.98	87.41:94.63	0:0
S0947	83160	28.17:31.14	77.3:77.29	0:0
S0956	83482	34.7:35.61	88.65:82.31	0:0
S0958	83936	31.97:39.43	83.84:86.09	0:0
S1003	84102	31.53:54.74	82.05:94.84	0:0
S1041	84325	31.56:57.27	84.41:95.42	0:0
S1054	83943	32.59:48.57	88.85:92.28	0:0
S1071	82403	28.56:31.15	77.68:74.46	0:0
S1109	80670	31.39:26.11	84.43:66.18	0:0
S1123	82423	29.64:32.61	81.53:75.29	0:0
S1132	84402	26.02:45.55	68.85:92.22	0:0
S1156	84464	26.91:51.64	72.07:92.83	0:0
S1168	84300	36.55:62.3	90.78:96.02	0:0
S1169	83465	30.82:38.91	81.53:85.48	0:0
S1193	84332	27.75:61.42	76.18:96.13	0:0
S1205	83864	30.44:56.73	81.59:94.58	0:0
S1208	84185	30.36:48.73	81.53:93.66	0:0
S1211	84614	30.95:58.82	84.34:95.47	0:0
S1214	84573	33.95:52.1	86.42:94.51	0:0
S1217	84520	27.34:63.27	73.99:96.09	0:0
S1218	84675	26.34:34.46	71.77:82.61	0:0
S1219	84730	27.75:69.51	74.98:96.95	0:0
S1220	84958	27.61:51.45	74.43:93.79	0:0
S1228	83894	31.66:40.16	85.11:86.75	0:0
S1231	81484	31.14:27.36	84.69:68.15	0:0
S1232	83667	29.13:35.22	80:83.65	0:0
S1240	84196	24.78:54.08	68.67:94.67	0:0
S1254	84260	25.02:61.35	67.74:95.97	0:0
S1259	84569	25.9:63.11	70.37:96.42	0:0
S1273	84302	31.07:64.95	82.94:96.8	0:0
S1292	81222	26.18:28.11	71.85:68.73	0:0
S1319	84375	31.66:50.76	85.18:93.19	0:0
S1327	83423	29.23:31.68	79.97:76	0:0
S1361	83584	28.64:38.76	78.62:83.5	0:0
S1364	83244	31.97:38.29	86.09:84.76	0:0
S1366	84236	25.91:53.11	71.12:94.28	0:0
S1368	83798	27.47:37.24	74.19:84.68	0:0
S1374	81649	26.64:28.79	71.64:69.38	0:0
S1424	84303	28.78:51.7	77.98:94.23	0:0
S1448	83497	31.07:39.69	83.22:85.63	0:0
S1494	80916	31.97:27.32	87.16:67.43	0:0
S1503	82572	29.62:33.59	81.11:76.06	0:0
S1536	83430	28.63:39.17	77.45:84.03	0:0
