sample	number	mean_CD	mean_GQ	mean_MRR
S0156	5049	42.85	76.11	0
S0160	5114	44.18	77.91	0
S0170	5115	41.68	75.8	0
S0172	5095	40.78	74.95	0
S0225	5120	42.43	76.2	0
S0229	5092	43.13	75.74	0
S0237	5090	42.21	74.42	0
S0243	5067	44.3	75.69	0
S0258	5121	38.33	72.55	0
S0267	5101	46.19	75.53	0
S0269	5028	41.76	74.65	0
S0280	5157	38.34	72.65	0
S0287	5116	39.72	73.8	0
S0290	5054	41.22	74.61	0
S0306	5034	39.48	73.94	0
S0307	5037	38.75	72.47	0
S0322	4837	20.15	48.24	0
S0325	5070	29.57	63.15	0
S0330	4992	35.74	69.52	0
S0347	5075	43.13	74.68	0
S0349	5077	44.44	74.78	0
S0376	5110	46.11	78.12	0
S0400	5128	47.27	78.19	0
S0404	5113	44.72	77.54	0
S0406	5020	49.42	79	0
S0416	5003	40.84	75.33	0
S0428	5117	36.57	73.02	0
S0437	5087	38.29	73.85	0
S0439	5040	36.7	72.2	0
S0445	4986	32.13	68.84	0
S0466	5050	36.78	72.44	0
S0469	5067	38.55	73.55	0
S0490	4990	37.86	72.34	0
S0492	4968	35.82	73.26	0
S0494	5084	44.9	76.73	0
S0497	4939	37.11	72.76	0
S0552	4895	28.02	61.58	0
S0620	4607	24.29	58.38	0
S0631	4369	17.29	43.92	0
S0650	4847	23.16	55.9	0
S0653	4962	32.46	68.38	0
S0659	5000	29.84	65.89	0
S0671	4494	22.8	54.51	0
S0682	4883	27.61	62.98	0
S0693	4390	21.6	50.97	0
S0732	4778	24.7	56.58	0
S0761	4864	28.29	63.84	0
S0791	4534	20.77	50.85	0
S0812	4848	29.49	64.23	0
S0837	4952	26.64	62.01	0
S0867	4910	28.93	65.27	0
S0935	5232	50.19	79.33	0
S0940	4843	23.68	56.37	0
S0944	5289	53.04	80.06	0
S0947	4646	23.4	56.33	0
S0956	4877	27.53	62.96	0
S0958	4921	30.99	67.15	0
S1003	5268	56.08	79.93	0
S1041	5208	52.47	80.2	0
S1054	5206	51.13	77.77	0
S1071	4588	23.48	55.87	0
S1109	4430	19.24	47.8	0
S1123	4651	23.76	55.79	0
S1132	5231	40.71	74.73	0
S1156	5253	55.69	79.11	0
S1168	5201	61.74	81.41	0
S1169	4884	30.84	66.78	0
S1193	5311	62.34	83.57	0
S1205	5191	59.32	79.58	0
S1208	5318	47.2	78.56	0
S1211	5210	59.13	81.92	0
S1214	5314	54.1	79.73	0
S1217	5267	64.37	82.4	0
S1218	5011	28.6	63.22	0
S1219	5423	65.99	84.13	0
S1220	5295	52.42	79.45	0
S1228	4920	30.69	67.27	0
S1231	4445	21.01	51.11	0
S1232	4851	29.74	64.34	0
S1240	5247	53.74	79.9	0
S1254	5215	64.08	81.8	0
S1259	5203	60.39	81.24	0
S1273	5333	61	83.42	0
S1292	4543	20.85	51.24	0
S1319	5324	53.08	78.69	0
S1327	4897	24.69	58.7	0
S1361	4907	29.68	65.26	0
S1364	4861	30.43	67.01	0
S1366	5231	54.67	80.83	0
S1368	4871	28.79	65.21	0
S1374	4603	22.69	53.57	0
S1424	5231	51.28	79.77	0
S1448	4874	31.86	67.26	0
S1494	4471	20.29	49.53	0
S1503	4639	25.09	58.5	0
S1536	4941	30.13	66.66	0
