sample	number	mean_CD	mean_GQ	mean_MRR
S0156	1041	84.34	92.23	0.35
S0160	1066	82.68	92.33	0.36
S0170	1101	83.91	90.61	0.34
S0172	1020	74.14	90.98	0.35
S0225	969	77.4	92.53	0.36
S0229	1018	78.57	91.38	0.36
S0237	1033	74.68	91.34	0.35
S0243	997	83.83	91.74	0.35
S0258	969	66.71	90.61	0.35
S0267	1042	81.38	91.36	0.36
S0269	1028	72.69	90.82	0.35
S0280	925	73.7	90.5	0.36
S0287	957	73.15	91.2	0.36
S0290	943	77.87	90.34	0.36
S0306	945	76.21	91.35	0.35
S0307	898	73.07	90.27	0.36
S0322	834	28.09	81.45	0.35
S0325	910	47.19	86.48	0.35
S0330	895	62.43	89.01	0.35
S0347	974	80.31	90.86	0.36
S0349	923	84.26	92.63	0.36
S0376	1005	101.2	93.04	0.36
S0400	1000	98.46	91.97	0.36
S0404	961	95.93	91.84	0.35
S0406	1033	99.78	91.83	0.35
S0416	1028	72.3	90.72	0.36
S0428	974	70.04	90.3	0.36
S0437	982	73.76	90.73	0.35
S0439	980	66.08	89.68	0.36
S0445	893	59.52	88.9	0.35
S0466	978	68.14	90.91	0.36
S0469	938	68.73	90.75	0.36
S0490	916	74.38	90.23	0.36
S0492	909	72.38	89.77	0.36
S0494	953	88.62	90.74	0.35
S0497	950	73.54	90.67	0.35
S0552	868	49.59	85.46	0.35
S0620	774	46.43	83.48	0.34
S0631	631	35.2	80.9	0.35
S0650	757	41.18	85.11	0.35
S0653	876	67.63	89.13	0.36
S0659	748	62.18	87.03	0.35
S0671	714	44.86	87.53	0.35
S0682	801	57.58	88.42	0.35
S0693	724	39.24	82.47	0.35
S0732	776	42.11	85.43	0.35
S0761	893	59.72	87.99	0.35
S0791	666	39.97	83.26	0.35
S0812	859	63.2	88.81	0.35
S0837	883	52.85	86.98	0.35
S0867	818	58.32	87.81	0.35
S0935	1120	89.21	91.41	0.36
S0940	776	39.43	84.39	0.35
S0944	1092	102.18	92.63	0.37
S0947	774	44.66	87.18	0.35
S0956	790	56.26	85.92	0.35
S0958	861	64.94	89.68	0.35
S1003	1115	103.43	91.09	0.36
S1041	1063	101.7	92.72	0.36
S1054	1084	89.78	90.99	0.36
S1071	734	44.28	84.5	0.35
S1109	636	36.24	81.46	0.35
S1123	737	49.55	86.17	0.35
S1132	1028	75.18	89.28	0.35
S1156	1104	100.24	91.59	0.36
S1168	1166	118.41	90.99	0.36
S1169	832	59.5	87.92	0.36
S1193	1175	111.54	91.1	0.36
S1205	1203	106.89	92.15	0.36
S1208	1084	85.5	91.05	0.36
S1211	1076	108.37	91.58	0.36
S1214	1045	100.34	90.62	0.36
S1217	1169	121.58	90.99	0.36
S1218	778	53.02	84.94	0.34
S1219	1039	129.32	92.51	0.37
S1220	1017	99.64	91.5	0.36
S1228	821	68.32	88.66	0.35
S1231	647	38.86	83.08	0.35
S1232	871	50.71	84.76	0.33
S1240	1068	100.3	90.59	0.35
S1254	1125	115.75	93.03	0.37
S1259	1206	117.03	91.21	0.36
S1273	1094	118.33	92.7	0.35
S1292	709	39.74	83.26	0.35
S1319	1037	95.69	92.1	0.35
S1327	869	46.91	87.96	0.36
S1361	904	61.01	88.66	0.35
S1364	850	60	88.46	0.35
S1366	1106	103.92	92.32	0.36
S1368	849	61.31	88.64	0.35
S1374	620	41.55	82.73	0.35
S1424	1141	97.75	92.54	0.36
S1448	857	62.08	88.54	0.36
S1494	689	37.66	82.35	0.35
S1503	778	49.99	85.17	0.35
S1536	870	60.31	88.11	0.35
