sample	number	mean_CD	mean_GQ	mean_MRR
S0156	1266	38.82	95.36	0.4
S0160	1252	28.42	93.22	0.4
S0170	1327	32.49	91.05	0.39
S0172	1542	25	90.37	0.39
S0225	1262	40.37	95.13	0.41
S0229	1244	30.4	93.88	0.4
S0237	1231	34.69	93.88	0.4
S0243	1254	31.59	94.38	0.4
S0258	1302	28.9	90.89	0.4
S0267	1275	24	90.09	0.38
S0269	1330	28.02	91.93	0.38
S0280	1344	28.35	94.68	0.39
S0287	1352	29.95	92.04	0.4
S0290	1324	36.97	95.26	0.4
S0306	1236	34.06	94.1	0.4
S0307	1229	27.6	88.61	0.38
S0322	1804	25.98	93.55	0.4
S0325	1501	23.39	90.64	0.39
S0330	1409	28.83	92.16	0.39
S0347	1310	32.78	94.89	0.4
S0349	1316	29.63	92.57	0.39
S0376	1257	25.82	93.97	0.4
S0400	1296	36.15	94.38	0.4
S0404	1153	26.92	89.73	0.39
S0406	1351	32.44	93.59	0.4
S0416	1328	27.83	92.66	0.4
S0428	1370	26.02	91.73	0.39
S0437	1309	28.08	95.68	0.4
S0439	1391	25.29	92.66	0.4
S0445	1339	37.04	94.97	0.4
S0466	1300	31	93.94	0.4
S0469	1252	37.06	94.53	0.4
S0490	1325	27.23	92.02	0.39
S0492	1416	38.02	94.94	0.41
S0494	1351	30.8	93.31	0.4
S0497	1475	36.14	95.77	0.41
S0552	1702	31.01	94.65	0.4
S0620	1581	34.82	96.17	0.41
S0631	2611	31.92	96.08	0.41
S0650	1689	25.39	90.94	0.39
S0653	1301	24.45	90.08	0.39
S0659	1331	25.33	90.95	0.39
S0671	1881	30.55	95.27	0.41
S0682	1556	42.25	96.02	0.41
S0693	2127	22.32	91.84	0.39
S0732	1661	34.37	95.39	0.41
S0761	1483	32.45	94.8	0.39
S0791	2109	22.96	91.62	0.39
S0812	1528	29.53	92.95	0.4
S0837	1478	24.74	91.93	0.4
S0867	1404	33.3	94.71	0.4
S0935	1192	42.18	95.77	0.41
S0940	1647	28.15	95.02	0.4
S0944	1110	36.61	94.81	0.4
S0947	1672	29	94.4	0.4
S0956	1535	35.05	94.68	0.4
S0958	1368	31.89	93.2	0.4
S1003	1090	30.56	93.89	0.39
S1041	1064	34.85	93.19	0.4
S1054	1174	38.22	94.27	0.4
S1071	1780	27.44	94.19	0.4
S1109	2316	30.84	96.29	0.41
S1123	1958	30.3	95.71	0.41
S1132	1120	25.15	89.49	0.39
S1156	1054	27.91	91.05	0.39
S1168	1063	37.73	93.5	0.4
S1169	1425	29.47	94.44	0.41
S1193	1089	32.03	92.89	0.39
S1205	1171	31.51	93.47	0.4
S1208	1114	33.14	95.34	0.4
S1211	1082	37.38	94.96	0.4
S1214	1114	34.44	93.43	0.4
S1217	981	29.52	92.24	0.39
S1218	1229	29.1	93.09	0.39
S1219	996	29.9	92.28	0.4
S1220	1048	27.11	92.17	0.39
S1228	1378	33.72	94.85	0.4
S1231	2136	30.65	95.86	0.4
S1232	1249	33.09	94.48	0.4
S1240	1121	27.42	91.82	0.38
S1254	991	25.6	88.85	0.39
S1259	1060	28.35	91.14	0.38
S1273	1058	32.91	93.5	0.4
S1292	2220	23.46	93.23	0.4
S1319	1153	33.16	94.04	0.39
S1327	1578	30.28	93.79	0.4
S1361	1444	30.91	95.2	0.4
S1364	1491	33.43	95.76	0.4
S1366	1137	28.46	91.89	0.39
S1368	1357	27.34	91.94	0.4
S1374	2018	23.05	93.13	0.39
S1424	1111	30.68	92.94	0.39
S1448	1465	31.18	94.39	0.4
S1494	2340	31.44	96	0.41
S1503	1874	30.49	95.09	0.41
S1536	1379	29.8	92.34	0.4
