sample	number	mean_CD	mean_GQ	mean_MRR
S0156	549	25.22	70.06	0
S0160	550	17.34	50.61	0
S0170	519	20.07	52.89	0.01
S0172	576	16.98	49.56	0
S0225	526	27.4	73.75	0
S0229	536	20.49	59.21	0
S0237	564	23.29	65.13	0
S0243	526	20.93	60.57	0
S0258	508	17.46	50.54	0
S0267	566	14.73	43.39	0
S0269	558	17.33	50.55	0
S0280	610	21.71	64.18	0
S0287	571	18.93	54.67	0
S0290	510	25.98	72.26	0
S0306	560	21.12	60.85	0
S0307	530	16.16	46.99	0
S0322	966	17.89	52.78	0
S0325	704	16.62	48.82	0
S0330	687	18.34	53.13	0
S0347	546	25.52	74.14	0
S0349	565	18.6	54.03	0
S0376	534	18.23	53.93	0
S0400	577	24.82	70.07	0
S0404	558	15.81	45.95	0
S0406	556	22.51	64.87	0
S0416	599	18.12	52.94	0
S0428	550	17.36	50.96	0
S0437	615	22.04	65.01	0
S0439	621	16.88	49.87	0
S0445	583	25.05	70.31	0
S0466	621	22.4	65.16	0
S0469	564	24.87	68.42	0
S0490	640	18.08	52.76	0
S0492	644	27.09	73.64	0
S0494	617	19.53	57.07	0
S0497	595	30.03	84.23	0
S0552	908	22.69	66.07	0
S0620	737	26.84	76.05	0
S0631	1343	25.91	74	0
S0650	767	17.25	50.74	0
S0653	640	15.32	44.84	0
S0659	638	16.2	47.74	0
S0671	938	23.88	68.76	0
S0682	688	33.7	88.25	0
S0693	1161	16.95	49.45	0
S0732	768	24.74	70.71	0
S0761	682	23.61	68.48	0
S0791	1244	16.96	49.81	0
S0812	730	20.91	60.71	0
S0837	705	16.08	47.24	0
S0867	725	24.61	70.89	0
S0935	402	31.06	83.78	0
S0940	769	20.05	58.91	0
S0944	419	23.95	68.04	0
S0947	771	21.83	64.12	0
S0956	688	23.17	65.48	0
S0958	602	20.66	58.83	0
S1003	394	20.37	58.78	0
S1041	420	22.26	63.59	0
S1054	459	28.54	79.57	0
S1071	930	20.94	61.54	0
S1109	1318	25.21	72.53	0
S1123	1010	24.12	70.3	0
S1132	417	15.02	44.28	0
S1156	410	17.2	50.42	0
S1168	421	25.54	70.93	0
S1169	629	20.51	59.63	0
S1193	380	23.46	68.08	0
S1205	427	20.84	60.94	0
S1208	443	25.59	73.16	0
S1211	423	26.26	74.78	0
S1214	400	21.1	60.12	0
S1217	421	18.04	52.85	0
S1218	426	17.72	51.78	0
S1219	363	20.18	59.04	0
S1220	509	18.63	54.22	0
S1228	580	23.02	65.65	0
S1231	1128	24.82	71.26	0
S1232	500	23.02	66.29	0
S1240	427	17.22	51.07	0
S1254	393	16.17	47.6	0
S1259	405	18.09	52.87	0
S1273	367	22.57	65.18	0
S1292	1195	18.37	53.83	0
S1319	468	21.75	63	0
S1327	741	20.43	59.42	0
S1361	652	22.47	65.77	0
S1364	649	24.3	69.93	0
S1366	444	16.1	47.51	0
S1368	613	17.43	50.94	0
S1374	1005	17.06	50.16	0
S1424	446	19.02	54.89	0
S1448	628	21.07	61.25	0
S1494	1182	26.63	76.09	0
S1503	895	23.08	67.46	0
S1536	654	19.59	57	0
