sample	number	mean_CD	mean_GQ	mean_MRR
S0156	24039	34.05	84.37	0
S0160	24095	26.83	68.44	0
S0170	24026	28.03	73.12	0
S0172	23843	24.66	64.31	0
S0225	24057	36.72	87.76	0
S0229	24054	28.52	74.29	0
S0237	24087	29.92	79.47	0
S0243	23980	27.14	72.03	0
S0258	24104	25.56	67.21	0
S0267	24024	23.59	61	0
S0269	24001	25.07	66.5	0
S0280	24110	25.58	67.6	0
S0287	24191	26.57	70.01	0
S0290	24074	34.93	87.1	0
S0306	24109	28.71	76.24	0
S0307	24048	24.32	64.26	0
S0322	25306	24.05	64.05	0
S0325	24457	23.79	62.36	0
S0330	24407	26.29	69.29	0
S0347	24164	29.9	78.12	0
S0349	24160	26.62	70.17	0
S0376	24286	25.04	65.68	0
S0400	24261	30.81	81.89	0
S0404	24256	24.54	63.75	0
S0406	24095	28.91	75.79	0
S0416	24234	29.11	73.51	0
S0428	24265	23.9	63.36	0
S0437	24220	25.91	68.14	0
S0439	24168	24.56	64.61	0
S0445	24325	37.73	88.06	0
S0466	24350	28	74.9	0
S0469	24265	34.87	85.47	0
S0490	24560	25.53	66.62	0
S0492	24489	37.26	87.9	0
S0494	24520	26.87	71.32	0
S0497	24393	31.83	82.86	0
S0552	25476	28.76	75.73	0
S0620	24888	32.34	82.71	0
S0631	28059	30.12	79.67	0
S0650	25015	24.85	65.48	0
S0653	24605	22.65	59.45	0
S0659	24498	24.15	62.45	0
S0671	25866	28.9	75.5	0
S0682	24632	33.96	88.21	0
S0693	26849	22.54	59.38	0
S0732	25040	30.46	79.03	0
S0761	24542	27.86	74.18	0
S0791	26898	23.53	61.87	0
S0812	24800	29.21	74.64	0
S0837	24708	24.6	63.63	0
S0867	24812	31.54	80.37	0
S0935	23866	33.86	88.14	0
S0940	25144	26.95	70.86	0
S0944	23838	31.21	80.9	0
S0947	25092	26.13	69.76	0
S0956	24741	32.07	79.86	0
S0958	24470	29.64	75.61	0
S1003	23778	29.89	75.36	0
S1041	23882	29.91	77.95	0
S1054	23850	31.41	83.46	0
S1071	25627	26.81	70.83	0
S1109	27365	29.76	78.02	0
S1123	25526	27.57	73.98	0
S1132	23779	23.97	61.49	0
S1156	23778	24.93	64.8	0
S1168	23692	35.07	84.73	0
S1169	24523	29.2	74.9	0
S1193	23668	26.64	71.14	0
S1205	23806	28.75	74.84	0
S1208	23833	30.12	78.43	0
S1211	23814	29.81	78.89	0
S1214	23762	31.79	78.72	0
S1217	23748	25.63	67.42	0
S1218	23948	24.47	64.74	0
S1219	23718	26.58	69.93	0
S1220	23946	25.8	67.64	0
S1228	24389	29.67	77.81	0
S1231	26591	29.23	77.71	0
S1232	24044	27.63	73.92	0
S1240	23776	22.63	60.95	0
S1254	23711	23.36	61.36	0
S1259	23639	24.39	64.33	0
S1273	23661	29.8	77.5	0
S1292	26772	23.67	63.31	0
S1319	23913	29.75	78.13	0
S1327	24798	27.27	72.87	0
S1361	24640	27.06	72.42	0
S1364	24638	30.09	78.76	0
S1366	23880	23.57	62.73	0
S1368	24564	25.25	66.2	0
S1374	26565	24.21	63.51	0
S1424	23824	26.7	70.2	0
S1448	24558	28.94	75.41	0
S1494	27183	30.25	80.58	0
S1503	25487	27.49	73.3	0
S1536	24475	26.21	68.75	0
