sample	number	mean_CD	mean_GQ	mean_MRR
S0156	113536	35.97:59.82	92.63:92.74	0.07:0.07
S0160	113450	27.68:59.67	78.47:93.06	0.07:0.07
S0170	113527	29.9:61.81	80.66:91.94	0.07:0.07
S0172	113383	26.21:54.37	75.67:91.97	0.07:0.07
S0225	113523	38.31:56.91	94.93:92.62	0.07:0.07
S0229	113515	29.77:55.59	83.84:92.68	0.07:0.07
S0237	113484	32.01:51.71	88.71:91.66	0.07:0.07
S0243	113617	29.11:56.06	82.59:92.59	0.07:0.07
S0258	113369	28.02:47.14	80:90.29	0.07:0.07
S0267	113482	25.13:53.94	73.03:91.24	0.07:0.07
S0269	113475	26.95:51.56	78.02:91.58	0.07:0.07
S0280	113311	25.9:47.28	75.69:89.38	0.06:0.06
S0287	113286	28.33:45.89	80.61:88.55	0.06:0.06
S0290	113473	35.49:52.56	93.15:91.11	0.07:0.07
S0306	113474	30.87:53.71	86.66:91.09	0.07:0.07
S0307	113493	26.55:51.79	76.93:90.09	0.07:0.07
S0322	111278	26.62:23.62	77.4:64.56	0.07:0.06
S0325	112647	25.32:35.17	74.01:80.99	0.07:0.06
S0330	112857	28.49:41.73	81.27:86.08	0.07:0.06
S0347	113356	30.09:52.91	84.73:90.93	0.07:0.07
S0349	113360	28.33:55.36	80.78:91.26	0.07:0.07
S0376	113267	25.31:62.27	74.41:93.06	0.07:0.07
S0400	113271	32.8:61.51	90.07:92.79	0.07:0.07
S0404	113311	26.52:62.35	76.25:92.95	0.06:0.07
S0406	113353	30.41:66.68	85:93.32	0.07:0.07
S0416	113132	29.69:50.91	82.43:90.97	0.07:0.07
S0428	113118	25.36:47.22	74.55:89.75	0.07:0.07
S0437	113197	26.01:50.13	76.04:90.64	0.07:0.07
S0439	113154	25.81:45.74	75.1:88.87	0.06:0.07
S0445	113166	38.21:44.88	94.21:87.59	0.07:0.06
S0466	113093	29.47:45.3	83.83:88.9	0.07:0.06
S0469	113234	36.53:49.99	93.21:90.13	0.07:0.06
S0490	112882	27.37:52.01	78.17:89.8	0.06:0.06
S0492	112819	38.7:53.4	94.89:89.85	0.07:0.07
S0494	112896	28.59:58.38	81.52:91.78	0.07:0.07
S0497	112917	32.08:53.72	88.66:90.16	0.07:0.07
S0552	111323	30.82:36.1	85.96:77.89	0.06:0.06
S0620	112160	33.1:36.94	89.73:80.87	0.07:0.06
S0631	107353	32.06:26.81	88.43:64.93	0.07:0.05
S0650	111850	27.29:33.49	78.5:75.91	0.07:0.06
S0653	112754	24.57:49.59	72.33:87.23	0.07:0.07
S0659	112850	25.92:46.35	74.5:86.32	0.06:0.06
S0671	110707	30.41:34.5	84.76:75.09	0.07:0.06
